,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.845,0.755,0.809,0.776,0.562,0.143,0.052,0.062,7
1,0.829,0.75,0.777,0.761,0.526,0.157,0.069,0.078,7
2,0.827,0.753,0.772,0.761,0.525,0.141,0.046,0.048,7
3,0.827,0.752,0.772,0.761,0.524,0.149,0.049,0.042,7
4,0.819,0.744,0.761,0.751,0.504,0.173,0.095,0.112,7
5,0.826,0.75,0.771,0.759,0.52,0.121,0.028,0.031,7
6,0.827,0.748,0.773,0.759,0.52,0.109,0.012,0.011,7
7,0.841,0.725,0.821,0.754,0.538,0.18,0.175,0.288,7
8,0.825,0.73,0.776,0.748,0.504,0.133,0.055,0.067,7
9,0.858,0.769,0.828,0.792,0.594,0.159,0.06,0.064,17
10,0.849,0.758,0.813,0.779,0.568,0.138,0.032,0.019,17
11,0.829,0.706,0.797,0.733,0.495,0.152,0.106,0.149,17
12,0.832,0.73,0.788,0.751,0.514,0.137,0.041,0.029,17
13,0.84,0.742,0.8,0.763,0.539,0.137,0.047,0.05,17
14,0.829,0.708,0.797,0.734,0.497,0.141,0.092,0.134,17
15,0.829,0.727,0.782,0.747,0.506,0.162,0.094,0.117,17
16,0.827,0.738,0.774,0.753,0.511,0.142,0.051,0.049,17
17,0.836,0.737,0.793,0.758,0.527,0.116,0.012,0.006,17
18,0.813,0.71,0.755,0.727,0.463,0.138,0.082,0.116,17
19,0.857,0.765,0.828,0.789,0.59,0.16,0.077,0.1,16
20,0.835,0.741,0.788,0.759,0.527,0.157,0.066,0.065,16
21,0.844,0.758,0.8,0.775,0.556,0.158,0.052,0.039,16
22,0.838,0.731,0.803,0.755,0.529,0.158,0.08,0.091,16
23,0.834,0.726,0.795,0.749,0.516,0.144,0.068,0.082,16
24,0.813,0.699,0.757,0.719,0.453,0.194,0.171,0.242,16
25,0.815,0.734,0.752,0.742,0.485,0.233,0.188,0.244,16
26,0.857,0.763,0.831,0.788,0.59,0.156,0.068,0.086,6
27,0.848,0.747,0.817,0.772,0.56,0.144,0.058,0.07,6
28,0.833,0.743,0.783,0.759,0.524,0.161,0.075,0.084,6
29,0.828,0.744,0.773,0.756,0.516,0.144,0.04,0.024,6
30,0.835,0.723,0.799,0.748,0.517,0.115,0.012,0.012,6
31,0.829,0.749,0.773,0.759,0.521,0.203,0.112,0.114,6
32,0.856,0.767,0.825,0.789,0.589,0.168,0.066,0.068,4
33,0.836,0.748,0.788,0.764,0.535,0.184,0.087,0.082,4
34,0.844,0.755,0.801,0.773,0.554,0.177,0.083,0.087,4
35,0.839,0.757,0.789,0.77,0.545,0.168,0.058,0.043,4
36,0.821,0.709,0.771,0.73,0.476,0.14,0.065,0.073,4
37,0.826,0.681,0.814,0.711,0.476,0.106,0.049,0.068,4
38,0.781,0.581,0.75,0.582,0.284,0.032,0.021,0.051,4
39,0.847,0.753,0.812,0.775,0.561,0.146,0.058,0.067,14
40,0.824,0.705,0.783,0.729,0.481,0.156,0.105,0.14,14
41,0.829,0.721,0.786,0.743,0.503,0.166,0.104,0.131,14
42,0.837,0.731,0.799,0.755,0.526,0.148,0.079,0.104,14
43,0.803,0.649,0.765,0.672,0.398,0.139,0.139,0.218,14
44,0.817,0.683,0.78,0.709,0.453,0.132,0.082,0.107,14
45,0.814,0.69,0.766,0.712,0.449,0.128,0.058,0.058,14
46,0.856,0.761,0.829,0.786,0.586,0.158,0.074,0.095,15
47,0.855,0.758,0.828,0.783,0.582,0.152,0.067,0.085,15
48,0.846,0.752,0.808,0.773,0.558,0.165,0.074,0.08,15
49,0.825,0.703,0.787,0.728,0.482,0.153,0.104,0.141,15
50,0.815,0.684,0.773,0.708,0.448,0.138,0.076,0.085,15
51,0.828,0.708,0.792,0.734,0.493,0.14,0.081,0.108,15
52,0.801,0.704,0.732,0.715,0.435,0.124,0.058,0.073,15
53,0.794,0.644,0.735,0.663,0.368,0.069,0.02,0.028,15
54,0.854,0.761,0.823,0.784,0.581,0.164,0.075,0.092,5
55,0.85,0.759,0.814,0.78,0.57,0.159,0.085,0.122,5
56,0.851,0.762,0.814,0.783,0.574,0.152,0.057,0.067,5
57,0.824,0.732,0.768,0.746,0.498,0.151,0.071,0.084,5
58,0.834,0.769,0.777,0.773,0.546,0.191,0.086,0.083,5
59,0.822,0.73,0.765,0.744,0.494,0.191,0.135,0.18,5
60,0.843,0.748,0.802,0.769,0.548,0.174,0.099,0.129,5
61,0.841,0.731,0.811,0.757,0.536,0.157,0.094,0.132,5
62,0.855,0.771,0.82,0.79,0.589,0.163,0.055,0.049,1
63,0.848,0.766,0.808,0.783,0.572,0.157,0.057,0.06,1
64,0.832,0.751,0.781,0.763,0.53,0.148,0.053,0.054,1
65,0.83,0.72,0.792,0.744,0.507,0.161,0.111,0.157,1
66,0.856,0.767,0.827,0.79,0.591,0.16,0.05,0.044,11
67,0.842,0.767,0.795,0.779,0.562,0.198,0.1,0.111,11
68,0.828,0.726,0.784,0.747,0.507,0.151,0.083,0.112,11
69,0.806,0.757,0.743,0.749,0.5,0.327,0.317,0.436,11
70,0.855,0.763,0.828,0.787,0.588,0.163,0.072,0.086,10
71,0.854,0.764,0.826,0.787,0.587,0.168,0.078,0.096,10
72,0.855,0.763,0.828,0.787,0.588,0.162,0.068,0.079,10
73,0.814,0.704,0.761,0.724,0.462,0.118,0.048,0.062,10
74,0.83,0.726,0.788,0.748,0.511,0.119,0.018,0.0,10
75,0.838,0.742,0.799,0.763,0.537,0.167,0.083,0.095,10
76,0.813,0.709,0.758,0.727,0.465,0.181,0.113,0.128,10
77,0.814,0.691,0.77,0.714,0.454,0.156,0.108,0.142,10
78,0.819,0.693,0.783,0.718,0.467,0.087,0.023,0.073,10
79,0.78,0.589,0.746,0.594,0.296,0.02,0.022,0.031,10
80,0.848,0.764,0.811,0.782,0.573,0.18,0.101,0.131,0
81,0.848,0.765,0.811,0.783,0.574,0.167,0.079,0.1,0
82,0.836,0.763,0.787,0.773,0.549,0.193,0.108,0.129,0
83,0.823,0.746,0.769,0.756,0.514,0.195,0.104,0.106,0
84,0.837,0.744,0.798,0.764,0.539,0.154,0.07,0.083,0
85,0.83,0.716,0.799,0.741,0.508,0.105,0.003,0.024,0
86,0.82,0.731,0.768,0.745,0.497,0.203,0.154,0.206,0
