,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.683,0.607,0.605,0.606,0.212,0.021,0.011,0.009,5
1,0.703,0.632,0.629,0.631,0.262,0.037,0.012,0.072,5
2,0.703,0.609,0.618,0.613,0.227,0.048,0.032,0.045,5
3,0.643,0.575,0.581,0.577,0.156,0.104,0.086,0.135,4
4,0.66,0.603,0.607,0.605,0.21,0.07,0.072,0.06,4
5,0.66,0.593,0.601,0.595,0.194,0.033,0.001,0.089,4
6,0.613,0.531,0.536,0.531,0.067,0.059,0.075,0.031,4
7,0.653,0.574,0.596,0.573,0.169,0.074,0.048,0.09,6
8,0.663,0.607,0.618,0.61,0.225,0.082,0.064,0.036,6
9,0.64,0.598,0.599,0.599,0.198,0.053,0.072,0.093,6
10,0.71,0.652,0.675,0.658,0.326,0.013,0.005,0.084,6
11,0.617,0.565,0.568,0.565,0.132,0.101,0.11,0.146,6
12,0.667,0.579,0.613,0.577,0.19,0.063,0.036,0.078,6
13,0.747,0.695,0.687,0.69,0.381,0.046,0.021,0.077,7
14,0.677,0.62,0.611,0.614,0.231,0.046,0.007,0.085,7
15,0.75,0.686,0.687,0.687,0.373,0.111,0.043,0.149,7
16,0.7,0.625,0.625,0.625,0.25,0.123,0.139,0.052,7
17,0.7,0.633,0.629,0.631,0.262,0.076,0.122,0.056,7
18,0.717,0.659,0.652,0.655,0.311,0.008,0.039,0.022,7
19,0.687,0.564,0.585,0.566,0.148,0.048,0.037,0.034,3
20,0.66,0.556,0.564,0.558,0.12,0.241,0.216,0.26,3
21,0.69,0.617,0.617,0.617,0.234,0.002,0.059,0.031,3
22,0.667,0.575,0.58,0.577,0.156,0.099,0.124,0.098,3
23,0.703,0.629,0.632,0.631,0.262,0.008,0.059,0.052,3
24,0.563,0.528,0.526,0.525,0.054,0.039,0.043,0.033,2
25,0.683,0.62,0.634,0.624,0.254,0.005,0.025,0.018,2
26,0.7,0.653,0.658,0.655,0.311,0.039,0.046,0.003,2
27,0.65,0.584,0.581,0.582,0.165,0.011,0.031,0.022,0
28,0.683,0.642,0.629,0.633,0.271,0.01,0.078,0.0,0
29,0.683,0.622,0.618,0.619,0.239,0.008,0.038,0.048,0
30,0.673,0.604,0.603,0.603,0.207,0.022,0.032,0.04,0
31,0.69,0.626,0.624,0.625,0.25,0.002,0.031,0.035,0
32,0.673,0.611,0.607,0.609,0.218,0.113,0.118,0.079,1
33,0.68,0.612,0.611,0.611,0.223,0.067,0.046,0.076,1
34,0.68,0.612,0.611,0.611,0.223,0.003,0.03,0.029,1
35,0.617,0.509,0.51,0.508,0.018,0.009,0.034,0.03,1
36,0.633,0.58,0.572,0.574,0.152,0.015,0.026,0.015,1
37,0.657,0.589,0.586,0.587,0.175,0.043,0.023,0.096,1
38,0.697,0.59,0.625,0.594,0.212,0.078,0.106,0.072,15
39,0.647,0.542,0.553,0.541,0.095,0.004,0.015,0.006,15
40,0.653,0.552,0.571,0.55,0.121,0.031,0.059,0.004,14
41,0.653,0.613,0.608,0.61,0.221,0.14,0.103,0.162,14
42,0.67,0.575,0.599,0.576,0.173,0.001,0.033,0.035,14
43,0.693,0.642,0.645,0.644,0.288,0.033,0.086,0.007,14
44,0.657,0.585,0.594,0.587,0.178,0.025,0.019,0.089,14
45,0.65,0.602,0.6,0.601,0.202,0.118,0.079,0.152,14
46,0.657,0.593,0.598,0.595,0.191,0.022,0.015,0.014,14
47,0.623,0.555,0.558,0.556,0.113,0.084,0.077,0.071,14
48,0.713,0.639,0.656,0.645,0.294,0.078,0.119,0.119,16
49,0.723,0.646,0.668,0.653,0.314,0.064,0.12,0.074,16
50,0.71,0.609,0.647,0.615,0.253,0.031,0.071,0.042,16
51,0.673,0.604,0.609,0.606,0.213,0.103,0.085,0.07,17
52,0.673,0.661,0.642,0.644,0.303,0.063,0.02,0.043,17
53,0.683,0.635,0.631,0.633,0.267,0.022,0.04,0.085,17
54,0.67,0.62,0.616,0.618,0.236,0.022,0.029,0.098,17
55,0.67,0.601,0.606,0.603,0.207,0.019,0.001,0.009,17
56,0.68,0.59,0.607,0.594,0.197,0.075,0.058,0.05,17
57,0.723,0.682,0.661,0.667,0.342,0.02,0.046,0.057,13
58,0.657,0.576,0.571,0.573,0.147,0.037,0.061,0.026,13
59,0.687,0.637,0.62,0.625,0.256,0.076,0.086,0.031,13
60,0.673,0.571,0.573,0.572,0.144,0.179,0.215,0.118,13
