,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.655,0.652,0.654,0.652,0.306,0.261,0.211,0.223,1
1,0.655,0.652,0.654,0.652,0.306,0.211,0.165,0.162,1
2,0.643,0.637,0.645,0.635,0.282,0.04,0.017,0.027,1
3,0.642,0.638,0.641,0.638,0.28,0.049,0.006,0.027,1
4,0.627,0.622,0.626,0.621,0.248,0.013,0.037,0.002,1
5,0.62,0.613,0.62,0.61,0.233,0.008,0.051,0.032,1
6,0.609,0.602,0.609,0.599,0.21,0.016,0.025,0.001,1
7,0.61,0.604,0.61,0.602,0.214,0.01,0.047,0.041,1
8,0.613,0.609,0.611,0.608,0.22,0.032,0.008,0.006,1
9,0.609,0.603,0.607,0.602,0.211,0.018,0.015,0.019,1
10,0.654,0.651,0.653,0.651,0.304,0.185,0.15,0.125,0
11,0.635,0.632,0.634,0.633,0.266,0.041,0.0,0.013,0
12,0.604,0.595,0.605,0.59,0.199,0.003,0.026,0.015,0
13,0.629,0.621,0.631,0.618,0.251,0.02,0.054,0.056,0
14,0.611,0.603,0.611,0.6,0.214,0.017,0.045,0.052,0
15,0.594,0.588,0.591,0.587,0.179,0.011,0.01,0.026,0
16,0.589,0.583,0.586,0.582,0.169,0.016,0.004,0.02,0
17,0.649,0.642,0.644,0.643,0.287,0.104,0.067,0.073,2
18,0.623,0.62,0.62,0.62,0.24,0.085,0.054,0.055,2
19,0.625,0.613,0.62,0.613,0.233,0.042,0.014,0.009,2
20,0.606,0.611,0.611,0.606,0.223,0.092,0.062,0.069,2
21,0.589,0.583,0.584,0.583,0.167,0.038,0.053,0.079,2
22,0.583,0.578,0.578,0.578,0.156,0.009,0.004,0.029,2
23,0.635,0.632,0.632,0.632,0.264,0.228,0.211,0.137,3
24,0.624,0.617,0.621,0.617,0.237,0.157,0.129,0.107,3
25,0.606,0.596,0.602,0.595,0.199,0.026,0.01,0.041,3
26,0.621,0.619,0.619,0.619,0.238,0.118,0.086,0.074,3
27,0.627,0.622,0.624,0.622,0.245,0.117,0.097,0.036,3
28,0.584,0.578,0.58,0.578,0.158,0.001,0.008,0.062,3
29,0.61,0.608,0.608,0.608,0.217,0.032,0.002,0.0,3
30,0.596,0.598,0.598,0.596,0.196,0.104,0.087,0.043,3
31,0.606,0.598,0.602,0.597,0.199,0.097,0.082,0.031,3
32,0.605,0.609,0.609,0.605,0.218,0.14,0.111,0.097,3
33,0.595,0.584,0.591,0.582,0.175,0.029,0.041,0.093,3
34,0.587,0.586,0.586,0.586,0.172,0.048,0.045,0.041,3
35,0.581,0.582,0.581,0.581,0.163,0.027,0.016,0.037,3
36,0.572,0.572,0.571,0.571,0.143,0.011,0.004,0.051,3
37,0.646,0.64,0.644,0.64,0.284,0.125,0.095,0.081,19
38,0.646,0.64,0.644,0.64,0.284,0.062,0.036,0.001,19
39,0.658,0.654,0.656,0.655,0.31,0.136,0.103,0.089,19
40,0.632,0.629,0.63,0.63,0.259,0.096,0.069,0.053,19
41,0.637,0.634,0.635,0.634,0.269,0.136,0.105,0.101,19
42,0.635,0.624,0.637,0.621,0.26,0.029,0.067,0.037,19
43,0.627,0.619,0.625,0.618,0.244,0.01,0.054,0.012,19
44,0.633,0.627,0.631,0.627,0.258,0.066,0.026,0.066,19
45,0.631,0.626,0.628,0.627,0.255,0.024,0.008,0.0,19
46,0.588,0.58,0.584,0.578,0.164,0.018,0.007,0.019,19
47,0.599,0.596,0.596,0.596,0.192,0.058,0.038,0.026,19
48,0.644,0.638,0.638,0.638,0.276,0.117,0.089,0.075,7
49,0.63,0.624,0.624,0.624,0.247,0.125,0.103,0.08,7
50,0.64,0.635,0.634,0.634,0.268,0.08,0.048,0.049,7
51,0.643,0.638,0.637,0.638,0.275,0.134,0.101,0.106,7
52,0.62,0.608,0.611,0.609,0.219,0.04,0.028,0.019,7
53,0.642,0.633,0.634,0.633,0.267,0.03,0.006,0.02,7
54,0.612,0.595,0.601,0.595,0.196,0.024,0.015,0.033,7
55,0.623,0.607,0.613,0.608,0.221,0.027,0.013,0.03,7
56,0.647,0.638,0.644,0.638,0.283,0.142,0.1,0.107,6
57,0.65,0.643,0.647,0.643,0.29,0.225,0.19,0.17,6
58,0.643,0.637,0.64,0.637,0.277,0.178,0.156,0.092,6
59,0.62,0.612,0.616,0.612,0.228,0.142,0.117,0.089,6
60,0.618,0.607,0.614,0.606,0.221,0.022,0.06,0.042,6
61,0.635,0.627,0.632,0.626,0.259,0.017,0.026,0.01,6
62,0.644,0.639,0.643,0.638,0.282,0.227,0.193,0.179,18
63,0.652,0.647,0.652,0.646,0.298,0.193,0.153,0.147,18
64,0.622,0.617,0.62,0.617,0.237,0.088,0.044,0.089,18
65,0.643,0.639,0.642,0.639,0.281,0.124,0.086,0.082,18
66,0.622,0.62,0.621,0.62,0.241,0.13,0.085,0.131,18
67,0.63,0.621,0.633,0.617,0.253,0.014,0.028,0.004,18
68,0.638,0.632,0.638,0.631,0.27,0.04,0.007,0.027,18
69,0.634,0.627,0.633,0.626,0.261,0.02,0.066,0.035,18
70,0.622,0.613,0.623,0.61,0.236,0.017,0.062,0.017,18
71,0.656,0.648,0.655,0.647,0.303,0.223,0.198,0.131,4
72,0.631,0.631,0.63,0.63,0.261,0.141,0.099,0.105,4
73,0.64,0.634,0.638,0.634,0.272,0.05,0.002,0.022,4
74,0.633,0.621,0.633,0.618,0.254,0.009,0.042,0.0,4
75,0.62,0.605,0.622,0.599,0.227,0.041,0.092,0.032,4
76,0.623,0.612,0.622,0.61,0.234,0.009,0.025,0.031,4
77,0.613,0.608,0.61,0.608,0.218,0.04,0.018,0.024,4
78,0.642,0.639,0.639,0.639,0.278,0.196,0.17,0.128,5
79,0.65,0.645,0.648,0.645,0.293,0.155,0.12,0.109,5
