,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.757,0.661,0.722,0.674,0.378,0.139,0.038,0.049,16
1,0.727,0.6,0.684,0.602,0.271,0.182,0.127,0.132,16
2,0.74,0.615,0.713,0.621,0.313,0.085,0.013,0.036,16
3,0.733,0.586,0.732,0.578,0.283,0.14,0.091,0.069,16
4,0.737,0.64,0.689,0.65,0.326,0.058,0.033,0.017,16
5,0.72,0.619,0.663,0.627,0.278,0.138,0.173,0.032,17
6,0.727,0.639,0.672,0.648,0.31,0.129,0.131,0.085,17
7,0.687,0.598,0.617,0.603,0.214,0.136,0.119,0.145,17
8,0.707,0.625,0.645,0.631,0.269,0.245,0.253,0.191,17
9,0.707,0.601,0.641,0.605,0.238,0.077,0.07,0.062,17
10,0.653,0.583,0.587,0.585,0.17,0.095,0.079,0.105,17
11,0.75,0.641,0.719,0.652,0.351,0.09,0.138,0.088,15
12,0.74,0.619,0.709,0.625,0.315,0.011,0.043,0.035,15
13,0.71,0.597,0.665,0.597,0.252,0.028,0.023,0.003,14
14,0.677,0.608,0.619,0.611,0.227,0.092,0.049,0.158,14
15,0.677,0.616,0.623,0.619,0.239,0.068,0.05,0.068,14
16,0.687,0.594,0.626,0.596,0.217,0.04,0.007,0.028,10
17,0.727,0.623,0.697,0.629,0.311,0.067,0.03,0.019,10
18,0.733,0.631,0.709,0.638,0.331,0.067,0.026,0.025,10
19,0.693,0.623,0.641,0.628,0.263,0.064,0.018,0.066,10
20,0.743,0.654,0.721,0.665,0.369,0.116,0.073,0.144,11
21,0.733,0.644,0.704,0.653,0.343,0.112,0.074,0.132,11
22,0.713,0.624,0.671,0.631,0.291,0.083,0.049,0.107,11
23,0.73,0.652,0.693,0.661,0.343,0.014,0.027,0.037,11
24,0.693,0.604,0.64,0.608,0.241,0.055,0.012,0.114,11
25,0.7,0.606,0.65,0.61,0.253,0.032,0.015,0.101,11
26,0.74,0.588,0.644,0.594,0.225,0.227,0.241,0.13,13
27,0.75,0.599,0.665,0.607,0.255,0.209,0.205,0.141,13
28,0.727,0.579,0.62,0.583,0.194,0.123,0.1,0.109,13
29,0.73,0.589,0.628,0.595,0.214,0.133,0.128,0.069,13
30,0.713,0.606,0.619,0.611,0.225,0.143,0.15,0.039,13
31,0.72,0.603,0.623,0.609,0.224,0.079,0.064,0.026,13
32,0.713,0.606,0.619,0.611,0.225,0.077,0.053,0.039,13
33,0.663,0.561,0.589,0.557,0.148,0.058,0.034,0.052,12
34,0.707,0.585,0.677,0.577,0.246,0.117,0.09,0.072,12
35,0.703,0.606,0.656,0.61,0.258,0.079,0.038,0.05,12
36,0.683,0.623,0.633,0.627,0.256,0.026,0.065,0.13,12
37,0.693,0.638,0.647,0.642,0.285,0.06,0.123,0.056,12
38,0.687,0.62,0.635,0.625,0.255,0.047,0.091,0.112,12
39,0.733,0.632,0.677,0.641,0.306,0.082,0.084,0.04,8
40,0.747,0.635,0.704,0.646,0.332,0.014,0.007,0.015,8
41,0.75,0.653,0.704,0.665,0.353,0.037,0.006,0.052,8
42,0.723,0.634,0.662,0.642,0.295,0.023,0.014,0.004,8
43,0.763,0.647,0.742,0.661,0.377,0.014,0.007,0.014,8
44,0.733,0.596,0.647,0.603,0.237,0.131,0.091,0.124,9
45,0.74,0.589,0.66,0.594,0.239,0.057,0.031,0.012,9
46,0.717,0.592,0.622,0.598,0.212,0.029,0.01,0.017,9
47,0.723,0.608,0.636,0.615,0.242,0.03,0.085,0.024,9
48,0.733,0.615,0.664,0.624,0.274,0.133,0.077,0.16,1
49,0.723,0.584,0.645,0.585,0.22,0.07,0.033,0.074,1
50,0.72,0.595,0.64,0.601,0.231,0.097,0.052,0.118,1
51,0.693,0.604,0.615,0.608,0.219,0.001,0.046,0.006,1
52,0.727,0.593,0.652,0.597,0.237,0.155,0.109,0.155,0
53,0.747,0.603,0.7,0.609,0.288,0.167,0.125,0.118,0
54,0.767,0.624,0.753,0.635,0.355,0.133,0.081,0.064,0
55,0.743,0.601,0.691,0.606,0.278,0.142,0.096,0.112,0
56,0.59,0.612,0.591,0.571,0.202,0.07,0.004,0.09,0
57,0.727,0.627,0.705,0.632,0.323,0.033,0.003,0.036,2
58,0.703,0.607,0.66,0.61,0.262,0.064,0.029,0.087,2
59,0.72,0.619,0.693,0.623,0.304,0.008,0.021,0.012,2
60,0.717,0.612,0.69,0.613,0.292,0.02,0.005,0.006,2
61,0.767,0.634,0.731,0.648,0.353,0.03,0.021,0.008,3
