,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.77,0.683,0.74,0.697,0.418,0.196,0.086,0.11,16
1,0.767,0.68,0.734,0.694,0.41,0.143,0.032,0.052,16
2,0.763,0.678,0.728,0.691,0.403,0.139,0.029,0.047,16
3,0.773,0.682,0.748,0.698,0.425,0.159,0.047,0.068,16
4,0.767,0.68,0.734,0.694,0.41,0.143,0.032,0.052,16
5,0.767,0.683,0.732,0.697,0.412,0.184,0.073,0.1,16
6,0.763,0.678,0.728,0.691,0.403,0.139,0.029,0.047,16
7,0.747,0.66,0.702,0.671,0.36,0.062,0.041,0.031,16
8,0.74,0.655,0.692,0.665,0.345,0.054,0.046,0.02,16
9,0.763,0.678,0.728,0.691,0.403,0.139,0.029,0.047,16
10,0.76,0.672,0.724,0.686,0.393,0.119,0.011,0.047,16
11,0.713,0.651,0.659,0.654,0.31,0.036,0.069,0.013,17
12,0.743,0.669,0.696,0.678,0.364,0.031,0.018,0.009,17
13,0.743,0.669,0.696,0.678,0.364,0.031,0.018,0.009,17
14,0.737,0.671,0.687,0.677,0.357,0.007,0.024,0.021,17
15,0.707,0.701,0.677,0.68,0.377,0.043,0.004,0.083,17
16,0.773,0.688,0.744,0.703,0.428,0.038,0.018,0.023,15
17,0.77,0.683,0.74,0.697,0.418,0.068,0.022,0.023,15
18,0.757,0.682,0.714,0.693,0.395,0.023,0.084,0.016,15
19,0.77,0.683,0.74,0.697,0.418,0.042,0.011,0.023,15
20,0.763,0.669,0.733,0.683,0.397,0.161,0.109,0.156,15
21,0.723,0.722,0.695,0.699,0.416,0.106,0.011,0.196,15
22,0.71,0.73,0.697,0.694,0.426,0.008,0.101,0.055,15
23,0.733,0.696,0.694,0.695,0.391,0.139,0.173,0.131,14
24,0.733,0.68,0.691,0.685,0.371,0.044,0.081,0.024,14
25,0.733,0.683,0.692,0.686,0.374,0.052,0.09,0.03,14
26,0.663,0.703,0.677,0.656,0.379,0.044,0.088,0.015,14
