,Accuracy,Recall,Precision,F1,MCC,SPD,AOD,EOD,Run
0,0.679,0.671,0.679,0.671,0.349,0.188,0.166,0.123,8
1,0.678,0.669,0.678,0.669,0.347,0.163,0.141,0.099,8
2,0.673,0.662,0.674,0.662,0.336,0.145,0.124,0.085,8
3,0.646,0.638,0.644,0.638,0.282,0.095,0.073,0.062,8
4,0.618,0.611,0.614,0.611,0.224,0.072,0.051,0.072,8
5,0.566,0.564,0.564,0.564,0.128,0.151,0.144,0.12,8
6,0.542,0.5,0.271,0.352,0.0,0.0,0.0,0.0,8
7,0.667,0.66,0.664,0.66,0.323,0.188,0.163,0.132,9
8,0.668,0.66,0.664,0.661,0.324,0.163,0.14,0.097,9
9,0.67,0.662,0.666,0.663,0.329,0.195,0.171,0.134,9
10,0.653,0.642,0.65,0.642,0.292,0.12,0.099,0.069,9
11,0.649,0.637,0.646,0.636,0.283,0.096,0.072,0.062,9
12,0.64,0.627,0.637,0.626,0.264,0.087,0.069,0.032,9
13,0.621,0.6,0.625,0.589,0.223,0.055,0.038,0.025,9
14,0.619,0.597,0.621,0.588,0.217,0.041,0.023,0.02,9
15,0.614,0.597,0.61,0.592,0.207,0.001,0.021,0.014,9
16,0.549,0.5,0.275,0.355,0.0,0.0,0.0,0.0,9
17,0.66,0.651,0.66,0.651,0.31,0.162,0.136,0.09,15
18,0.661,0.651,0.662,0.651,0.313,0.199,0.173,0.128,15
19,0.654,0.645,0.654,0.644,0.299,0.162,0.137,0.091,15
20,0.66,0.65,0.66,0.649,0.311,0.149,0.123,0.08,15
21,0.641,0.631,0.64,0.63,0.271,0.127,0.102,0.074,15
22,0.647,0.64,0.645,0.64,0.284,0.204,0.18,0.141,15
23,0.64,0.629,0.642,0.626,0.27,0.19,0.169,0.126,15
24,0.621,0.607,0.625,0.599,0.231,0.055,0.078,0.092,15
25,0.618,0.597,0.636,0.577,0.23,0.049,0.03,0.012,15
26,0.619,0.599,0.637,0.58,0.233,0.048,0.031,0.006,15
27,0.539,0.5,0.27,0.35,0.0,0.0,0.0,0.0,15
28,0.682,0.672,0.68,0.672,0.351,0.188,0.164,0.126,14
29,0.682,0.672,0.68,0.672,0.351,0.187,0.164,0.123,14
30,0.682,0.672,0.68,0.672,0.351,0.181,0.158,0.113,14
31,0.68,0.669,0.678,0.67,0.347,0.169,0.146,0.103,14
32,0.679,0.668,0.677,0.669,0.345,0.168,0.144,0.106,14
33,0.675,0.665,0.672,0.666,0.337,0.205,0.183,0.143,14
34,0.672,0.66,0.671,0.66,0.331,0.144,0.123,0.078,14
35,0.674,0.665,0.671,0.666,0.336,0.22,0.199,0.147,14
36,0.649,0.631,0.652,0.627,0.282,0.104,0.085,0.057,14
37,0.643,0.634,0.639,0.634,0.273,0.074,0.048,0.057,14
38,0.618,0.59,0.632,0.569,0.218,0.001,0.018,0.013,14
39,0.625,0.603,0.629,0.594,0.23,0.116,0.1,0.087,14
40,0.551,0.5,0.275,0.355,0.0,0.0,0.0,0.0,14
41,0.661,0.652,0.662,0.651,0.313,0.142,0.107,0.095,16
42,0.669,0.661,0.669,0.662,0.33,0.181,0.144,0.131,16
43,0.667,0.659,0.666,0.659,0.326,0.197,0.162,0.144,16
44,0.668,0.659,0.668,0.659,0.327,0.143,0.107,0.091,16
45,0.664,0.655,0.664,0.655,0.319,0.114,0.08,0.059,16
46,0.664,0.655,0.664,0.655,0.319,0.131,0.097,0.075,16
47,0.666,0.658,0.666,0.657,0.323,0.167,0.132,0.116,16
48,0.642,0.634,0.64,0.634,0.274,0.086,0.055,0.045,16
49,0.614,0.596,0.62,0.584,0.215,0.099,0.078,0.064,16
50,0.554,0.554,0.554,0.553,0.108,0.115,0.114,0.047,16
51,0.54,0.5,0.27,0.351,0.0,0.0,0.0,0.0,16
52,0.664,0.656,0.661,0.657,0.317,0.156,0.139,0.104,17
53,0.654,0.646,0.651,0.646,0.297,0.144,0.131,0.076,17
54,0.636,0.627,0.632,0.627,0.259,0.133,0.125,0.058,17
55,0.605,0.579,0.613,0.558,0.19,0.036,0.05,0.035,17
56,0.581,0.579,0.579,0.579,0.158,0.031,0.024,0.007,17
57,0.548,0.5,0.274,0.354,0.0,0.0,0.0,0.0,17
58,0.673,0.665,0.668,0.666,0.333,0.173,0.149,0.103,13
59,0.656,0.649,0.651,0.649,0.3,0.182,0.159,0.122,13
60,0.647,0.636,0.641,0.637,0.278,0.062,0.042,0.004,13
61,0.658,0.649,0.653,0.649,0.302,0.127,0.105,0.056,13
62,0.64,0.626,0.635,0.626,0.261,0.063,0.039,0.03,13
63,0.633,0.62,0.628,0.62,0.248,0.073,0.048,0.052,13
64,0.615,0.605,0.609,0.605,0.213,0.072,0.087,0.128,13
65,0.625,0.598,0.633,0.583,0.228,0.042,0.025,0.009,13
66,0.622,0.595,0.629,0.58,0.221,0.044,0.026,0.019,13
67,0.555,0.5,0.277,0.357,0.0,0.0,0.0,0.0,13
68,0.675,0.666,0.673,0.667,0.339,0.209,0.194,0.139,12
69,0.677,0.666,0.676,0.667,0.342,0.166,0.149,0.11,12
70,0.67,0.658,0.67,0.658,0.328,0.129,0.112,0.079,12
71,0.619,0.604,0.615,0.601,0.219,0.115,0.119,0.198,12
72,0.613,0.605,0.608,0.605,0.213,0.017,0.03,0.047,12
73,0.622,0.619,0.618,0.618,0.237,0.043,0.033,0.014,12
74,0.55,0.5,0.275,0.355,0.0,0.0,0.0,0.0,12
75,0.696,0.684,0.698,0.684,0.381,0.111,0.089,0.027,10
76,0.692,0.68,0.692,0.681,0.372,0.118,0.095,0.045,10
77,0.684,0.673,0.685,0.673,0.357,0.12,0.099,0.049,10
78,0.681,0.67,0.681,0.671,0.351,0.126,0.105,0.057,10
79,0.66,0.653,0.656,0.653,0.309,0.151,0.132,0.09,10
80,0.636,0.614,0.646,0.603,0.258,0.118,0.109,0.047,10
81,0.63,0.611,0.633,0.604,0.243,0.008,0.02,0.069,10
82,0.642,0.621,0.65,0.612,0.269,0.163,0.159,0.057,10
83,0.633,0.613,0.636,0.606,0.248,0.038,0.027,0.028,10
84,0.625,0.606,0.624,0.601,0.23,0.027,0.037,0.096,10
85,0.549,0.5,0.275,0.355,0.0,0.0,0.0,0.0,10
86,0.68,0.671,0.681,0.671,0.351,0.175,0.159,0.107,11
87,0.679,0.67,0.679,0.67,0.349,0.182,0.167,0.113,11
88,0.68,0.67,0.682,0.67,0.351,0.151,0.135,0.088,11
89,0.68,0.67,0.681,0.671,0.351,0.152,0.137,0.083,11
90,0.641,0.633,0.637,0.633,0.271,0.101,0.085,0.065,11
91,0.64,0.631,0.637,0.631,0.268,0.131,0.115,0.103,11
92,0.656,0.648,0.654,0.648,0.302,0.118,0.101,0.084,11
93,0.621,0.598,0.639,0.578,0.233,0.012,0.024,0.032,11
94,0.602,0.575,0.624,0.543,0.192,0.068,0.082,0.055,11
95,0.613,0.594,0.617,0.583,0.21,0.032,0.047,0.031,11
96,0.543,0.5,0.272,0.352,0.0,0.0,0.0,0.0,11
97,0.666,0.66,0.665,0.66,0.325,0.145,0.122,0.063,19
98,0.668,0.662,0.667,0.662,0.33,0.161,0.137,0.083,19
99,0.666,0.659,0.666,0.659,0.325,0.141,0.117,0.065,19
100,0.667,0.658,0.669,0.657,0.327,0.141,0.117,0.071,19
101,0.67,0.664,0.67,0.664,0.334,0.146,0.122,0.067,19
102,0.669,0.663,0.669,0.663,0.332,0.154,0.131,0.075,19
103,0.639,0.633,0.636,0.632,0.269,0.17,0.15,0.111,19
104,0.627,0.62,0.625,0.619,0.245,0.104,0.084,0.062,19
105,0.651,0.642,0.652,0.641,0.294,0.151,0.127,0.105,19
106,0.641,0.631,0.642,0.628,0.273,0.114,0.092,0.066,19
107,0.642,0.633,0.643,0.632,0.276,0.092,0.07,0.04,19
108,0.634,0.623,0.635,0.62,0.258,0.11,0.093,0.049,19
109,0.623,0.606,0.639,0.591,0.243,0.129,0.116,0.063,19
110,0.616,0.598,0.635,0.578,0.23,0.073,0.059,0.021,19
111,0.554,0.554,0.554,0.554,0.109,0.137,0.146,0.015,19
112,0.536,0.5,0.268,0.349,0.0,0.0,0.0,0.0,19
113,0.674,0.667,0.678,0.665,0.345,0.165,0.142,0.099,18
114,0.672,0.665,0.674,0.664,0.339,0.193,0.17,0.134,18
115,0.647,0.64,0.649,0.638,0.289,0.158,0.136,0.125,18
116,0.654,0.646,0.657,0.644,0.302,0.125,0.102,0.087,18
117,0.652,0.644,0.654,0.642,0.298,0.153,0.131,0.118,18
118,0.653,0.643,0.661,0.638,0.303,0.156,0.137,0.102,18
119,0.561,0.557,0.558,0.556,0.115,0.018,0.021,0.08,18
120,0.571,0.569,0.569,0.569,0.139,0.101,0.102,0.001,18
121,0.555,0.526,0.694,0.409,0.142,0.008,0.004,0.001,18
122,0.531,0.5,0.266,0.347,0.0,0.0,0.0,0.0,18
123,0.653,0.639,0.645,0.64,0.284,0.136,0.119,0.065,7
124,0.656,0.643,0.648,0.644,0.291,0.145,0.13,0.063,7
125,0.654,0.643,0.646,0.643,0.288,0.183,0.167,0.103,7
126,0.65,0.64,0.643,0.641,0.282,0.161,0.148,0.07,7
127,0.64,0.617,0.632,0.616,0.249,0.179,0.17,0.102,7
128,0.621,0.593,0.612,0.587,0.204,0.083,0.079,0.005,7
129,0.628,0.606,0.619,0.604,0.225,0.041,0.029,0.024,7
130,0.636,0.618,0.627,0.618,0.244,0.061,0.048,0.011,7
131,0.613,0.586,0.603,0.58,0.188,0.071,0.061,0.022,7
132,0.618,0.6,0.607,0.6,0.207,0.084,0.097,0.14,7
133,0.568,0.5,0.284,0.362,0.0,0.0,0.0,0.0,7
134,0.675,0.665,0.676,0.664,0.34,0.174,0.144,0.088,6
135,0.663,0.652,0.664,0.651,0.316,0.164,0.141,0.066,6
136,0.658,0.647,0.659,0.646,0.306,0.136,0.112,0.046,6
137,0.657,0.646,0.658,0.645,0.304,0.157,0.134,0.065,6
138,0.662,0.651,0.662,0.65,0.313,0.169,0.146,0.073,6
139,0.66,0.648,0.661,0.647,0.309,0.17,0.144,0.091,6
140,0.675,0.664,0.678,0.663,0.342,0.223,0.196,0.132,6
141,0.654,0.64,0.659,0.637,0.299,0.121,0.096,0.051,6
142,0.628,0.618,0.626,0.616,0.244,0.053,0.034,0.022,6
143,0.568,0.565,0.565,0.565,0.13,0.1,0.091,0.053,6
144,0.542,0.5,0.271,0.352,0.0,0.0,0.0,0.0,6
145,0.666,0.657,0.666,0.657,0.323,0.161,0.138,0.061,4
146,0.665,0.657,0.665,0.656,0.322,0.159,0.137,0.058,4
147,0.665,0.656,0.666,0.656,0.322,0.152,0.13,0.049,4
148,0.667,0.659,0.666,0.659,0.325,0.186,0.163,0.09,4
149,0.668,0.66,0.667,0.661,0.327,0.207,0.184,0.107,4
150,0.667,0.659,0.667,0.659,0.326,0.18,0.157,0.08,4
151,0.648,0.637,0.65,0.634,0.286,0.138,0.117,0.062,4
