accuracy	0.700000	0.700000	0.680000	0.716667	0.676667	0.683333	0.643333	0.710000	0.723333	0.700000	0.670000	0.703333	0.673333	0.726667	0.716667	0.690000	0.653333	0.683333	0.693333	0.720000
recall	0.640187	0.605412	0.602292	0.628044	0.618430	0.603323	0.570918	0.628422	0.662698	0.641419	0.594663	0.658870	0.599818	0.684346	0.637255	0.627926	0.577237	0.632212	0.631127	0.651710
precision	0.636508	0.620497	0.625192	0.642544	0.625000	0.602548	0.586044	0.633576	0.668263	0.632107	0.609492	0.661489	0.616071	0.663450	0.668643	0.632103	0.582681	0.629910	0.641534	0.653934
f1score	0.638186	0.610187	0.606019	0.633363	0.620970	0.602926	0.571263	0.630725	0.665210	0.635746	0.597948	0.660093	0.603367	0.670347	0.644723	0.629772	0.579084	0.630977	0.634921	0.652778
mcc	0.276670	0.225405	0.226328	0.270199	0.243341	0.205870	0.156232	0.261947	0.330914	0.273367	0.203616	0.320349	0.215277	0.347168	0.304283	0.259996	0.159825	0.262112	0.272463	0.305636
spd0	0.032378	0.040738	0.046914	0.030024	0.083084	0.015596	0.008742	0.067305	0.052002	0.039801	0.063211	0.085000	0.079121	0.146818	0.002311	0.039281	0.106064	0.034439	0.058946	0.008570
aod0	0.071378	0.047194	0.047615	0.012688	0.081602	0.055894	0.004656	0.129935	0.009640	0.011844	0.049534	0.109541	0.092698	0.151089	0.006241	0.062860	0.135202	0.030858	0.114159	0.043193
eod0	0.072380	0.054978	0.028816	0.034714	0.092531	0.015083	0.050884	0.018311	0.038510	0.018740	0.002381	0.082880	0.026778	0.098039	0.056926	0.063063	0.117522	0.053571	0.060977	0.031297
spd1	0.014769	0.006498	0.097805	0.056206	0.121270	0.153846	0.040000	0.037698	0.191786	0.038188	0.046011	0.094015	0.011249	0.195258	0.070720	0.093975	0.014798	0.035670	0.042452	0.058370
aod1	0.079448	0.036603	0.068499	0.027862	0.187086	0.107625	0.003874	0.023963	0.151258	0.122920	0.009737	0.073553	0.024931	0.135102	0.073935	0.040782	0.037290	0.017410	0.104198	0.006642
eod1	0.105940	0.061108	0.104087	0.058913	0.103526	0.143769	0.032987	0.032708	0.223842	0.007033	0.048362	0.053956	0.037868	0.172504	0.011164	0.139963	0.092437	0.034821	0.034483	0.010526
wcspd	0.055294	0.063559	0.140748	0.226389	0.158757	0.212560	0.046131	0.286713	0.255214	0.112514	0.076784	0.357635	0.106143	0.317517	0.163009	0.149782	0.161557	0.235294	0.098465	0.114130
wcaod	0.139932	0.075078	0.119721	0.295000	0.220028	0.155181	0.029874	0.261142	0.220599	0.222729	0.075911	0.362060	0.152928	0.247951	0.149768	0.108006	0.200027	0.228571	0.187989	0.089452
wceod	0.183769	0.134772	0.118229	0.192593	0.189533	0.274235	0.118881	0.173077	0.262903	0.090278	0.100000	0.275401	0.093082	0.338816	0.083447	0.222222	0.173423	0.318681	0.178571	0.224359
avespd	0.019880	0.022663	0.054459	0.070660	0.063340	0.078894	0.020153	0.077340	0.091866	0.030539	0.038032	0.102488	0.031052	0.083167	0.044097	0.058476	0.047965	0.083325	0.034286	0.031779
aveaod	0.042356	0.032638	0.045681	0.083114	0.093145	0.043193	0.013145	0.087917	0.077372	0.077780	0.024466	0.103910	0.048523	0.087188	0.044174	0.041092	0.073320	0.081194	0.056751	0.035176
aveeod	0.054735	0.048713	0.050958	0.060474	0.059839	0.072680	0.035736	0.047233	0.110170	0.033465	0.027000	0.080903	0.028340	0.097536	0.028674	0.088267	0.062320	0.082762	0.051623	0.074761
