accuracy	0.611561	0.619665	0.622907	0.615883	0.611021	0.631010	0.615883	0.647218	0.623447	0.624527	0.645597	0.641815	0.624527	0.640194	0.633171	0.615343	0.624527	0.632631	0.614263	0.626148
recall	0.596237	0.607047	0.601876	0.594897	0.592097	0.615404	0.595145	0.618905	0.604241	0.604370	0.622573	0.620666	0.599413	0.613745	0.609372	0.597298	0.607590	0.612661	0.599357	0.609809
precision	0.630264	0.633621	0.624042	0.631086	0.621650	0.640368	0.626820	0.645785	0.632923	0.626583	0.659726	0.661250	0.635364	0.651318	0.643062	0.625023	0.632288	0.638314	0.630611	0.639204
f1score	0.576585	0.593573	0.593862	0.576263	0.575852	0.606041	0.579276	0.614400	0.591985	0.596480	0.611957	0.607129	0.584270	0.602354	0.597647	0.583339	0.597458	0.604335	0.582169	0.597101
mcc	0.223931	0.239196	0.224828	0.223067	0.211694	0.254550	0.219694	0.263322	0.235423	0.229881	0.279843	0.278980	0.232009	0.262387	0.250175	0.220585	0.238603	0.249661	0.227835	0.247272
spd0	0.060313	0.050858	0.098112	0.097864	0.035264	0.095892	0.063056	0.097352	0.114257	0.086957	0.064797	0.101847	0.067589	0.081685	0.104226	0.093381	0.051406	0.092872	0.060205	0.081407
aod0	0.036850	0.010081	0.077627	0.075524	0.003360	0.064490	0.030120	0.078358	0.087963	0.057296	0.030386	0.067108	0.045019	0.056078	0.077877	0.077510	0.034551	0.058761	0.029455	0.051366
eod0	0.022663	0.031200	0.059702	0.054191	0.013647	0.067305	0.046466	0.048027	0.063722	0.063543	0.043616	0.066717	0.030004	0.050183	0.068289	0.043778	0.009482	0.065385	0.037957	0.067330
spd1	0.084044	0.086188	0.108259	0.107083	0.096361	0.085868	0.075543	0.129600	0.126704	0.102005	0.097318	0.085619	0.087198	0.105989	0.125426	0.113686	0.113171	0.100183	0.098074	0.102464
aod1	0.067551	0.066400	0.088983	0.084797	0.078865	0.068674	0.056480	0.108645	0.111495	0.084872	0.079827	0.071115	0.074426	0.090171	0.109522	0.092667	0.090806	0.083532	0.085469	0.083323
eod1	0.048727	0.061130	0.085305	0.089654	0.060654	0.057996	0.035426	0.092594	0.099397	0.071468	0.058140	0.058420	0.066198	0.050920	0.088632	0.092500	0.069975	0.088989	0.051998	0.068172
wcspd	0.100280	0.102928	0.162641	0.172643	0.119787	0.157647	0.109603	0.181387	0.217789	0.156257	0.114121	0.157040	0.117504	0.150630	0.173475	0.180115	0.147642	0.157029	0.122683	0.123864
wcaod	0.079494	0.080474	0.135679	0.140473	0.079482	0.130758	0.081106	0.140702	0.185611	0.127313	0.093819	0.111114	0.092795	0.107761	0.132188	0.148851	0.113249	0.101092	0.096685	0.101040
wceod	0.074737	0.074981	0.117325	0.129464	0.098473	0.106369	0.074708	0.120089	0.158656	0.102105	0.075471	0.120330	0.091076	0.095869	0.125764	0.133509	0.100208	0.128916	0.084538	0.111307
avespd	0.049784	0.046829	0.071105	0.069325	0.046643	0.061191	0.046303	0.079262	0.080985	0.065382	0.055450	0.065922	0.052583	0.064286	0.078991	0.070291	0.053839	0.067112	0.053435	0.063593
aveaod	0.035043	0.024191	0.057743	0.054544	0.036539	0.043208	0.028755	0.065320	0.067078	0.049904	0.036763	0.047688	0.039852	0.049250	0.064096	0.058128	0.044171	0.048010	0.040311	0.045257
aveeod	0.025878	0.031467	0.049074	0.046368	0.036650	0.042487	0.029838	0.047361	0.051409	0.047187	0.035570	0.042411	0.032254	0.033674	0.052858	0.046526	0.040335	0.051365	0.030770	0.046179
