accuracy	0.840053	0.843075	0.839242	0.843075	0.844770	0.848824	0.847424	0.844402	0.844844	0.844697	0.844770	0.843296	0.844844	0.840495	0.845507	0.847940	0.848014	0.847424	0.847866	0.845802
recall	0.752922	0.761883	0.752557	0.755809	0.762881	0.760767	0.761293	0.755785	0.758684	0.753131	0.757146	0.756980	0.758704	0.750988	0.756810	0.755048	0.762847	0.757289	0.761456	0.754309
precision	0.799682	0.798332	0.799001	0.800621	0.799361	0.809371	0.806246	0.806392	0.800342	0.803067	0.806383	0.802071	0.805582	0.797477	0.805557	0.811547	0.806837	0.809484	0.806881	0.806152
f1score	0.771133	0.776974	0.770636	0.773588	0.778037	0.779902	0.779263	0.775290	0.775557	0.772522	0.776271	0.774833	0.777135	0.769185	0.775852	0.776400	0.780532	0.777408	0.779589	0.774278
mcc	0.550622	0.559028	0.549599	0.554622	0.561057	0.568063	0.565756	0.559894	0.557472	0.553952	0.561374	0.557229	0.562336	0.546491	0.560251	0.563772	0.567983	0.564365	0.566519	0.558058
spd0	0.138915	0.137017	0.143976	0.133464	0.145827	0.140972	0.131107	0.122240	0.135444	0.136628	0.137822	0.142888	0.133755	0.125385	0.135214	0.129741	0.136362	0.130460	0.150742	0.130879
aod0	0.013580	0.007468	0.019241	0.002469	0.016588	0.022284	0.002733	0.003826	0.002853	0.007462	0.010041	0.010132	0.009743	0.015334	0.012617	0.005414	0.005823	0.006724	0.018549	0.008876
eod0	0.025788	0.032594	0.014341	0.044520	0.021583	0.000883	0.048783	0.045310	0.043951	0.032722	0.029547	0.032426	0.016762	0.080071	0.024941	0.033150	0.037855	0.029685	0.018836	0.028094
spd1	0.081421	0.073043	0.079877	0.076705	0.078010	0.083611	0.078852	0.074503	0.080178	0.073755	0.077300	0.082910	0.069238	0.082048	0.083147	0.069541	0.081487	0.077995	0.084122	0.081919
aod1	0.022706	0.009471	0.033848	0.019181	0.009427	0.047189	0.035446	0.026862	0.026396	0.029068	0.019742	0.023376	0.014042	0.041376	0.031721	0.022729	0.029567	0.030060	0.045619	0.045252
eod1	0.017890	0.004860	0.044344	0.008610	0.047163	0.072155	0.047362	0.032655	0.022004	0.038112	0.010486	0.022282	0.009502	0.051387	0.035518	0.021825	0.035061	0.036518	0.069276	0.061115
wcspd	0.177413	0.173540	0.180674	0.165572	0.180683	0.183473	0.173672	0.165567	0.177339	0.177431	0.173585	0.182245	0.166930	0.164355	0.180735	0.169531	0.173899	0.171364	0.188665	0.176893
wcaod	0.042425	0.020367	0.045679	0.047990	0.029701	0.091546	0.056419	0.056039	0.033193	0.039416	0.026086	0.044862	0.040884	0.064351	0.044694	0.034094	0.036992	0.051828	0.065835	0.060067
wceod	0.118376	0.035613	0.062774	0.125974	0.083414	0.146090	0.101323	0.106779	0.090205	0.072491	0.041859	0.068885	0.058474	0.145047	0.061687	0.055075	0.075273	0.091403	0.095163	0.095654
avespd	0.073340	0.068497	0.074503	0.069681	0.074386	0.073926	0.070170	0.065550	0.072412	0.068230	0.069956	0.075445	0.065989	0.068988	0.072309	0.066507	0.072350	0.069497	0.077019	0.070544
aveaod	0.015540	0.005646	0.018672	0.014557	0.012911	0.030936	0.021942	0.019478	0.009893	0.015118	0.009848	0.014698	0.010998	0.021787	0.016401	0.013016	0.015961	0.018953	0.024741	0.024526
aveeod	0.033476	0.012395	0.022656	0.039928	0.032189	0.049975	0.036894	0.033790	0.032279	0.024347	0.012480	0.022418	0.015314	0.041153	0.022475	0.018614	0.024928	0.030329	0.040028	0.037611
