gen,nevals,avg,std,min,max
0,50,[0.81682 0.09132],[0.01480363 0.03699808],[0.789 0.049],[0.853 0.258]
1,5,[0.8152 0.1416],[0.02305992 0.06665313],[0.788 0.079],[0.853 0.226]
2,4,[0.8146 0.0618],[0.02900069 0.02192168],[0.779 0.032],[0.852 0.093]
3,5,[0.815  0.0568],[0.03075711 0.02230157],[0.779 0.025],[0.852 0.08 ]
4,3,[0.822 0.07 ],[0.02494795 0.01252198],[0.799 0.046],[0.853 0.08 ]
5,4,[0.8002 0.0594],[0.00762627 0.02141588],[0.789 0.023],[0.81  0.087]
6,5,[0.8042 0.0716],[0.01710439 0.02468684],[0.785 0.03 ],[0.829 0.097]
7,5,[0.7934 0.0382],[0.03148714 0.02170161],[0.757 0.005],[0.851 0.07 ]
8,4,[0.8206 0.0938],[0.01547385 0.05823538],[0.808 0.058],[0.851 0.21 ]
9,3,[0.8034 0.0992],[0.031822   0.09343747],[0.764 0.004],[0.852 0.21 ]
10,3,[0.8002 0.1454],[0.01414779 0.08818072],[0.773 0.004],[0.814 0.222]
11,4,[0.795 0.098],[0.0190263  0.08611852],[0.776 0.028],[0.829 0.264]
12,5,[0.8066 0.103 ],[0.01228983 0.06323923],[0.786 0.056],[0.818 0.228]
13,2,[0.808 0.101],[0.0121326 0.0646096],[0.786 0.048],[0.818 0.228]
14,4,[0.8072 0.0792],[0.00874986 0.01731358],[0.796 0.048],[0.818 0.097]
15,5,[0.8066 0.08  ],[0.01594491 0.00756307],[0.784 0.07 ],[0.828 0.093]
16,5,[0.8042 0.08  ],[0.01041921 0.01025671],[0.792 0.061],[0.821 0.09 ]
17,5,[0.8118 0.081 ],[0.00587878 0.00565685],[0.801 0.074],[0.817 0.091]
18,4,[0.8208 0.0832],[0.01333267 0.0096623 ],[0.812 0.07 ],[0.847 0.096]
19,4,[0.8256 0.074 ],[0.01765899 0.00829458],[0.807 0.059],[0.847 0.083]
20,5,[0.8136 0.083 ],[0.01872538 0.0056921 ],[0.796 0.077],[0.849 0.093]
21,4,[0.8158 0.0702],[0.01936388 0.01487817],[0.797 0.043],[0.848 0.087]
22,5,[0.825  0.0786],[0.01725109 0.01212601],[0.804 0.062],[0.847 0.098]
23,3,[0.8138 0.108 ],[0.01596747 0.06302063],[0.799 0.062],[0.844 0.232]
24,2,[0.8072 0.1198],[0.00810925 0.05629707],[0.796 0.086],[0.815 0.232]
25,2,[0.816  0.0934],[0.00126491 0.00440908],[0.815 0.088],[0.818 0.097]
