gen,nevals,avg,std,min,max
0,50,[0.81678 0.1862 ],[0.01840684 0.07216481],[0.787 0.082],[0.852 0.398]
1,5,[0.8222 0.1628],[0.01932253 0.00746726],[0.795 0.151],[0.843 0.174]
2,5,[0.8248 0.2628],[0.01856233 0.10802481],[0.798 0.169],[0.846 0.396]
3,3,[0.8246 0.2844],[0.01529183 0.14169347],[0.806 0.169],[0.843 0.51 ]
4,5,[0.8134 0.1504],[0.00332265 0.04091748],[0.807 0.071],[0.816 0.185]
5,5,[0.8148 0.1658],[0.00318748 0.01316662],[0.811 0.144],[0.819 0.183]
6,4,[0.8198 0.2142],[0.00584466 0.09591955],[0.811 0.163],[0.826 0.406]
7,5,[0.8172 0.204 ],[0.0143722  0.09408507],[0.806 0.151],[0.845 0.392]
8,4,[0.8228 0.215 ],[0.0152368  0.08924573],[0.807 0.152],[0.845 0.392]
9,4,[0.8282 0.17  ],[0.01558717 0.0073212 ],[0.806 0.157],[0.844 0.177]
10,5,[0.8234 0.2072],[0.01449966 0.09046856],[0.806 0.15 ],[0.846 0.386]
11,3,[0.8192 0.1614],[0.01163443 0.01560256],[0.81  0.138],[0.842 0.185]
12,5,[0.8156 0.2622],[0.01696585 0.13649967],[0.801 0.135],[0.847 0.462]
13,4,[0.8118 0.1552],[0.01803774 0.01949769],[0.797 0.135],[0.846 0.19 ]
14,1,[0.8194 0.1534],[0.01820549 0.01902209],[0.801 0.139],[0.846 0.19 ]
15,3,[0.8132 0.1546],[0.00679412 0.00852291],[0.801 0.139],[0.822 0.163]
16,4,[0.8192 0.1616],[0.00556417 0.00983056],[0.812 0.149],[0.827 0.175]
17,5,[0.8216 0.1706],[0.00628013 0.00816333],[0.814 0.161],[0.83  0.185]
18,4,[0.8134 0.1686],[0.00788923 0.00811419],[0.806 0.156],[0.828 0.179]
19,3,[0.8178 0.1682],[0.00620967 0.01014692],[0.81  0.151],[0.828 0.181]
20,4,[0.8154 0.1572],[0.00449889 0.01390539],[0.808 0.14 ],[0.821 0.18 ]
21,4,[0.8184 0.1636],[0.00349857 0.00665132],[0.814 0.158],[0.823 0.176]
22,2,[0.8208 0.1634],[0.00248193 0.00598665],[0.816 0.158],[0.823 0.174]
23,4,[0.8104 0.1414],[0.015781   0.04293064],[0.78  0.056],[0.822 0.171]
24,5,[0.8158 0.1504],[0.01596747 0.04725505],[0.785 0.056],[0.828 0.177]
25,5,[0.819  0.2082],[0.00296648 0.08739199],[0.816 0.149],[0.823 0.382]
