accuracy,recall,precision,f1,mcc,spd,aod,eod
0.851,0.656,0.657,0.656,0.312,0.197,0.142,0.135
0.856,0.663,0.667,0.665,0.329,0.204,0.137,0.109
0.846,0.643,0.644,0.644,0.287,0.194,0.17,0.222
0.876,0.702,0.714,0.708,0.417,0.205,0.142,0.155
0.884,0.741,0.733,0.737,0.474,0.194,0.101,0.079
0.89,0.75,0.748,0.749,0.498,0.203,0.113,0.103
0.903,0.733,0.784,0.755,0.515,0.183,0.108,0.12
0.896,0.739,0.761,0.749,0.5,0.236,0.145,0.125
0.881,0.733,0.727,0.73,0.46,0.202,0.114,0.094
0.877,0.712,0.716,0.714,0.428,0.221,0.151,0.152
0.874,0.713,0.71,0.712,0.423,0.226,0.137,0.099
0.883,0.74,0.731,0.736,0.471,0.205,0.128,0.14
0.855,0.679,0.67,0.675,0.35,0.19,0.142,0.168
0.881,0.681,0.724,0.699,0.403,0.179,0.109,0.091
0.87,0.711,0.703,0.707,0.413,0.184,0.104,0.085
0.898,0.755,0.765,0.76,0.52,0.196,0.118,0.137
0.889,0.743,0.745,0.744,0.488,0.187,0.089,0.057
0.858,0.663,0.671,0.667,0.335,0.24,0.191,0.202
0.853,0.665,0.663,0.664,0.328,0.186,0.11,0.066
0.859,0.644,0.666,0.654,0.309,0.212,0.177,0.203
0.886,0.622,0.749,0.654,0.348,0.113,0.088,0.122
0.883,0.739,0.731,0.735,0.47,0.179,0.09,0.074
0.87,0.722,0.706,0.713,0.427,0.208,0.121,0.094
0.839,0.682,0.651,0.664,0.332,0.136,0.058,0.024
0.886,0.659,0.74,0.687,0.39,0.169,0.139,0.189
0.867,0.707,0.696,0.702,0.403,0.19,0.122,0.128
0.854,0.65,0.66,0.655,0.31,0.238,0.168,0.125
0.841,0.649,0.642,0.645,0.291,0.182,0.141,0.161
0.852,0.663,0.661,0.662,0.324,0.205,0.146,0.134
0.876,0.73,0.718,0.724,0.448,0.222,0.131,0.104
0.853,0.669,0.664,0.666,0.332,0.172,0.118,0.125
0.886,0.666,0.74,0.693,0.399,0.247,0.221,0.283
0.867,0.7,0.695,0.698,0.395,0.223,0.132,0.08
0.882,0.75,0.731,0.74,0.481,0.214,0.118,0.096
0.882,0.734,0.729,0.731,0.463,0.185,0.111,0.124
0.88,0.724,0.723,0.724,0.448,0.196,0.123,0.132
0.89,0.676,0.753,0.705,0.423,0.154,0.099,0.11
0.873,0.725,0.711,0.718,0.436,0.172,0.064,0.002
0.876,0.693,0.712,0.701,0.404,0.184,0.114,0.105
0.852,0.67,0.663,0.666,0.333,0.196,0.136,0.13
0.891,0.736,0.75,0.743,0.486,0.227,0.149,0.154
0.899,0.741,0.771,0.755,0.511,0.178,0.095,0.093
0.889,0.743,0.744,0.744,0.487,0.218,0.132,0.126
0.878,0.727,0.72,0.724,0.447,0.19,0.104,0.084
0.855,0.668,0.667,0.667,0.335,0.182,0.139,0.169
0.879,0.681,0.718,0.696,0.397,0.184,0.124,0.127
0.877,0.727,0.718,0.723,0.445,0.188,0.118,0.135
0.872,0.708,0.707,0.707,0.415,0.189,0.097,0.05
0.891,0.721,0.75,0.734,0.47,0.226,0.16,0.18
0.872,0.721,0.708,0.714,0.429,0.185,0.123,0.152
0.865,0.717,0.696,0.705,0.412,0.145,0.072,0.075
0.87,0.705,0.702,0.703,0.407,0.202,0.132,0.13
0.871,0.724,0.707,0.715,0.431,0.173,0.082,0.05
0.863,0.683,0.685,0.684,0.368,0.198,0.116,0.073
0.879,0.639,0.714,0.664,0.345,0.175,0.139,0.163
0.875,0.702,0.711,0.707,0.414,0.199,0.145,0.176
0.888,0.623,0.758,0.657,0.357,0.127,0.103,0.143
