gen,nevals,avg,std,min,max
0,50,[0.8786 0.362 ],[0.01190126 0.04434772],[0.856 0.258],[0.901 0.486]
1,4,[0.8826 0.3496],[0.01111036 0.01586947],[0.868 0.328],[0.899 0.368]
2,5,[0.8842 0.3244],[0.00936803 0.03614194],[0.871 0.264],[0.894 0.368]
3,2,[0.8828 0.342 ],[0.00682349 0.05094311],[0.874 0.264],[0.889 0.406]
4,2,[0.8814 0.3544],[0.00875443 0.04810655],[0.874 0.294],[0.896 0.406]
5,3,[0.8822 0.3484],[0.00915205 0.03387979],[0.874 0.304],[0.898 0.406]
6,5,[0.8834 0.328 ],[0.00793977 0.07165473],[0.872 0.26 ],[0.892 0.42 ]
7,5,[0.8844 0.3188],[0.00932952 0.0375148 ],[0.873 0.282],[0.893 0.38 ]
8,5,[0.8896 0.2976],[0.00287054 0.10410303],[0.885 0.11 ],[0.893 0.42 ]
9,3,[0.8896 0.2624],[0.00185472 0.08084949],[0.887 0.11 ],[0.892 0.336]
10,5,[0.891  0.3116],[0.00374166 0.02323446],[0.886 0.27 ],[0.897 0.34 ]
11,3,[0.8914 0.239 ],[0.00185472 0.0985576 ],[0.889 0.117],[0.894 0.34 ]
12,5,[0.8914 0.2434],[0.00402989 0.06406122],[0.886 0.117],[0.895 0.29 ]
13,4,[0.8878 0.2654],[0.00752064 0.09227697],[0.874 0.103],[0.895 0.388]
14,5,[0.8858 0.308 ],[0.00263818 0.11172108],[0.881 0.092],[0.889 0.404]
15,4,[0.8808 0.3158],[0.01045753 0.10156456],[0.868 0.123],[0.89  0.404]
16,5,[0.882  0.2984],[0.00867179 0.0863055 ],[0.869 0.128],[0.892 0.358]
17,5,[0.8816 0.284 ],[0.00665132 0.13943457],[0.874 0.105],[0.891 0.428]
18,5,[0.8744 0.3156],[0.01352923 0.02624195],[0.857 0.284],[0.893 0.352]
19,4,[0.8736 0.3584],[0.0106132  0.05068175],[0.863 0.284],[0.893 0.44 ]
20,4,[0.8756 0.3668],[0.00287054 0.04037029],[0.872 0.322],[0.88 0.44]
21,5,[0.8684 0.3576],[0.00463033 0.02242855],[0.864 0.332],[0.875 0.392]
22,3,[0.8684 0.3284],[0.00475815 0.01882126],[0.864 0.302],[0.876 0.356]
23,5,[0.8768 0.3712],[0.00324962 0.04092139],[0.872 0.336],[0.882 0.448]
24,3,[0.8724 0.3648],[0.00427083 0.03140955],[0.866 0.336],[0.878 0.42 ]
25,3,[0.8688 0.3468],[0.00679412 0.0474232 ],[0.857 0.282],[0.876 0.42 ]
