accuracy,recall,precision,f1,mcc,spd,aod,eod
0.65,0.645,0.651,0.644,0.295,0.15,0.127,0.083
0.599,0.595,0.596,0.595,0.191,0.094,0.108,0.154
0.612,0.606,0.61,0.605,0.216,0.069,0.05,0.032
0.66,0.657,0.659,0.658,0.316,0.178,0.151,0.122
0.633,0.625,0.635,0.622,0.26,0.116,0.095,0.064
0.604,0.601,0.602,0.601,0.203,0.081,0.062,0.054
0.602,0.596,0.6,0.595,0.197,0.11,0.097,0.051
0.611,0.609,0.609,0.609,0.219,0.065,0.047,0.021
0.594,0.591,0.592,0.591,0.183,0.036,0.022,0.012
0.565,0.541,0.611,0.468,0.135,0.047,0.043,0.007
0.605,0.599,0.602,0.599,0.202,0.11,0.097,0.046
0.586,0.585,0.585,0.585,0.169,0.072,0.058,0.034
0.604,0.602,0.602,0.602,0.205,0.024,0.004,0.001
0.66,0.659,0.659,0.659,0.318,0.128,0.097,0.097
0.541,0.513,0.576,0.399,0.063,0.018,0.018,0.004
0.596,0.594,0.595,0.594,0.189,0.079,0.065,0.032
0.65,0.648,0.648,0.648,0.296,0.102,0.079,0.033
0.58,0.562,0.599,0.526,0.156,0.067,0.064,0.0
0.629,0.633,0.634,0.629,0.268,0.114,0.089,0.08
0.578,0.561,0.589,0.534,0.147,0.007,0.015,0.051
0.598,0.605,0.61,0.595,0.215,0.081,0.06,0.061
0.621,0.621,0.621,0.62,0.242,0.159,0.14,0.105
0.574,0.572,0.572,0.572,0.144,0.076,0.065,0.038
0.588,0.585,0.586,0.585,0.171,0.072,0.063,0.004
0.602,0.598,0.6,0.598,0.198,0.07,0.06,0.013
0.548,0.525,0.559,0.454,0.076,0.012,0.011,0.024
0.565,0.563,0.563,0.563,0.127,0.01,0.02,0.047
0.608,0.604,0.606,0.604,0.21,0.099,0.087,0.028
0.63,0.625,0.629,0.625,0.254,0.139,0.118,0.093
0.6,0.593,0.598,0.591,0.191,0.398,0.388,0.346
0.642,0.638,0.64,0.638,0.278,0.202,0.186,0.101
0.623,0.619,0.622,0.619,0.241,0.127,0.112,0.048
0.582,0.578,0.58,0.577,0.157,0.156,0.143,0.131
0.648,0.645,0.646,0.645,0.291,0.16,0.138,0.091
0.616,0.611,0.614,0.61,0.225,0.061,0.041,0.027
0.579,0.556,0.63,0.495,0.171,0.038,0.033,0.009
0.597,0.596,0.596,0.596,0.191,0.095,0.079,0.059
0.596,0.594,0.595,0.594,0.189,0.084,0.07,0.032
0.618,0.616,0.616,0.616,0.232,0.113,0.093,0.072
0.554,0.53,0.582,0.454,0.099,0.02,0.019,0.02
0.597,0.592,0.595,0.591,0.186,0.042,0.029,0.012
0.535,0.506,0.562,0.374,0.038,0.014,0.012,0.016
0.573,0.569,0.57,0.569,0.14,0.038,0.026,0.015
0.645,0.635,0.651,0.63,0.286,0.105,0.081,0.061
0.646,0.638,0.65,0.635,0.287,0.141,0.118,0.087
0.649,0.651,0.65,0.649,0.301,0.179,0.157,0.103
0.6,0.596,0.598,0.596,0.194,0.072,0.059,0.011
0.621,0.622,0.621,0.621,0.243,0.15,0.135,0.069
0.649,0.642,0.65,0.641,0.292,0.093,0.071,0.023
0.612,0.609,0.61,0.609,0.219,0.13,0.114,0.074
0.619,0.615,0.617,0.615,0.232,0.103,0.082,0.064
0.556,0.538,0.558,0.503,0.094,0.073,0.068,0.053
0.564,0.547,0.568,0.519,0.113,0.067,0.06,0.043
0.604,0.593,0.608,0.584,0.2,0.104,0.093,0.04
0.607,0.597,0.611,0.589,0.207,0.084,0.071,0.032
0.635,0.634,0.634,0.634,0.267,0.076,0.054,0.022
0.554,0.537,0.555,0.504,0.09,0.144,0.158,0.119
0.584,0.574,0.583,0.568,0.157,0.097,0.084,0.068
0.576,0.559,0.585,0.532,0.142,0.105,0.096,0.083
0.595,0.584,0.597,0.575,0.18,0.122,0.115,0.046
0.558,0.534,0.581,0.468,0.106,0.024,0.017,0.014
0.654,0.65,0.652,0.65,0.302,0.114,0.087,0.065
0.662,0.656,0.663,0.656,0.32,0.108,0.081,0.045
0.61,0.608,0.608,0.608,0.216,0.147,0.131,0.093
0.636,0.624,0.649,0.615,0.272,0.111,0.091,0.057
0.589,0.588,0.588,0.588,0.176,0.171,0.155,0.152
0.599,0.603,0.604,0.599,0.206,0.189,0.172,0.153
0.661,0.655,0.662,0.654,0.316,0.16,0.135,0.091
0.6,0.603,0.603,0.6,0.206,0.165,0.148,0.123
0.588,0.577,0.59,0.567,0.166,0.152,0.146,0.08
0.646,0.637,0.65,0.633,0.287,0.136,0.119,0.049
0.574,0.559,0.579,0.537,0.137,0.06,0.05,0.038
0.615,0.6,0.634,0.581,0.231,0.302,0.299,0.186
0.598,0.585,0.604,0.572,0.187,0.051,0.038,0.006
0.576,0.557,0.596,0.517,0.148,0.07,0.087,0.053
0.593,0.596,0.596,0.593,0.192,0.119,0.103,0.082
0.643,0.634,0.649,0.63,0.283,0.111,0.09,0.048
0.645,0.634,0.657,0.626,0.29,0.125,0.105,0.061
0.554,0.538,0.552,0.511,0.089,0.017,0.01,0.005
0.572,0.556,0.577,0.532,0.132,0.109,0.097,0.108
0.581,0.567,0.584,0.552,0.15,0.054,0.043,0.026
0.621,0.618,0.619,0.618,0.237,0.179,0.158,0.147
0.625,0.624,0.623,0.624,0.247,0.161,0.139,0.121
0.579,0.568,0.579,0.557,0.146,0.226,0.245,0.225
0.595,0.59,0.593,0.589,0.183,0.155,0.141,0.116
0.642,0.638,0.64,0.637,0.278,0.086,0.062,0.033
0.621,0.612,0.623,0.607,0.235,0.137,0.121,0.076
0.585,0.582,0.582,0.582,0.164,0.148,0.134,0.126
0.537,0.512,0.538,0.421,0.042,0.032,0.031,0.024
0.592,0.578,0.599,0.561,0.175,0.064,0.052,0.026
0.59,0.582,0.589,0.578,0.171,0.335,0.327,0.287
0.575,0.57,0.572,0.569,0.141,0.104,0.095,0.068
0.578,0.58,0.58,0.578,0.16,0.101,0.088,0.063
0.51,0.493,0.49,0.457,-0.017,0.594,0.605,0.555
0.592,0.589,0.59,0.589,0.179,0.125,0.114,0.067
0.539,0.513,0.545,0.419,0.048,0.008,0.007,0.039
0.54,0.512,0.562,0.403,0.056,0.009,0.008,0.035
0.575,0.567,0.572,0.564,0.14,0.111,0.101,0.081
0.525,0.509,0.512,0.48,0.02,0.565,0.576,0.546
0.629,0.623,0.629,0.622,0.252,0.166,0.146,0.122
0.532,0.502,0.552,0.36,0.022,0.002,0.004,0.002
0.576,0.58,0.581,0.575,0.162,0.112,0.1,0.07
0.557,0.531,0.625,0.435,0.123,0.042,0.04,0.011
0.646,0.641,0.644,0.641,0.286,0.098,0.074,0.042
0.536,0.507,0.627,0.367,0.059,0.011,0.015,0.002
0.572,0.547,0.635,0.472,0.159,0.015,0.009,0.021
0.589,0.575,0.596,0.557,0.169,0.105,0.095,0.062
0.58,0.583,0.584,0.579,0.167,0.124,0.113,0.072
0.551,0.534,0.549,0.503,0.082,0.074,0.069,0.062
0.545,0.517,0.597,0.404,0.081,0.019,0.015,0.021
0.536,0.506,0.595,0.37,0.05,0.004,0.002,0.009
0.538,0.508,0.734,0.364,0.084,0.0,0.002,0.002
0.565,0.545,0.579,0.502,0.119,0.083,0.075,0.071
0.602,0.613,0.628,0.594,0.24,0.049,0.028,0.02
0.551,0.525,0.588,0.435,0.095,0.009,0.002,0.021
0.551,0.529,0.562,0.467,0.085,0.187,0.187,0.152
0.578,0.563,0.584,0.542,0.145,0.078,0.068,0.047
0.572,0.559,0.573,0.542,0.131,0.099,0.093,0.05
0.593,0.591,0.591,0.591,0.182,0.041,0.022,0.026
0.656,0.649,0.657,0.648,0.306,0.176,0.154,0.101
0.592,0.591,0.591,0.591,0.182,0.11,0.093,0.086
0.546,0.518,0.628,0.399,0.096,0.001,0.003,0.004
0.584,0.583,0.583,0.583,0.166,0.117,0.106,0.066
0.587,0.59,0.59,0.587,0.18,0.101,0.084,0.082
0.569,0.552,0.577,0.522,0.127,0.076,0.068,0.053
0.53,0.501,0.509,0.366,0.006,0.006,0.006,0.008
0.63,0.628,0.628,0.628,0.256,0.236,0.218,0.173
0.59,0.58,0.59,0.573,0.17,0.053,0.038,0.029
0.538,0.511,0.549,0.404,0.045,0.005,0.003,0.034
0.617,0.61,0.616,0.608,0.226,0.07,0.051,0.03
0.529,0.5,0.495,0.363,-0.003,0.007,0.007,0.007
0.553,0.537,0.551,0.511,0.088,0.076,0.071,0.059
0.595,0.59,0.593,0.589,0.183,0.346,0.343,0.252
0.556,0.54,0.555,0.513,0.094,0.074,0.068,0.056
0.524,0.504,0.507,0.456,0.011,0.014,0.017,0.003
0.545,0.517,0.605,0.403,0.085,0.005,0.002,0.001
0.536,0.507,0.577,0.375,0.046,0.012,0.012,0.004
0.606,0.592,0.62,0.574,0.209,0.127,0.113,0.082
0.574,0.576,0.576,0.574,0.153,0.065,0.056,0.009
0.577,0.566,0.576,0.555,0.142,0.107,0.099,0.07
0.548,0.519,0.674,0.395,0.115,0.027,0.026,0.012
0.572,0.551,0.597,0.501,0.14,0.042,0.035,0.013
0.534,0.505,0.586,0.364,0.04,0.007,0.008,0.007
0.585,0.585,0.584,0.584,0.169,0.108,0.099,0.039
0.559,0.561,0.561,0.559,0.122,0.051,0.04,0.034
0.589,0.586,0.587,0.586,0.172,0.092,0.077,0.066
