gen,nevals,avg,std,min,max
0,50,[0.60634 0.14488],[0.02676312 0.14849763],[0.558 0.004],[0.671 0.678]
1,5,[0.6024 0.1144],[0.02289629 0.03801368],[0.586 0.052],[0.646 0.163]
2,3,[0.5818 0.0838],[0.01045753 0.02606454],[0.561 0.057],[0.589 0.115]
3,4,[0.587 0.09 ],[0.01946279 0.04770744],[0.556 0.011],[0.609 0.154]
4,5,[0.607  0.1474],[0.01247397 0.02777481],[0.587 0.123],[0.625 0.196]
5,4,[0.5982 0.2382],[0.02348957 0.23895807],[0.571 0.071],[0.625 0.708]
6,4,[0.5906 0.2124],[0.01028786 0.24850803],[0.571 0.057],[0.599 0.708]
7,3,[0.5758 0.2356],[0.03122435 0.26567243],[0.528 0.09 ],[0.604 0.766]
8,4,[0.5844 0.1646],[0.01904311 0.20689089],[0.549 0.014],[0.602 0.574]
9,5,[0.609  0.1402],[0.02109976 0.01225398],[0.575 0.125],[0.636 0.159]
10,1,[0.6246 0.1556],[0.02595072 0.02394661],[0.575 0.125],[0.65  0.196]
11,4,[0.622  0.1212],[0.01657709 0.03421929],[0.604 0.062],[0.645 0.159]
12,4,[0.62   0.1298],[0.01901578 0.02495115],[0.589 0.106],[0.649 0.173]
13,5,[0.6116 0.1398],[0.01228983 0.05424168],[0.596 0.062],[0.633 0.209]
14,5,[0.6104 0.1276],[0.0153701  0.03421462],[0.582 0.086],[0.625 0.189]
15,3,[0.6088 0.1112],[0.01503862 0.02743283],[0.582 0.081],[0.623 0.157]
16,5,[0.6002 0.108 ],[0.02188515 0.04771163],[0.567 0.027],[0.621 0.162]
17,5,[0.6286 0.1356],[0.03053261 0.05228614],[0.596 0.075],[0.669 0.208]
18,2,[0.6318 0.2404],[0.03029455 0.12781956],[0.596 0.165],[0.669 0.494]
19,4,[0.61   0.1334],[0.02672078 0.04222132],[0.586 0.086],[0.661 0.197]
20,4,[0.6016 0.1054],[0.01345511 0.03274508],[0.59  0.048],[0.627 0.139]
21,4,[0.6058 0.1172],[0.01161723 0.03807046],[0.596 0.043],[0.627 0.148]
22,3,[0.62   0.1004],[0.01015874 0.03907224],[0.609 0.043],[0.635 0.148]
23,3,[0.593 0.237],[0.02376552 0.3178981 ],[0.557 0.004],[0.627 0.864]
24,4,[0.592  0.2424],[0.01956528 0.3163622 ],[0.558 0.028],[0.61  0.864]
25,5,[0.605 0.237],[0.04013477 0.2345873 ],[0.548 0.109],[0.663 0.706]
