gen,nevals,avg,std,min,max
0,50,[0.59838 0.08706],[0.02796633 0.10090717],[0.534 0.008],[0.65 0.74]
1,4,[0.5996 0.1802],[0.03865023 0.22643975],[0.553 0.022],[0.654 0.628]
2,3,[0.6142 0.225 ],[0.0282588  0.21630626],[0.58  0.047],[0.654 0.628]
3,4,[0.6002 0.1074],[0.03350463 0.09131396],[0.546 0.021],[0.639 0.271]
4,4,[0.6194 0.1054],[0.0153961 0.089117 ],[0.593 0.011],[0.639 0.271]
5,5,[0.5908 0.1266],[0.01426043 0.06591388],[0.575 0.04 ],[0.615 0.239]
6,2,[0.5842 0.1194],[0.02781654 0.10153738],[0.531 0.002],[0.613 0.239]
7,4,[0.5992 0.1088],[0.01390539 0.08656189],[0.579 0.029],[0.613 0.265]
8,4,[0.5964 0.0768],[0.02300087 0.03551563],[0.56  0.032],[0.62  0.118]
9,4,[0.6104 0.0914],[0.02617327 0.04979398],[0.58  0.006],[0.649 0.159]
10,5,[0.62   0.0928],[0.01995996 0.01780337],[0.583 0.063],[0.637 0.115]
11,5,[0.5858 0.0602],[0.02297303 0.03114097],[0.548 0.024],[0.615 0.108]
12,4,[0.5938 0.0864],[0.00955824 0.03618619],[0.585 0.032],[0.612 0.14 ]
13,5,[0.5908 0.0522],[0.02574024 0.03836352],[0.543 0.003],[0.621 0.11 ]
14,4,[0.6062 0.044 ],[0.00765245 0.01456022],[0.599 0.025],[0.621 0.069]
15,4,[0.5916 0.0712],[0.03335626 0.04143139],[0.551 0.023],[0.623 0.148]
16,5,[0.5968 0.0944],[0.02903377 0.03206618],[0.551 0.066],[0.633 0.152]
17,5,[0.5916 0.0524],[0.02170346 0.03076752],[0.556 0.005],[0.616 0.102]
18,3,[0.6104 0.0522],[0.01112834 0.00479166],[0.596 0.045],[0.628 0.057]
19,3,[0.612  0.0456],[0.01828661 0.02366939],[0.59  0.018],[0.642 0.079]
20,2,[0.608  0.0526],[0.00839047 0.02043135],[0.596 0.018],[0.616 0.082]
21,3,[0.6012 0.0746],[0.00793473 0.03315177],[0.593 0.018],[0.616 0.105]
22,4,[0.5994 0.1848],[0.0227033 0.2432097],[0.555 0.004],[0.616 0.666]
23,5,[0.6048 0.0852],[0.00421426 0.02537243],[0.599 0.061],[0.612 0.134]
24,5,[0.5978 0.0528],[0.0238864  0.02658872],[0.573 0.012],[0.641 0.078]
25,5,[0.5942 0.1278],[0.02167395 0.05012544],[0.571 0.071],[0.635 0.216]
