gen,nevals,avg,std,min,max
0,50,[0.65074 0.07394],[0.02147073 0.08251943],[0.603 0.003],[0.7   0.432]
1,4,[0.6606 0.0666],[0.02001599 0.0387226 ],[0.637 0.023],[0.693 0.131]
2,4,[0.6508 0.0754],[0.02363387 0.05932487],[0.623 0.003],[0.687 0.169]
3,5,[0.6518 0.1532],[0.02494314 0.16951389],[0.613 0.026],[0.69  0.482]
4,5,[0.638  0.0514],[0.03084801 0.03297636],[0.6  0.01],[0.69  0.093]
5,3,[0.6534 0.045 ],[0.02024451 0.03242838],[0.633 0.006],[0.69  0.084]
6,3,[0.668  0.0404],[0.03369866 0.04906975],[0.603 0.007],[0.69  0.138]
7,4,[0.6674 0.0558],[0.00682935 0.03173263],[0.66  0.007],[0.68  0.105]
8,5,[0.6602 0.0446],[0.01330263 0.03538135],[0.637 0.002],[0.677 0.089]
9,5,[0.6466 0.0664],[0.01849973 0.04851227],[0.613 0.007],[0.66  0.129]
10,3,[0.67   0.0556],[0.01264911 0.04558772],[0.66  0.014],[0.69  0.129]
11,5,[0.6434 0.0816],[0.03069593 0.04206947],[0.59  0.002],[0.677 0.125]
12,5,[0.6506 0.0354],[0.02165733 0.01768163],[0.627 0.006],[0.68  0.058]
13,5,[0.6478 0.0498],[0.01097998 0.03346282],[0.63  0.002],[0.663 0.097]
14,5,[0.6652 0.0762],[0.00872697 0.04688454],[0.653 0.015],[0.677 0.15 ]
15,4,[0.6346 0.0306],[0.01588207 0.03834892],[0.61  0.006],[0.66  0.107]
16,5,[0.6486 0.1024],[0.01130664 0.06831281],[0.64  0.003],[0.67  0.174]
17,5,[0.6264 0.0334],[0.03283656 0.05019402],[0.58  0.001],[0.653 0.133]
18,5,[0.6374 0.2016],[0.01670449 0.21537372],[0.617 0.007],[0.66  0.488]
19,4,[0.6574 0.1702],[0.02605072 0.14212305],[0.637 0.048],[0.707 0.44 ]
20,3,[0.6526 0.1244],[0.01945867 0.16156435],[0.63  0.003],[0.683 0.44 ]
21,4,[0.6574 0.0412],[0.01070701 0.02183941],[0.64  0.003],[0.667 0.071]
22,4,[0.6522 0.0652],[0.02474995 0.04107262],[0.617 0.01 ],[0.69  0.134]
23,4,[0.6646 0.174 ],[0.02289629 0.2189621 ],[0.623 0.009],[0.69  0.604]
24,1,[0.6746 0.0444],[0.01721162 0.03153791],[0.643 0.009],[0.69 0.08]
25,4,[0.656 0.048],[0.0117983  0.04882622],[0.643 0.01 ],[0.673 0.142]
