gen,nevals,avg,std,min,max
0,50,[0.65738 0.0634 ],[0.02437941 0.06874125],[0.587 0.001],[0.717 0.402]
1,5,[0.648 0.129],[0.02027807 0.14568734],[0.623 0.002],[0.673 0.334]
2,3,[0.6468 0.095 ],[0.01813725 0.11771491],[0.623 0.002],[0.667 0.314]
3,5,[0.68   0.0554],[0.01340149 0.03165186],[0.663 0.001],[0.7  0.09]
4,4,[0.6532 0.1012],[0.02823756 0.09156069],[0.62  0.016],[0.69  0.272]
5,3,[0.6624 0.073 ],[0.01689497 0.03247153],[0.643 0.02 ],[0.69  0.104]
6,5,[0.662  0.1574],[0.01454648 0.09628416],[0.643 0.093],[0.68  0.348]
7,4,[0.6558 0.116 ],[0.01776964 0.08963705],[0.633 0.02 ],[0.683 0.282]
8,5,[0.662  0.1336],[0.02115656 0.12449193],[0.62  0.014],[0.677 0.37 ]
9,4,[0.6512 0.1822],[0.01287478 0.13822069],[0.633 0.052],[0.673 0.37 ]
10,4,[0.6534 0.0676],[0.01434713 0.05076849],[0.627 0.002],[0.667 0.121]
11,5,[0.6366 0.0546],[0.01616911 0.04058867],[0.613 0.001],[0.657 0.123]
12,3,[0.6488 0.0532],[0.01933287 0.05704875],[0.613 0.003],[0.67  0.123]
13,4,[0.656  0.0456],[0.03011976 0.04783555],[0.603 0.001],[0.69 0.13]
14,4,[0.676  0.0328],[0.02332381 0.02626328],[0.63  0.004],[0.69  0.065]
15,5,[0.6634 0.0682],[0.0190326  0.03153665],[0.64  0.026],[0.69 0.1 ]
16,4,[0.6492 0.0486],[0.01557434 0.01908507],[0.633 0.033],[0.673 0.081]
17,4,[0.6658 0.0938],[0.01708098 0.11198464],[0.633 0.005],[0.683 0.304]
18,3,[0.6638 0.0638],[0.02321551 0.10857145],[0.62 0.  ],[0.683 0.28 ]
19,4,[0.6452 0.0514],[0.03066855 0.04829741],[0.603 0.   ],[0.69  0.122]
20,2,[0.648 0.053],[0.02667583 0.05006396],[0.62 0.  ],[0.69  0.125]
21,4,[0.652  0.0384],[0.02704811 0.03217825],[0.62  0.005],[0.69  0.094]
22,4,[0.656  0.0484],[0.02096664 0.02691171],[0.62  0.003],[0.683 0.077]
23,5,[0.6534 0.0486],[0.01569204 0.03963635],[0.63  0.012],[0.67  0.114]
24,4,[0.6456 0.04  ],[0.02952694 0.03898718],[0.617 0.008],[0.697 0.114]
25,4,[0.6476 0.0332],[0.0193246 0.0306294],[0.627 0.001],[0.677 0.07 ]
