gen,nevals,avg,std,min,max
0,50,[0.81294 0.11428],[0.00841287 0.0500404 ],[0.786 0.064],[0.827 0.232]
1,3,[0.8142 0.0896],[0.00620967 0.00954149],[0.808 0.073],[0.826 0.099]
2,3,[0.815  0.0868],[0.00189737 0.0084    ],[0.812 0.073],[0.817 0.099]
3,4,[0.8142 0.0794],[0.00305941 0.00656049],[0.81  0.073],[0.819 0.09 ]
4,5,[0.8138 0.09  ],[0.00318748 0.00948683],[0.81  0.072],[0.818 0.099]
5,2,[0.8128 0.09  ],[0.00430813 0.00384708],[0.808 0.083],[0.818 0.094]
6,3,[0.8162 0.1384],[0.0024     0.06102655],[0.812 0.083],[0.818 0.216]
7,4,[0.8158 0.1116],[0.00203961 0.04648699],[0.813 0.083],[0.818 0.204]
8,5,[0.8162 0.0892],[0.00146969 0.00534416],[0.814 0.082],[0.818 0.098]
9,5,[0.815 0.092],[0.00303315 0.00596657],[0.811 0.084],[0.819 0.1  ]
10,4,[0.8146 0.1106],[0.00233238 0.04737341],[0.812 0.074],[0.818 0.204]
11,3,[0.8114 0.0866],[0.00174356 0.00571314],[0.808 0.077],[0.813 0.095]
12,3,[0.8122 0.112 ],[0.00074833 0.05268017],[0.811 0.077],[0.813 0.216]
13,2,[0.8114 0.1408],[0.00149666 0.05827315],[0.809 0.09 ],[0.813 0.216]
14,5,[0.8096 0.0844],[0.00770973 0.01111036],[0.802 0.068],[0.822 0.094]
15,3,[0.8118 0.1022],[0.00643117 0.05192071],[0.803 0.061],[0.822 0.204]
16,5,[0.8082 0.1072],[0.00785875 0.05129678],[0.798 0.056],[0.82  0.206]
17,4,[0.806  0.1294],[0.00792465 0.06291455],[0.793 0.051],[0.816 0.204]
18,4,[0.8072 0.1002],[0.00453431 0.05393478],[0.801 0.056],[0.812 0.204]
19,4,[0.8096 0.088 ],[0.00588558 0.01388524],[0.802 0.061],[0.816 0.099]
20,4,[0.8058 0.086 ],[0.00348712 0.01329662],[0.802 0.061],[0.812 0.099]
21,3,[0.8056 0.093 ],[0.00185472 0.00562139],[0.803 0.086],[0.808 0.101]
22,5,[0.8054 0.1092],[0.0054626  0.04928042],[0.799 0.069],[0.814 0.206]
23,4,[0.805  0.1606],[0.00442719 0.05575518],[0.797 0.087],[0.809 0.21 ]
24,5,[0.8046 0.0894],[0.00224499 0.00338231],[0.803 0.084],[0.809 0.093]
25,4,[0.806 0.113],[0.00505964 0.05104508],[0.802 0.076],[0.816 0.214]
