gen,nevals,avg,std,min,max
0,50,[0.81192 0.23928],[0.01144175 0.10043526],[0.779 0.12 ],[0.827 0.412]
1,5,[0.8126 0.3018],[0.00691665 0.1087316 ],[0.802 0.153],[0.822 0.402]
2,4,[0.8114 0.3116],[0.00449889 0.10021696],[0.805 0.189],[0.819 0.402]
3,2,[0.808  0.2628],[0.00804984 0.10266723],[0.795 0.162],[0.819 0.388]
4,5,[0.8104 0.2664],[0.00601997 0.11157168],[0.804 0.167],[0.819 0.42 ]
5,5,[0.8016 0.3156],[0.00868562 0.11749655],[0.792 0.172],[0.814 0.448]
6,5,[0.804  0.2616],[0.00707107 0.1051943 ],[0.798 0.162],[0.817 0.392]
7,4,[0.801 0.18 ],[0.00758947 0.00769415],[0.788 0.17 ],[0.81  0.189]
8,4,[0.798  0.3182],[0.00616441 0.11407436],[0.789 0.175],[0.806 0.43 ]
9,5,[0.8078 0.222 ],[0.00808455 0.08836062],[0.799 0.166],[0.818 0.398]
10,5,[0.8048 0.2704],[0.00503587 0.10099822],[0.798 0.186],[0.811 0.4  ]
11,5,[0.8044 0.2596],[0.00349857 0.1110272 ],[0.801 0.14 ],[0.811 0.4  ]
12,4,[0.8052 0.3006],[0.00479166 0.11555016],[0.798 0.135],[0.811 0.398]
13,5,[0.804  0.2266],[0.01069579 0.08875494],[0.793 0.179],[0.823 0.404]
14,5,[0.8068 0.3098],[0.01144378 0.10317054],[0.791 0.18 ],[0.82  0.398]
15,5,[0.8082 0.2222],[0.0096623  0.08400095],[0.796 0.176],[0.82 0.39]
16,3,[0.8058 0.2202],[0.01038075 0.08492915],[0.798 0.176],[0.826 0.39 ]
17,4,[0.8046 0.1826],[0.00783837 0.0058515 ],[0.798 0.175],[0.818 0.188]
18,5,[0.8024 0.2272],[0.00854634 0.08341319],[0.795 0.184],[0.816 0.394]
19,4,[0.8122 0.3124],[0.00770454 0.10080794],[0.802 0.188],[0.821 0.4  ]
20,5,[0.809  0.3078],[0.01005982 0.09913708],[0.797 0.184],[0.82  0.396]
21,5,[0.808  0.3544],[0.00880909 0.08345921],[0.797 0.188],[0.819 0.408]
22,5,[0.805  0.3042],[0.00583095 0.10429267],[0.799 0.173],[0.816 0.39 ]
23,2,[0.8032 0.308 ],[0.00222711 0.10043107],[0.8   0.184],[0.805 0.39 ]
24,2,[0.8002 0.2214],[0.00263818 0.08447864],[0.797 0.169],[0.805 0.39 ]
25,4,[0.8002 0.2774],[0.00466476 0.11890433],[0.795 0.177],[0.808 0.452]
