gen,nevals,avg,std,min,max
0,50,[0.87728 0.27646],[0.00642508 0.1297316 ],[0.857 0.101],[0.886 0.456]
1,4,[0.8706 0.3406],[0.00549909 0.11746932],[0.862 0.109],[0.877 0.432]
2,3,[0.8718 0.3578],[0.00587878 0.13289153],[0.862 0.095],[0.877 0.456]
3,3,[0.8734 0.3028],[0.00725534 0.1583457 ],[0.862 0.109],[0.884 0.458]
4,5,[0.8732 0.3128],[0.00624179 0.11917449],[0.866 0.104],[0.883 0.424]
5,4,[0.8746 0.308 ],[0.00578273 0.12463707],[0.866 0.104],[0.884 0.458]
6,5,[0.8728 0.3458],[0.00305941 0.12461846],[0.868 0.109],[0.877 0.47 ]
7,5,[0.8724 0.3306],[0.00615142 0.10846861],[0.864 0.119],[0.879 0.414]
8,5,[0.8716 0.404 ],[0.00387814 0.06496768],[0.868 0.286],[0.879 0.486]
9,4,[0.871 0.414],[1.11022302e-16 0.00000000e+00],[0.871 0.414],[0.871 0.414]
10,3,[0.871 0.414],[1.11022302e-16 0.00000000e+00],[0.871 0.414],[0.871 0.414]
11,4,[0.8728 0.3544],[0.0036 0.1192],[0.871 0.116],[0.88  0.414]
12,4,[0.8718 0.2868],[0.00630555 0.13817294],[0.864 0.119],[0.879 0.416]
13,5,[0.8744 0.3134],[0.00463033 0.11194927],[0.87  0.119],[0.881 0.414]
14,5,[0.8698 0.3632],[0.00470744 0.12547892],[0.863 0.116],[0.876 0.462]
15,4,[0.8714 0.3148],[0.00531413 0.16383211],[0.863 0.116],[0.878 0.484]
16,4,[0.8736 0.2444],[0.0048     0.16223267],[0.866 0.105],[0.878 0.49 ]
17,5,[0.8742 0.1694],[0.00754718 0.11230957],[0.86  0.112],[0.882 0.394]
18,3,[0.876  0.2024],[0.00831865 0.10978816],[0.86  0.116],[0.883 0.394]
19,5,[0.8738 0.2358],[0.00685274 0.14407831],[0.865 0.115],[0.881 0.424]
20,5,[0.875  0.3228],[0.00792465 0.05135913],[0.864 0.268],[0.883 0.388]
21,4,[0.8768 0.275 ],[0.00767854 0.14248368],[0.866 0.115],[0.884 0.46 ]
22,2,[0.8736 0.31  ],[0.00776144 0.16262964],[0.866 0.109],[0.884 0.46 ]
23,3,[0.8738 0.3112],[0.00813388 0.16161485],[0.864 0.102],[0.884 0.46 ]
24,3,[0.8694 0.3616],[0.00731027 0.11922013],[0.861 0.128],[0.883 0.46 ]
25,4,[0.8712 0.3302],[0.00699714 0.1176816 ],[0.863 0.125],[0.881 0.454]
