gen,nevals,avg,std,min,max
0,50,[0.60876 0.13104],[0.016983   0.02145596],[0.569 0.081],[0.641 0.179]
1,4,[0.6172 0.1308],[0.01979293 0.01435827],[0.594 0.113],[0.648 0.156]
2,5,[0.6028 0.1266],[0.0112321  0.03127043],[0.585 0.095],[0.612 0.178]
3,5,[0.6042 0.158 ],[0.01514464 0.03132411],[0.582 0.113],[0.626 0.21 ]
4,4,[0.596  0.1292],[0.01356466 0.01384774],[0.582 0.114],[0.62 0.15]
5,4,[0.5962 0.1104],[0.0066453  0.00671118],[0.584 0.099],[0.602 0.118]
6,3,[0.6034 0.1226],[0.02332038 0.01295531],[0.584 0.109],[0.649 0.142]
7,5,[0.5974 0.1218],[0.01032666 0.02245351],[0.584 0.08 ],[0.613 0.144]
8,3,[0.605  0.1204],[0.01608726 0.02344014],[0.591 0.08 ],[0.633 0.148]
9,3,[0.5956 0.1286],[0.00272764 0.01289341],[0.592 0.114],[0.599 0.151]
10,5,[0.6004 0.1392],[0.02309632 0.03927035],[0.582 0.091],[0.646 0.208]
11,3,[0.6002 0.138 ],[0.02232846 0.03471023],[0.582 0.091],[0.644 0.183]
12,5,[0.6146 0.1446],[0.01410815 0.01111036],[0.598 0.135],[0.636 0.163]
13,2,[0.619  0.1602],[0.01644384 0.02804568],[0.605 0.124],[0.642 0.21 ]
14,3,[0.6074 0.129 ],[0.00631189 0.02894132],[0.597 0.084],[0.614 0.152]
15,4,[0.6066 0.127 ],[0.00700286 0.02558906],[0.599 0.091],[0.616 0.161]
16,5,[0.5988 0.1238],[0.01850838 0.03281097],[0.563 0.081],[0.613 0.179]
17,5,[0.5932 0.1424],[0.02146066 0.03670749],[0.562 0.102],[0.615 0.21 ]
18,4,[0.5904 0.1138],[0.02221351 0.03026153],[0.566 0.055],[0.626 0.142]
19,5,[0.5734 0.1158],[0.00796492 0.02093227],[0.566 0.083],[0.585 0.14 ]
20,5,[0.5706 0.1216],[0.0032619  0.03383253],[0.566 0.074],[0.575 0.172]
21,5,[0.5732 0.1074],[0.00863481 0.02059709],[0.563 0.072],[0.584 0.132]
22,4,[0.587  0.0994],[0.0174356  0.01608229],[0.573 0.072],[0.621 0.118]
23,3,[0.5744 0.0862],[0.01121784 0.03140318],[0.554 0.039],[0.588 0.135]
24,4,[0.5762 0.101 ],[0.00448999 0.01877232],[0.57  0.066],[0.582 0.117]
25,3,[0.585  0.1232],[0.01337161 0.01654569],[0.57  0.097],[0.61  0.147]
