gen,nevals,avg,std,min,max
0,50,[0.62458 0.09586],[0.01459464 0.05298264],[0.58  0.005],[0.649 0.205]
1,4,[0.628  0.0926],[0.0189842  0.02987708],[0.592 0.055],[0.646 0.144]
2,5,[0.6076 0.1342],[0.02005592 0.03473557],[0.585 0.098],[0.639 0.198]
3,5,[0.6042 0.074 ],[0.03195246 0.02684027],[0.574 0.023],[0.652 0.102]
4,3,[0.6052 0.0852],[0.03047228 0.039987  ],[0.573 0.023],[0.652 0.148]
5,5,[0.63  0.094],[0.02141962 0.01593738],[0.589 0.065],[0.646 0.108]
6,4,[0.6152 0.0838],[0.02656614 0.04620996],[0.579 0.042],[0.653 0.174]
7,5,[0.6316 0.1116],[0.00859302 0.08135994],[0.616 0.014],[0.641 0.213]
8,5,[0.6278 0.1198],[0.01006777 0.0276    ],[0.612 0.088],[0.64  0.163]
9,4,[0.6346 0.1194],[0.00671118 0.04559649],[0.625 0.043],[0.641 0.184]
10,4,[0.6364 0.0962],[0.00377359 0.05114841],[0.631 0.041],[0.641 0.18 ]
11,5,[0.63   0.1244],[0.00894427 0.05177876],[0.614 0.052],[0.64  0.205]
12,3,[0.6304 0.1394],[0.00527636 0.04780628],[0.622 0.046],[0.636 0.179]
13,2,[0.632 0.134],[0.00419524 0.04421764],[0.626 0.046],[0.636 0.164]
14,5,[0.627  0.1144],[0.01171324 0.05675421],[0.612 0.025],[0.645 0.193]
15,4,[0.6318 0.0914],[0.00870402 0.0542977 ],[0.617 0.025],[0.641 0.151]
16,5,[0.625  0.0846],[0.00807465 0.03078051],[0.615 0.042],[0.639 0.129]
17,3,[0.6254 0.1068],[0.00935094 0.04051864],[0.618 0.042],[0.643 0.161]
18,3,[0.6378 0.1012],[0.0102645  0.04741898],[0.619 0.026],[0.649 0.161]
19,4,[0.645  0.1074],[0.00878635 0.02225848],[0.633 0.085],[0.657 0.142]
20,4,[0.6462 0.08  ],[0.00724983 0.03960808],[0.639 0.009],[0.655 0.131]
21,3,[0.6344 0.0932],[0.02962836 0.04350356],[0.576 0.018],[0.655 0.14 ]
22,3,[0.6246 0.1146],[0.03705455 0.06665313],[0.576 0.018],[0.669 0.219]
23,4,[0.637  0.1354],[0.0270037  0.06232046],[0.587 0.018],[0.665 0.195]
24,5,[0.641  0.0722],[0.00704273 0.04938988],[0.635 0.019],[0.653 0.133]
25,4,[0.6432 0.0746],[0.01371714 0.0766201 ],[0.629 0.014],[0.666 0.214]
