gen,nevals,avg,std,min,max
0,50,[0.69778 0.05128],[0.02816756 0.03575978],[0.607 0.001],[0.727 0.139]
1,4,[0.68   0.0534],[0.03309985 0.03129601],[0.633 0.028],[0.717 0.115]
2,4,[0.6886 0.0492],[0.02096282 0.03208364],[0.65  0.016],[0.707 0.109]
3,5,[0.7074 0.061 ],[0.01070701 0.04761512],[0.69 0.01],[0.717 0.132]
4,3,[0.7036 0.0346],[0.01806212 0.02144388],[0.677 0.002],[0.727 0.068]
5,4,[0.6994 0.0488],[0.01590723 0.04661931],[0.677 0.001],[0.723 0.112]
6,4,[0.6688 0.0296],[0.04688027 0.02120943],[0.593 0.01 ],[0.737 0.069]
7,3,[0.6668 0.0332],[0.01615426 0.0144969 ],[0.643 0.01 ],[0.69  0.051]
8,5,[0.6702 0.0386],[0.0215722  0.04672729],[0.637 0.002],[0.697 0.129]
9,5,[0.664  0.0684],[0.00977753 0.0392051 ],[0.65  0.017],[0.677 0.118]
10,5,[0.6806 0.0606],[0.02193262 0.02438524],[0.663 0.039],[0.723 0.103]
11,4,[0.6834 0.0338],[0.0218504  0.02625567],[0.663 0.007],[0.713 0.082]
12,4,[0.6588 0.0464],[0.00549181 0.02628003],[0.65 0.02],[0.667 0.082]
13,3,[0.662  0.0412],[0.00442719 0.0339258 ],[0.657 0.002],[0.67  0.089]
14,5,[0.646  0.0156],[0.01730896 0.00997196],[0.613 0.001],[0.66  0.032]
15,2,[0.6532 0.0436],[0.02203089 0.04042079],[0.613 0.001],[0.68  0.117]
16,5,[0.6634 0.0728],[0.02901448 0.01267123],[0.623 0.056],[0.71  0.089]
17,5,[0.6666 0.0566],[0.02976306 0.03847389],[0.613 0.005],[0.7   0.105]
18,4,[0.6772 0.0286],[0.03261533 0.01569204],[0.633 0.004],[0.723 0.047]
19,4,[0.6886 0.032 ],[0.03161392 0.01314534],[0.64  0.022],[0.723 0.058]
20,5,[0.7212 0.043 ],[0.01049571 0.02361356],[0.71  0.014],[0.74  0.076]
21,5,[0.7188 0.0324],[0.01287478 0.01827129],[0.697 0.004],[0.737 0.055]
22,4,[0.7108 0.0512],[0.0097242  0.01036147],[0.697 0.039],[0.727 0.067]
23,5,[0.7086 0.042 ],[0.00868562 0.02553429],[0.697 0.015],[0.723 0.078]
24,5,[0.71   0.0436],[0.01245793 0.03904152],[0.693 0.004],[0.723 0.114]
25,5,[0.7132 0.0364],[0.00503587 0.01619383],[0.71  0.014],[0.723 0.059]
