gen,nevals,avg,std,min,max
0,50,[0.71704 0.0488 ],[0.02102947 0.03145091],[0.607 0.   ],[0.75  0.128]
1,3,[0.7242 0.033 ],[0.00976524 0.01544021],[0.707 0.017],[0.737 0.061]
2,5,[0.7172 0.0514],[0.01180508 0.03202874],[0.703 0.007],[0.737 0.107]
3,5,[0.7148 0.0408],[0.01416192 0.02575578],[0.7   0.003],[0.74  0.078]
4,4,[0.7186 0.053 ],[0.01146473 0.01446375],[0.703 0.033],[0.73  0.077]
5,4,[0.7192 0.0558],[0.00381576 0.02065333],[0.713 0.024],[0.723 0.089]
6,4,[0.7168 0.0762],[0.00921737 0.01870187],[0.7   0.056],[0.727 0.102]
7,3,[0.7194 0.0482],[0.01170641 0.02597999],[0.697 0.021],[0.73  0.094]
8,2,[0.7212 0.0536],[0.00549181 0.02272972],[0.713 0.027],[0.73  0.095]
9,4,[0.706 0.04 ],[0.01495326 0.02330665],[0.687 0.011],[0.723 0.081]
10,4,[0.7172 0.0474],[0.01036147 0.02704515],[0.703 0.013],[0.733 0.081]
11,4,[0.708 0.016],[0.01797776 0.01003992],[0.683 0.003],[0.73 0.03]
12,4,[0.7046 0.0272],[0.01721162 0.02172924],[0.683 0.003],[0.73  0.061]
13,4,[0.702  0.0282],[0.01308434 0.02108459],[0.68  0.002],[0.717 0.061]
14,3,[0.7052 0.0398],[0.02060485 0.00982649],[0.68  0.021],[0.723 0.05 ]
15,4,[0.7108 0.0538],[0.02285957 0.02179358],[0.68 0.02],[0.737 0.086]
16,3,[0.706  0.0448],[0.01753853 0.01457944],[0.68  0.018],[0.723 0.061]
17,3,[0.7028 0.022 ],[0.01018627 0.0148054 ],[0.69  0.006],[0.72 0.05]
18,4,[0.7066 0.037 ],[0.01376372 0.01745852],[0.683 0.016],[0.723 0.061]
19,5,[0.726  0.0668],[0.01546609 0.02738905],[0.707 0.021],[0.753 0.099]
20,4,[0.7272 0.0564],[0.01368795 0.03601999],[0.713 0.015],[0.753 0.105]
21,3,[0.7274 0.0498],[0.00906863 0.03871124],[0.713 0.007],[0.737 0.105]
22,4,[0.722  0.0458],[0.00521536 0.03168217],[0.713 0.016],[0.727 0.105]
23,4,[0.7294 0.0544],[0.00781281 0.01254751],[0.72  0.038],[0.74  0.071]
24,4,[0.7268 0.0244],[0.01252837 0.02456502],[0.71 0.  ],[0.737 0.071]
25,3,[0.7248 0.0202],[0.01281249 0.00661513],[0.71  0.009],[0.743 0.029]
