gen,nevals,avg,std,min,max
0,50,[0.84784 0.05346],[0.00733856 0.01433626],[0.816 0.033],[0.856 0.105]
1,5,[0.847  0.0458],[0.00481664 0.00974474],[0.838 0.038],[0.851 0.065]
2,5,[0.8476 0.0484],[0.00574804 0.00966644],[0.837 0.037],[0.854 0.063]
3,4,[0.8472 0.0472],[0.00479166 0.010008  ],[0.838 0.037],[0.852 0.066]
4,2,[0.845  0.0472],[0.0063561  0.01047664],[0.837 0.035],[0.853 0.066]
5,4,[0.8494 0.0446],[0.0032     0.01001199],[0.844 0.031],[0.854 0.057]
6,5,[0.8344 0.0506],[0.02005592 0.01710672],[0.809 0.034],[0.854 0.078]
7,5,[0.8452 0.0508],[0.0136147  0.01631441],[0.818 0.033],[0.853 0.073]
8,3,[0.8444 0.0482],[0.01570478 0.01568949],[0.813 0.033],[0.853 0.072]
9,3,[0.8438 0.055 ],[0.0164     0.01447757],[0.811 0.033],[0.852 0.072]
10,4,[0.8456 0.0506],[0.01204326 0.01905361],[0.822 0.032],[0.854 0.086]
11,5,[0.8448 0.049 ],[0.0159424  0.02034699],[0.813 0.032],[0.854 0.089]
12,5,[0.83   0.0674],[0.02066882 0.01752256],[0.808 0.048],[0.856 0.098]
13,5,[0.838 0.06 ],[0.01923538 0.01409965],[0.813 0.044],[0.855 0.081]
14,5,[0.8472 0.0502],[0.00757364 0.01315143],[0.838 0.04 ],[0.855 0.076]
15,5,[0.8502 0.0416],[0.0056356  0.00705975],[0.839 0.034],[0.854 0.052]
16,4,[0.85 0.04],[0.00704273 0.00766812],[0.836 0.032],[0.854 0.053]
17,2,[0.8538 0.0452],[0.0009798  0.00526878],[0.852 0.037],[0.855 0.053]
18,5,[0.8516 0.0418],[0.00431741 0.0095163 ],[0.843 0.023],[0.854 0.049]
19,3,[0.8542 0.0472],[0.00203961 0.00430813],[0.852 0.041],[0.858 0.054]
20,3,[0.852  0.0462],[0.00681175 0.01170299],[0.839 0.037],[0.858 0.069]
21,4,[0.8476 0.0454],[0.00747262 0.00960417],[0.835 0.034],[0.854 0.059]
22,4,[0.8538 0.0432],[0.00116619 0.00820731],[0.852 0.033],[0.855 0.055]
23,3,[0.8542 0.0412],[0.00074833 0.00604649],[0.853 0.035],[0.855 0.049]
24,1,[0.8546 0.0404],[0.0004899  0.00553534],[0.854 0.035],[0.855 0.048]
25,5,[0.8534 0.0362],[0.00149666 0.00386782],[0.852 0.033],[0.856 0.043]
