gen,nevals,avg,std,min,max
0,50,[0.83662 0.16268],[0.02039205 0.10199087],[0.803 0.074],[0.851 0.344]
1,3,[0.8404 0.1356],[0.01821648 0.09438771],[0.804 0.077],[0.85  0.324]
2,3,[0.849  0.0876],[0.00126491 0.01005187],[0.847 0.074],[0.85  0.098]
3,5,[0.849  0.0828],[0.00141421 0.00713863],[0.847 0.074],[0.851 0.094]
4,5,[0.8502 0.1376],[0.0004     0.05513112],[0.85  0.087],[0.851 0.206]
5,4,[0.8504 0.0962],[0.0004899  0.00193907],[0.85  0.094],[0.851 0.099]
6,5,[0.841  0.1424],[0.01850405 0.09085065],[0.804 0.092],[0.851 0.324]
7,2,[0.8328 0.1826],[0.02153509 0.1036525 ],[0.804 0.096],[0.851 0.324]
8,2,[0.8244 0.2426],[0.0209819  0.08318558],[0.804 0.097],[0.85  0.324]
9,3,[0.8136 0.2794],[0.01829317 0.09225096],[0.803 0.097],[0.85  0.338]
10,3,[0.8134 0.28  ],[0.01840217 0.09205216],[0.803 0.098],[0.85  0.338]
11,5,[0.8144 0.269 ],[0.01811739 0.09402553],[0.803 0.089],[0.85  0.338]
12,4,[0.8222 0.2296],[0.02230157 0.11922181],[0.803 0.079],[0.85  0.342]
13,5,[0.8232 0.2232],[0.02147929 0.1095927 ],[0.805 0.086],[0.85  0.314]
14,5,[0.8232 0.2258],[0.02197635 0.11170031],[0.803 0.085],[0.85  0.338]
15,4,[0.8402 0.1382],[0.01860538 0.09605082],[0.803 0.082],[0.85 0.33]
16,4,[0.8494 0.0874],[0.0004899  0.00484149],[0.849 0.081],[0.85  0.096]
17,4,[0.8402 0.1392],[0.01860538 0.09845689],[0.803 0.086],[0.85  0.336]
18,5,[0.8408 0.1636],[0.01890397 0.09889105],[0.803 0.087],[0.851 0.34 ]
19,5,[0.8498 0.1164],[0.0004     0.04600261],[0.849 0.086],[0.85  0.208]
20,4,[0.8504 0.0958],[0.0004899  0.00278568],[0.85  0.092],[0.851 0.099]
21,5,[0.8508 0.0952],[0.0004     0.00193907],[0.85  0.094],[0.851 0.099]
22,3,[0.8506 0.094 ],[0.0004899  0.00275681],[0.85  0.091],[0.851 0.099]
23,4,[0.8502 0.0964],[0.0004     0.00392938],[0.85  0.089],[0.851 0.1  ]
24,4,[0.8408 0.1422],[0.01890397 0.095004  ],[0.803 0.087],[0.851 0.332]
25,3,[0.8506 0.0948],[0.0004899  0.00292575],[0.85  0.091],[0.851 0.1  ]
