gen,nevals,avg,std,min,max
0,50,[0.83086 0.35484],[0.01910603 0.22511502],[0.804 0.086],[0.848 0.696]
1,3,[0.8278 0.3538],[0.01977271 0.26006953],[0.804 0.086],[0.847 0.674]
2,3,[0.8138 0.5548],[0.01666613 0.18371543],[0.804 0.19 ],[0.847 0.674]
3,3,[0.8218 0.4668],[0.02060485 0.23073656],[0.804 0.18 ],[0.847 0.674]
4,4,[0.8128 0.5728],[0.01710439 0.19163966],[0.804 0.19 ],[0.847 0.676]
5,4,[0.8212 0.4784],[0.02106561 0.24371016],[0.804 0.171],[0.847 0.678]
6,4,[0.822  0.4734],[0.02043526 0.23374995],[0.804 0.188],[0.847 0.69 ]
7,2,[0.8228 0.464 ],[0.01990377 0.2308662 ],[0.804 0.182],[0.847 0.69 ]
8,3,[0.8396 0.2622],[0.01430524 0.16015293],[0.811 0.165],[0.847 0.582]
9,4,[0.831  0.3516],[0.01940103 0.22347134],[0.803 0.165],[0.847 0.676]
10,4,[0.8148 0.5446],[0.01641219 0.18262924],[0.803 0.187],[0.847 0.676]
11,4,[0.8158 0.5294],[0.01591729 0.18407129],[0.804 0.169],[0.847 0.67 ]
12,3,[0.8078 0.6188],[0.00318748 0.0381911 ],[0.804 0.564],[0.813 0.67 ]
13,5,[0.806  0.6392],[0.00252982 0.03243702],[0.804 0.594],[0.81  0.672]
14,4,[0.8064 0.6372],[0.00349857 0.04211603],[0.803 0.574],[0.812 0.678]
15,4,[0.8044 0.6632],[0.00185472 0.02299913],[0.803 0.618],[0.808 0.68 ]
16,5,[0.8052 0.6524],[0.00193907 0.03018344],[0.804 0.594],[0.809 0.678]
17,3,[0.8114 0.551 ],[0.01382172 0.22151479],[0.804 0.109],[0.839 0.678]
18,4,[0.8212 0.477 ],[0.02106561 0.23641827],[0.804 0.186],[0.847 0.674]
19,4,[0.8058 0.6532],[0.0031241  0.04044947],[0.804 0.574],[0.812 0.684]
20,4,[0.8052 0.6568],[0.00193907 0.02770126],[0.804 0.602],[0.809 0.676]
21,5,[0.8048 0.6584],[0.0016    0.0237116],[0.804 0.612],[0.808 0.678]
22,5,[0.8068 0.6348],[0.00479166 0.05576522],[0.803 0.532],[0.816 0.684]
23,5,[0.8084 0.6144],[0.00338231 0.03968677],[0.804 0.57 ],[0.812 0.67 ]
24,5,[0.808  0.6132],[0.00303315 0.03115381],[0.805 0.562],[0.813 0.642]
25,4,[0.8164 0.5226],[0.01552546 0.17340773],[0.806 0.181],[0.847 0.64 ]
