accuracy,recall,precision,f1,mcc,spd,aod,eod
0.657,0.651,0.659,0.65,0.31,0.16,0.138,0.086
0.65,0.649,0.649,0.649,0.298,0.158,0.134,0.097
0.657,0.651,0.658,0.65,0.309,0.169,0.147,0.09
0.656,0.65,0.657,0.649,0.306,0.141,0.118,0.068
0.657,0.651,0.659,0.65,0.31,0.129,0.106,0.054
0.659,0.653,0.66,0.652,0.313,0.162,0.14,0.083
0.652,0.65,0.65,0.65,0.3,0.154,0.13,0.094
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.657,0.651,0.659,0.65,0.31,0.171,0.15,0.088
0.652,0.65,0.65,0.65,0.301,0.19,0.167,0.122
0.652,0.65,0.65,0.65,0.3,0.12,0.095,0.059
0.657,0.65,0.66,0.649,0.31,0.113,0.09,0.041
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.652,0.651,0.651,0.651,0.302,0.246,0.224,0.172
0.652,0.651,0.651,0.651,0.302,0.2,0.177,0.128
0.657,0.65,0.659,0.649,0.309,0.127,0.105,0.051
0.659,0.654,0.659,0.653,0.313,0.182,0.16,0.1
0.656,0.65,0.657,0.649,0.307,0.155,0.132,0.08
0.651,0.649,0.65,0.649,0.299,0.132,0.108,0.07
0.652,0.65,0.65,0.65,0.3,0.159,0.135,0.098
0.657,0.651,0.658,0.65,0.309,0.169,0.147,0.09
0.651,0.65,0.65,0.65,0.299,0.178,0.155,0.112
0.659,0.652,0.66,0.652,0.312,0.166,0.144,0.087
0.65,0.649,0.649,0.649,0.298,0.188,0.165,0.122
0.65,0.649,0.649,0.649,0.298,0.158,0.134,0.097
0.652,0.65,0.65,0.65,0.3,0.157,0.132,0.098
0.657,0.651,0.658,0.651,0.31,0.164,0.142,0.087
0.656,0.65,0.657,0.649,0.306,0.141,0.118,0.068
0.656,0.65,0.657,0.65,0.307,0.17,0.148,0.092
0.652,0.65,0.65,0.65,0.3,0.151,0.127,0.09
0.654,0.646,0.657,0.644,0.303,0.096,0.072,0.031
0.657,0.65,0.659,0.649,0.309,0.127,0.105,0.051
0.649,0.647,0.648,0.648,0.295,0.136,0.111,0.077
0.65,0.649,0.649,0.649,0.298,0.222,0.2,0.153
0.656,0.65,0.657,0.649,0.307,0.155,0.132,0.08
0.658,0.651,0.66,0.65,0.311,0.124,0.101,0.051
0.653,0.645,0.656,0.643,0.3,0.103,0.08,0.038
0.659,0.653,0.66,0.653,0.313,0.173,0.151,0.094
0.657,0.65,0.658,0.649,0.309,0.135,0.113,0.059
0.649,0.648,0.648,0.648,0.296,0.171,0.148,0.106
0.653,0.651,0.651,0.651,0.303,0.18,0.156,0.113
0.657,0.651,0.658,0.65,0.309,0.169,0.147,0.087
0.653,0.652,0.651,0.652,0.303,0.198,0.175,0.128
0.657,0.65,0.658,0.649,0.309,0.135,0.113,0.059
0.651,0.65,0.65,0.65,0.299,0.182,0.158,0.118
0.656,0.65,0.657,0.649,0.307,0.155,0.132,0.08
0.651,0.649,0.65,0.649,0.299,0.125,0.1,0.066
0.653,0.651,0.651,0.651,0.303,0.184,0.16,0.119
0.65,0.649,0.649,0.649,0.298,0.194,0.171,0.125
0.657,0.651,0.658,0.65,0.309,0.186,0.166,0.1
0.652,0.65,0.65,0.65,0.3,0.156,0.132,0.095
0.65,0.648,0.649,0.648,0.297,0.163,0.14,0.1
0.649,0.649,0.649,0.649,0.298,0.225,0.203,0.152
0.65,0.648,0.649,0.649,0.297,0.186,0.163,0.12
0.652,0.65,0.651,0.651,0.301,0.157,0.132,0.095
0.649,0.647,0.647,0.647,0.295,0.175,0.152,0.11
0.652,0.651,0.651,0.651,0.302,0.2,0.177,0.128
0.659,0.653,0.659,0.652,0.312,0.163,0.14,0.084
0.652,0.65,0.65,0.65,0.3,0.187,0.164,0.119
0.651,0.65,0.65,0.65,0.299,0.184,0.16,0.119
0.649,0.648,0.648,0.648,0.296,0.165,0.142,0.1
0.653,0.651,0.651,0.651,0.303,0.192,0.169,0.122
0.657,0.651,0.658,0.651,0.31,0.156,0.134,0.08
0.653,0.651,0.652,0.651,0.303,0.113,0.088,0.052
0.651,0.65,0.65,0.65,0.299,0.182,0.158,0.118
0.657,0.651,0.658,0.65,0.309,0.143,0.12,0.068
0.658,0.651,0.661,0.649,0.311,0.114,0.091,0.041
0.649,0.648,0.648,0.648,0.296,0.217,0.195,0.147
0.65,0.648,0.648,0.648,0.297,0.164,0.141,0.098
0.656,0.65,0.657,0.649,0.306,0.15,0.127,0.075
0.656,0.65,0.658,0.649,0.308,0.133,0.11,0.057
0.649,0.648,0.648,0.648,0.296,0.189,0.167,0.122
0.654,0.646,0.657,0.644,0.303,0.105,0.081,0.038
0.65,0.649,0.649,0.649,0.298,0.18,0.157,0.115
0.657,0.65,0.659,0.649,0.309,0.127,0.105,0.051
0.653,0.651,0.651,0.651,0.303,0.185,0.161,0.12
0.652,0.651,0.651,0.651,0.302,0.19,0.167,0.124
0.652,0.65,0.65,0.65,0.3,0.156,0.132,0.095
0.657,0.651,0.658,0.65,0.309,0.143,0.12,0.068
0.649,0.648,0.648,0.648,0.296,0.165,0.142,0.1
0.649,0.648,0.648,0.648,0.296,0.167,0.143,0.101
0.65,0.648,0.649,0.648,0.297,0.182,0.158,0.119
0.649,0.648,0.648,0.648,0.296,0.173,0.15,0.107
0.65,0.65,0.65,0.65,0.3,0.24,0.218,0.164
0.649,0.647,0.647,0.647,0.295,0.175,0.152,0.11
0.652,0.651,0.65,0.65,0.301,0.204,0.181,0.133
0.65,0.648,0.649,0.648,0.297,0.182,0.158,0.119
0.653,0.651,0.651,0.651,0.303,0.193,0.17,0.124
0.649,0.647,0.647,0.647,0.295,0.174,0.151,0.109
0.65,0.648,0.648,0.648,0.296,0.139,0.115,0.077
0.649,0.647,0.647,0.647,0.295,0.175,0.152,0.11
0.651,0.65,0.65,0.65,0.3,0.209,0.186,0.136
0.651,0.649,0.649,0.649,0.299,0.127,0.102,0.066
0.65,0.648,0.648,0.648,0.296,0.144,0.119,0.085
0.659,0.653,0.66,0.652,0.313,0.163,0.14,0.086
0.649,0.648,0.648,0.648,0.296,0.167,0.143,0.101
0.651,0.65,0.65,0.65,0.3,0.2,0.177,0.129
0.653,0.646,0.656,0.644,0.301,0.104,0.08,0.038
0.65,0.65,0.65,0.65,0.3,0.225,0.202,0.155
0.65,0.648,0.649,0.648,0.297,0.163,0.14,0.1
0.659,0.653,0.659,0.652,0.312,0.158,0.135,0.08
0.649,0.648,0.648,0.648,0.296,0.167,0.143,0.101
0.657,0.652,0.657,0.652,0.308,0.232,0.21,0.156
0.659,0.653,0.66,0.652,0.313,0.2,0.179,0.115
0.651,0.65,0.65,0.65,0.299,0.204,0.181,0.135
0.659,0.653,0.66,0.652,0.313,0.163,0.14,0.086
0.649,0.648,0.648,0.648,0.296,0.165,0.142,0.1
0.656,0.65,0.658,0.649,0.308,0.142,0.119,0.068
0.656,0.65,0.657,0.649,0.307,0.158,0.136,0.083
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.652,0.651,0.651,0.651,0.301,0.154,0.129,0.092
0.649,0.648,0.648,0.648,0.296,0.173,0.15,0.107
0.652,0.651,0.651,0.651,0.301,0.154,0.129,0.092
0.656,0.65,0.658,0.649,0.308,0.134,0.112,0.059
0.651,0.65,0.65,0.65,0.3,0.222,0.2,0.148
0.652,0.65,0.65,0.65,0.3,0.156,0.131,0.095
0.657,0.651,0.658,0.65,0.309,0.144,0.121,0.07
0.65,0.649,0.649,0.649,0.297,0.19,0.167,0.122
0.652,0.65,0.65,0.65,0.3,0.131,0.105,0.075
0.65,0.649,0.649,0.649,0.298,0.18,0.156,0.116
0.656,0.649,0.657,0.648,0.307,0.132,0.11,0.057
0.655,0.649,0.657,0.647,0.305,0.13,0.107,0.056
0.659,0.652,0.66,0.652,0.312,0.161,0.139,0.083
0.652,0.651,0.651,0.651,0.301,0.155,0.131,0.094
0.649,0.647,0.647,0.647,0.295,0.129,0.105,0.066
0.656,0.649,0.657,0.648,0.306,0.134,0.111,0.059
0.653,0.651,0.651,0.651,0.303,0.193,0.17,0.124
0.66,0.654,0.661,0.653,0.314,0.195,0.174,0.107
0.651,0.65,0.65,0.65,0.3,0.218,0.196,0.148
0.649,0.647,0.647,0.647,0.295,0.175,0.152,0.11
0.657,0.65,0.659,0.649,0.309,0.121,0.097,0.049
0.657,0.651,0.659,0.65,0.31,0.136,0.114,0.059
0.652,0.651,0.651,0.651,0.301,0.155,0.131,0.094
0.657,0.65,0.658,0.649,0.309,0.135,0.113,0.059
0.65,0.648,0.649,0.649,0.297,0.179,0.155,0.116
0.657,0.651,0.658,0.65,0.309,0.18,0.159,0.094
0.652,0.65,0.65,0.65,0.3,0.153,0.128,0.092
0.655,0.649,0.656,0.648,0.305,0.153,0.131,0.08
0.651,0.65,0.65,0.65,0.3,0.234,0.212,0.162
0.656,0.65,0.658,0.649,0.308,0.133,0.11,0.057
0.657,0.652,0.658,0.651,0.31,0.189,0.168,0.105
0.656,0.65,0.657,0.65,0.307,0.175,0.154,0.092
0.655,0.649,0.656,0.648,0.305,0.153,0.131,0.08
0.65,0.648,0.648,0.648,0.297,0.15,0.126,0.092
0.657,0.65,0.66,0.649,0.31,0.112,0.088,0.039
0.656,0.65,0.657,0.649,0.306,0.154,0.131,0.08
0.657,0.65,0.66,0.649,0.31,0.12,0.097,0.043
0.658,0.651,0.66,0.65,0.311,0.121,0.097,0.048
0.658,0.652,0.659,0.651,0.311,0.166,0.144,0.086
0.659,0.652,0.661,0.651,0.312,0.128,0.105,0.049
0.657,0.65,0.658,0.649,0.309,0.138,0.115,0.063
0.657,0.651,0.658,0.651,0.31,0.16,0.137,0.083
0.657,0.65,0.659,0.649,0.309,0.127,0.105,0.051
0.657,0.651,0.658,0.65,0.309,0.143,0.12,0.068
0.659,0.652,0.66,0.652,0.312,0.164,0.142,0.086
0.677,0.675,0.676,0.675,0.351,0.119,0.09,0.051
0.685,0.678,0.69,0.677,0.368,0.138,0.112,0.05
0.685,0.679,0.689,0.678,0.368,0.143,0.117,0.055
0.684,0.678,0.688,0.677,0.365,0.163,0.137,0.073
0.677,0.676,0.676,0.676,0.351,0.164,0.135,0.098
0.677,0.675,0.676,0.675,0.351,0.129,0.101,0.06
