gen,nevals,avg,std,min,max
0,50,[0.67076 0.1894 ],[0.00772155 0.0740616 ],[0.656 0.121],[0.682 0.484]
1,3,[0.6682 0.2204],[0.00778203 0.13407103],[0.661 0.143],[0.68  0.488]
2,5,[0.663  0.1582],[0.00260768 0.0168333 ],[0.661 0.144],[0.668 0.191]
3,4,[0.6636 0.1592],[0.00361109 0.03396115],[0.66 0.11],[0.668 0.202]
4,2,[0.6696 0.1866],[0.00484149 0.00697424],[0.665 0.173],[0.679 0.191]
5,4,[0.6642 0.2148],[0.00318748 0.11906536],[0.661 0.14 ],[0.67  0.452]
6,4,[0.6616 0.143 ],[0.00135647 0.00678233],[0.659 0.132],[0.663 0.153]
7,4,[0.6646 0.165 ],[0.0028     0.02439672],[0.662 0.14 ],[0.668 0.195]
8,5,[0.6692 0.1754],[0.00783326 0.01731589],[0.662 0.153],[0.681 0.201]
9,3,[0.6706 0.1702],[0.00549909 0.02331866],[0.661 0.132],[0.676 0.191]
10,5,[0.6714 0.1582],[0.00523832 0.02005393],[0.663 0.138],[0.677 0.183]
11,4,[0.6696 0.1614],[0.00508331 0.02416278],[0.661 0.134],[0.677 0.192]
12,5,[0.6752 0.2146],[0.00470744 0.11630408],[0.67  0.124],[0.681 0.44 ]
13,4,[0.6768 0.2804],[0.00376298 0.13846386],[0.67  0.124],[0.681 0.45 ]
14,5,[0.676  0.2434],[0.00576194 0.10283112],[0.668 0.154],[0.681 0.444]
15,2,[0.6762 0.234 ],[0.00487442 0.10739274],[0.668 0.149],[0.681 0.444]
16,3,[0.6754 0.2768],[0.00770973 0.14222152],[0.661 0.147],[0.682 0.456]
17,3,[0.6716 0.2258],[0.00884534 0.11675513],[0.661 0.147],[0.682 0.456]
18,4,[0.6746 0.1714],[0.00338231 0.02129413],[0.67  0.142],[0.678 0.195]
19,5,[0.6746 0.1772],[0.00344093 0.01558717],[0.67  0.158],[0.678 0.195]
20,4,[0.6748 0.1774],[0.00331059 0.01628005],[0.669 0.152],[0.678 0.195]
21,2,[0.6752 0.1794],[0.00342929 0.01636582],[0.669 0.152],[0.678 0.195]
22,3,[0.675  0.1776],[0.00334664 0.01478648],[0.669 0.152],[0.678 0.195]
23,4,[0.6756 0.1794],[0.00174356 0.0063435 ],[0.673 0.171],[0.677 0.186]
24,3,[0.6766 0.187 ],[0.00162481 0.01003992],[0.674 0.173],[0.679 0.203]
25,5,[0.6774 0.2382],[0.00293939 0.10739534],[0.672 0.158],[0.68 0.45]
