gen,nevals,avg,std,min,max
0,50,[0.67022 0.14368],[0.00397135 0.11089048],[0.66  0.001],[0.677 0.608]
1,4,[0.6682 0.0992],[0.00331059 0.07192607],[0.665 0.005],[0.674 0.2  ]
2,5,[0.6678 0.0864],[0.00183303 0.06591995],[0.666 0.021],[0.67  0.175]
3,3,[0.6676 0.0616],[0.00135647 0.06038079],[0.666 0.024],[0.67 0.18]
4,4,[0.6668 0.0526],[0.00172047 0.05020996],[0.664 0.009],[0.669 0.15 ]
5,3,[0.6652 0.0798],[0.00318748 0.05837602],[0.66  0.009],[0.669 0.15 ]
6,5,[0.666  0.2194],[0.00389872 0.20610347],[0.661 0.027],[0.671 0.608]
7,4,[0.667  0.1642],[0.00414729 0.08263752],[0.663 0.018],[0.675 0.25 ]
8,3,[0.667  0.1294],[0.00352136 0.06041391],[0.665 0.018],[0.674 0.199]
9,4,[0.6682 0.1522],[0.00365513 0.05234272],[0.664 0.071],[0.673 0.216]
10,4,[0.6706 0.172 ],[0.00467333 0.03242838],[0.664 0.125],[0.675 0.208]
11,5,[0.6666 0.1772],[0.00440908 0.03341497],[0.662 0.139],[0.675 0.236]
12,4,[0.666 0.127],[0.0054037  0.02036664],[0.66  0.098],[0.676 0.16 ]
13,3,[0.669 0.183],[0.00451664 0.04343731],[0.665 0.123],[0.675 0.255]
14,2,[0.6726 0.2014],[0.00382623 0.04936639],[0.665 0.125],[0.675 0.255]
15,3,[0.6712 0.181 ],[0.00515364 0.04329896],[0.665 0.125],[0.677 0.255]
16,4,[0.6752 0.1924],[0.00116619 0.05595212],[0.674 0.125],[0.677 0.275]
17,4,[0.6734 0.2162],[0.00257682 0.03367729],[0.669 0.156],[0.677 0.259]
18,3,[0.6718 0.1796],[0.00444522 0.02803284],[0.666 0.156],[0.677 0.23 ]
19,4,[0.6716 0.2038],[0.00467333 0.04303673],[0.666 0.146],[0.677 0.269]
20,5,[0.6752 0.2036],[0.0016 0.0452],[0.673 0.147],[0.677 0.27 ]
21,5,[0.6738 0.1966],[0.00132665 0.05388729],[0.672 0.096],[0.676 0.254]
22,4,[0.673  0.2018],[0.00404969 0.10006478],[0.665 0.002],[0.676 0.258]
23,5,[0.6732 0.1542],[0.00318748 0.09476371],[0.667 0.003],[0.676 0.257]
24,3,[0.6736 0.1456],[0.00287054 0.09290339],[0.668 0.031],[0.676 0.257]
25,3,[0.671  0.1034],[0.00384708 0.08986345],[0.665 0.015],[0.675 0.268]
