gen,nevals,avg,std,min,max
0,50,[0.71516 0.33238],[0.01673961 0.17146765],[0.68  0.065],[0.737 0.552]
1,4,[0.7106 0.3082],[0.01868261 0.16040748],[0.687 0.11 ],[0.733 0.462]
2,5,[0.72   0.3382],[0.0091433 0.1310609],[0.71  0.164],[0.733 0.462]
3,5,[0.7144 0.2742],[0.01810635 0.16079975],[0.693 0.123],[0.733 0.478]
4,5,[0.7208 0.3574],[0.0116   0.152538],[0.7   0.168],[0.733 0.544]
5,5,[0.722  0.4282],[0.01111755 0.11198643],[0.707 0.205],[0.733 0.494]
6,3,[0.7268 0.4872],[0.00901998 0.04301814],[0.71  0.436],[0.737 0.56 ]
7,2,[0.7242 0.4462],[0.00719444 0.14044273],[0.71  0.181],[0.73 0.56]
8,4,[0.7272 0.449 ],[0.00391918 0.14952993],[0.723 0.177],[0.733 0.61 ]
9,3,[0.728  0.3084],[0.00275681 0.15850375],[0.723 0.164],[0.73 0.51]
10,5,[0.7306 0.4828],[0.00224499 0.01723253],[0.727 0.462],[0.733 0.502]
11,5,[0.72   0.2976],[0.01279062 0.16501951],[0.7   0.127],[0.733 0.544]
12,3,[0.7162 0.2926],[0.01034215 0.18989639],[0.7   0.106],[0.727 0.544]
13,5,[0.718  0.1616],[0.00715542 0.03738235],[0.707 0.102],[0.727 0.205]
14,3,[0.726  0.2218],[0.00438178 0.1151684 ],[0.72 0.11],[0.733 0.444]
15,5,[0.7266 0.2062],[0.00705975 0.12492142],[0.72  0.073],[0.737 0.444]
16,4,[0.7234 0.3044],[0.00427083 0.18348035],[0.72  0.131],[0.73 0.56]
17,5,[0.7148 0.2768],[0.01442775 0.16665101],[0.69  0.106],[0.727 0.502]
18,4,[0.7134 0.2654],[0.01725804 0.16762291],[0.69  0.106],[0.733 0.494]
19,4,[0.708  0.2794],[0.01521841 0.14597205],[0.69  0.131],[0.733 0.462]
20,4,[0.7054 0.2914],[0.01549968 0.16338862],[0.68  0.106],[0.727 0.526]
21,4,[0.7026 0.2892],[0.01177455 0.17926896],[0.68  0.106],[0.713 0.552]
22,4,[0.7126 0.4328],[0.0172812  0.16755465],[0.68  0.106],[0.73  0.552]
23,4,[0.7122 0.4348],[0.01097998 0.14080114],[0.697 0.16 ],[0.73  0.542]
24,4,[0.7076 0.2874],[0.00833307 0.13490678],[0.697 0.16 ],[0.717 0.452]
25,4,[0.7134 0.3478],[0.0088227  0.14316759],[0.7   0.173],[0.727 0.502]
