gen,nevals,avg,std,min,max
0,50,[0.7334  0.04218],[0.02531008 0.03207098],[0.697 0.   ],[0.773 0.12 ]
1,4,[0.7412 0.0516],[0.02131103 0.02838732],[0.72  0.018],[0.77  0.085]
2,4,[0.7238 0.0192],[0.0198736  0.01965095],[0.71 0.  ],[0.763 0.056]
3,3,[0.734  0.0208],[0.02440492 0.01495861],[0.71  0.002],[0.767 0.048]
4,5,[0.746 0.034],[0.02440492 0.02930529],[0.713 0.   ],[0.77 0.08]
5,2,[0.7534 0.0356],[0.02044113 0.03119359],[0.713 0.   ],[0.767 0.08 ]
6,3,[0.7646 0.0416],[0.00492341 0.02318275],[0.76  0.021],[0.773 0.08 ]
7,2,[0.764  0.0426],[0.0055857  0.02254418],[0.757 0.021],[0.773 0.08 ]
8,4,[0.7626 0.032 ],[0.00708802 0.02455199],[0.753 0.014],[0.773 0.08 ]
9,4,[0.768  0.0454],[0.00275681 0.01933494],[0.763 0.016],[0.77  0.075]
10,4,[0.754  0.0472],[0.01885736 0.01800444],[0.717 0.021],[0.77  0.075]
11,5,[0.7526 0.0258],[0.02005592 0.02788118],[0.713 0.005],[0.767 0.08 ]
12,3,[0.754  0.0382],[0.0172974  0.02808131],[0.72  0.005],[0.767 0.08 ]
13,2,[0.7598 0.0288],[0.00984683 0.01775838],[0.743 0.005],[0.773 0.056]
14,3,[0.7644 0.0272],[0.00445421 0.01180508],[0.76  0.008],[0.773 0.041]
15,4,[0.7638 0.0264],[0.00479166 0.00966644],[0.76  0.014],[0.773 0.041]
16,3,[0.7652 0.028 ],[0.00448999 0.00764199],[0.76  0.021],[0.773 0.041]
17,4,[0.7644 0.0302],[0.00445421 0.00976524],[0.76  0.021],[0.773 0.043]
18,4,[0.7606 0.0404],[0.00224499 0.02179541],[0.757 0.021],[0.763 0.069]
19,4,[0.7526 0.0508],[0.02141588 0.01738275],[0.71  0.022],[0.767 0.074]
20,4,[0.7528 0.0534],[0.0168333 0.0179399],[0.72  0.018],[0.767 0.065]
21,4,[0.7426 0.051 ],[0.02574179 0.0139714 ],[0.71  0.035],[0.77  0.069]
22,2,[0.7392 0.0614],[0.0284     0.02191438],[0.697 0.037],[0.763 0.098]
23,4,[0.7332 0.0398],[0.02443276 0.0212264 ],[0.71  0.009],[0.763 0.069]
24,2,[0.7378 0.0666],[0.03086357 0.02155551],[0.7   0.049],[0.763 0.093]
25,3,[0.7504 0.0578],[0.0252 0.0176],[0.7   0.049],[0.763 0.093]
