gen,nevals,avg,std,min,max
0,50,[0.82668 0.22304],[0.03130715 0.15619078],[0.785 0.038],[0.862 0.486]
1,5,[0.8102 0.2882],[0.02547469 0.15396415],[0.794 0.087],[0.861 0.448]
2,2,[0.8212 0.147 ],[0.03298121 0.11239751],[0.791 0.077],[0.862 0.37 ]
3,4,[0.8486 0.1312],[0.02482418 0.10220646],[0.799 0.048],[0.862 0.332]
4,3,[0.8482 0.1244],[0.02462032 0.11001927],[0.799 0.048],[0.862 0.34 ]
5,5,[0.848  0.1066],[0.025012  0.0816397],[0.798 0.043],[0.861 0.268]
6,5,[0.8466 0.0652],[0.02631045 0.02537243],[0.794 0.042],[0.861 0.11 ]
7,4,[0.8484 0.1256],[0.02422065 0.11797729],[0.8   0.041],[0.862 0.36 ]
8,3,[0.8354 0.1878],[0.02973617 0.15620423],[0.798 0.041],[0.861 0.394]
9,4,[0.8348 0.176 ],[0.03088301 0.14661105],[0.797 0.041],[0.862 0.402]
10,5,[0.8348 0.1448],[0.03175154 0.14456749],[0.793 0.042],[0.862 0.432]
11,4,[0.8234 0.2038],[0.03070896 0.11225756],[0.798 0.054],[0.862 0.326]
12,1,[0.8236 0.2096],[0.03094899 0.1048744 ],[0.798 0.083],[0.862 0.326]
13,4,[0.8092 0.255 ],[0.02672377 0.14893489],[0.788 0.068],[0.862 0.418]
14,3,[0.8188 0.084 ],[0.03457976 0.01879362],[0.788 0.068],[0.861 0.119]
15,5,[0.8072 0.196 ],[0.02722058 0.14756287],[0.787 0.063],[0.861 0.386]
16,5,[0.7908 0.1148],[0.00376298 0.09294601],[0.788 0.059],[0.798 0.3  ]
17,4,[0.79   0.0784],[0.00209762 0.01892723],[0.788 0.059],[0.793 0.108]
18,4,[0.7898 0.0764],[0.00116619 0.01581898],[0.789 0.067],[0.792 0.108]
19,3,[0.7894 0.075 ],[0.0008    0.0130384],[0.789 0.067],[0.791 0.101]
20,4,[0.803  0.0688],[0.02900345 0.00879545],[0.788 0.057],[0.861 0.084]
21,4,[0.8052 0.121 ],[0.02818794 0.09702783],[0.788 0.059],[0.861 0.314]
22,5,[0.7942 0.2578],[0.00430813 0.15490952],[0.789 0.069],[0.799 0.41 ]
23,5,[0.7968 0.3106],[0.00453431 0.12556369],[0.788 0.065],[0.8   0.422]
24,2,[0.7984 0.3122],[0.00174356 0.09670243],[0.795 0.119],[0.8   0.368]
25,4,[0.7962 0.3052],[0.00416653 0.12179721],[0.788 0.064],[0.799 0.39 ]
