accuracy,recall,precision,f1,mcc,spd,aod,eod
0.855,0.755,0.835,0.783,0.585,0.163,0.086,0.118
0.855,0.757,0.833,0.783,0.585,0.171,0.101,0.145
0.842,0.763,0.797,0.777,0.559,0.183,0.078,0.073
0.845,0.773,0.798,0.784,0.571,0.185,0.073,0.062
0.847,0.772,0.803,0.785,0.574,0.189,0.079,0.071
0.855,0.771,0.822,0.791,0.591,0.166,0.059,0.055
0.841,0.765,0.794,0.777,0.558,0.187,0.079,0.069
0.858,0.769,0.831,0.792,0.596,0.165,0.069,0.079
0.86,0.771,0.835,0.795,0.602,0.169,0.074,0.089
0.839,0.769,0.789,0.778,0.557,0.191,0.078,0.063
0.852,0.747,0.833,0.775,0.574,0.163,0.092,0.127
0.84,0.759,0.795,0.774,0.553,0.175,0.067,0.054
0.842,0.767,0.795,0.779,0.562,0.187,0.074,0.058
0.842,0.77,0.794,0.78,0.563,0.193,0.085,0.079
0.849,0.775,0.807,0.789,0.582,0.186,0.071,0.057
0.843,0.77,0.796,0.781,0.565,0.182,0.061,0.037
0.858,0.762,0.837,0.788,0.594,0.159,0.068,0.081
0.854,0.763,0.826,0.786,0.586,0.17,0.087,0.112
0.849,0.737,0.834,0.767,0.563,0.162,0.11,0.166
0.858,0.77,0.831,0.793,0.598,0.17,0.079,0.097
0.845,0.763,0.803,0.78,0.565,0.182,0.083,0.086
0.857,0.763,0.834,0.789,0.593,0.167,0.082,0.105
0.85,0.779,0.807,0.791,0.585,0.196,0.086,0.082
0.853,0.781,0.812,0.794,0.592,0.205,0.111,0.13
0.85,0.766,0.813,0.785,0.578,0.167,0.062,0.06
0.842,0.72,0.83,0.751,0.54,0.157,0.12,0.188
0.843,0.769,0.798,0.781,0.566,0.18,0.06,0.035
0.845,0.769,0.801,0.782,0.568,0.184,0.076,0.069
0.844,0.767,0.799,0.781,0.565,0.185,0.073,0.059
0.846,0.767,0.805,0.782,0.57,0.179,0.074,0.072
0.843,0.726,0.827,0.756,0.544,0.155,0.108,0.166
0.85,0.777,0.808,0.79,0.585,0.182,0.06,0.037
0.851,0.776,0.811,0.791,0.586,0.178,0.065,0.055
0.852,0.765,0.819,0.786,0.582,0.167,0.066,0.069
0.852,0.779,0.812,0.793,0.59,0.184,0.063,0.043
0.842,0.765,0.797,0.779,0.561,0.189,0.087,0.086
0.856,0.76,0.834,0.786,0.589,0.162,0.075,0.094
0.854,0.773,0.819,0.792,0.591,0.174,0.073,0.078
0.86,0.781,0.827,0.799,0.606,0.168,0.052,0.042
0.858,0.779,0.824,0.797,0.601,0.167,0.051,0.041
0.862,0.78,0.834,0.801,0.611,0.167,0.057,0.055
0.847,0.771,0.805,0.785,0.574,0.186,0.077,0.07
0.851,0.776,0.81,0.791,0.585,0.179,0.066,0.058
0.852,0.769,0.817,0.788,0.584,0.173,0.075,0.082
0.849,0.774,0.807,0.788,0.581,0.181,0.063,0.046
0.847,0.733,0.835,0.764,0.558,0.157,0.105,0.159
0.852,0.769,0.817,0.788,0.583,0.17,0.063,0.059
0.845,0.773,0.799,0.784,0.571,0.19,0.08,0.072
0.846,0.771,0.801,0.784,0.572,0.192,0.085,0.081
0.844,0.767,0.8,0.781,0.566,0.173,0.056,0.036
0.848,0.778,0.803,0.789,0.58,0.2,0.094,0.094
0.84,0.767,0.792,0.778,0.558,0.194,0.095,0.098
0.847,0.775,0.802,0.787,0.577,0.183,0.061,0.038
0.855,0.772,0.822,0.792,0.592,0.166,0.057,0.053
0.846,0.772,0.802,0.785,0.573,0.19,0.081,0.075
0.855,0.759,0.833,0.785,0.588,0.162,0.075,0.094
0.855,0.771,0.822,0.791,0.59,0.17,0.07,0.076
0.854,0.771,0.821,0.791,0.59,0.167,0.058,0.052
0.856,0.761,0.834,0.787,0.591,0.166,0.078,0.096
0.85,0.763,0.817,0.783,0.577,0.173,0.085,0.104
0.855,0.772,0.821,0.792,0.592,0.174,0.068,0.067
0.855,0.759,0.832,0.785,0.586,0.164,0.082,0.106
0.854,0.769,0.822,0.789,0.588,0.163,0.055,0.05
0.855,0.77,0.824,0.791,0.591,0.167,0.065,0.069
0.853,0.769,0.82,0.789,0.587,0.173,0.073,0.078
0.852,0.768,0.816,0.787,0.583,0.168,0.062,0.059
0.837,0.76,0.789,0.772,0.548,0.193,0.089,0.083
0.854,0.773,0.819,0.792,0.591,0.173,0.067,0.066
0.845,0.768,0.801,0.782,0.568,0.184,0.08,0.077
0.85,0.775,0.808,0.789,0.582,0.184,0.073,0.064
0.856,0.771,0.824,0.792,0.593,0.167,0.062,0.062
0.849,0.774,0.807,0.788,0.58,0.19,0.08,0.073
0.856,0.772,0.824,0.792,0.593,0.169,0.067,0.072
0.846,0.771,0.803,0.785,0.573,0.19,0.087,0.088
0.863,0.782,0.835,0.803,0.614,0.169,0.055,0.05
0.856,0.772,0.825,0.792,0.594,0.164,0.058,0.057
0.85,0.779,0.807,0.791,0.586,0.192,0.082,0.079
0.852,0.774,0.814,0.79,0.587,0.166,0.05,0.036
0.848,0.773,0.805,0.787,0.578,0.185,0.077,0.073
0.851,0.772,0.813,0.789,0.584,0.176,0.066,0.059
0.853,0.766,0.821,0.787,0.584,0.166,0.064,0.063
0.851,0.77,0.814,0.788,0.582,0.164,0.04,0.013
0.85,0.776,0.809,0.79,0.584,0.182,0.067,0.055
0.847,0.775,0.803,0.787,0.578,0.193,0.08,0.069
0.846,0.767,0.805,0.782,0.57,0.179,0.07,0.06
0.853,0.766,0.821,0.787,0.585,0.167,0.066,0.07
0.851,0.78,0.809,0.793,0.588,0.184,0.066,0.051
0.855,0.771,0.822,0.791,0.592,0.166,0.06,0.057
0.851,0.778,0.81,0.792,0.587,0.189,0.076,0.067
0.85,0.781,0.805,0.792,0.586,0.195,0.079,0.067
0.856,0.776,0.821,0.794,0.596,0.175,0.068,0.067
0.849,0.774,0.808,0.788,0.581,0.179,0.066,0.056
0.848,0.775,0.804,0.788,0.578,0.185,0.064,0.042
0.851,0.779,0.808,0.792,0.586,0.183,0.064,0.047
0.851,0.779,0.808,0.792,0.587,0.186,0.065,0.047
0.852,0.777,0.812,0.792,0.588,0.181,0.063,0.047
0.856,0.775,0.821,0.794,0.594,0.169,0.06,0.056
0.837,0.757,0.79,0.771,0.547,0.18,0.079,0.076
0.834,0.749,0.787,0.765,0.535,0.175,0.076,0.07
0.85,0.778,0.807,0.79,0.584,0.182,0.065,0.051
0.848,0.775,0.804,0.788,0.579,0.189,0.069,0.048
0.853,0.768,0.82,0.788,0.586,0.167,0.058,0.051
