gen,nevals,avg,std,min,max
0,50,[0.85112 0.22462],[0.00644559 0.08891791],[0.835 0.163],[0.861 0.408]
1,5,[0.8554 0.1726],[0.00233238 0.00816333],[0.851 0.165],[0.857 0.188]
2,5,[0.8528 0.2592],[0.00636867 0.11015153],[0.842 0.166],[0.858 0.4  ]
3,5,[0.8574 0.1712],[0.0004899  0.00213542],[0.857 0.168],[0.858 0.174]
4,5,[0.8546 0.2132],[0.00535164 0.08443554],[0.844 0.167],[0.858 0.382]
5,4,[0.8516 0.2146],[0.00412795 0.08483773],[0.846 0.164],[0.858 0.384]
6,3,[0.8552 0.1734],[0.00365513 0.00300666],[0.849 0.171],[0.858 0.179]
7,4,[0.855  0.1746],[0.00209762 0.00776144],[0.853 0.166],[0.858 0.187]
8,0,[0.8572 0.1702],[0.0016 0.0084],[0.854 0.166],[0.858 0.187]
9,3,[0.8558 0.1724],[0.00193907 0.00786384],[0.853 0.165],[0.858 0.187]
10,4,[0.856  0.1742],[0.00178885 0.00453431],[0.853 0.17 ],[0.858 0.183]
11,3,[0.8546 0.1726],[0.00241661 0.00174356],[0.852 0.17 ],[0.858 0.175]
12,3,[0.852  0.1746],[0.00109545 0.0026533 ],[0.85 0.17],[0.853 0.178]
13,5,[0.8508 0.2614],[0.0040694  0.10340909],[0.846 0.173],[0.857 0.388]
14,5,[0.8534 0.2206],[0.00445421 0.08173763],[0.846 0.177],[0.86  0.384]
15,3,[0.8542 0.18  ],[0.00381576 0.00289828],[0.848 0.177],[0.86  0.184]
16,4,[0.852  0.2198],[0.00589915 0.08114284],[0.845 0.176],[0.86  0.382]
17,5,[0.8478 0.2666],[0.00503587 0.10178133],[0.841 0.179],[0.855 0.4  ]
18,5,[0.8522 0.2592],[0.00370945 0.10273539],[0.846 0.174],[0.856 0.388]
19,5,[0.8484 0.2238],[0.00463033 0.08232715],[0.844 0.172],[0.854 0.388]
20,4,[0.8488 0.301 ],[0.00318748 0.10167792],[0.845 0.176],[0.854 0.388]
21,3,[0.8528 0.179 ],[0.00305941 0.00244949],[0.847 0.177],[0.856 0.182]
22,4,[0.852  0.1724],[0.00209762 0.00922171],[0.848 0.158],[0.854 0.184]
23,3,[0.85   0.2188],[0.00282843 0.08573774],[0.846 0.169],[0.854 0.39 ]
24,3,[0.8496 0.1724],[0.00361109 0.00922171],[0.843 0.163],[0.854 0.188]
25,5,[0.8514 0.1766],[0.00402989 0.01109234],[0.848 0.156],[0.859 0.186]
