gen,nevals,avg,std,min,max
0,50,[0.89654 0.39564],[0.00292034 0.02228431],[0.891 0.332],[0.903 0.436]
1,4,[0.8974 0.402 ],[0.00215407 0.01109955],[0.894 0.392],[0.9   0.422]
2,5,[0.8944 0.4076],[0.00224499 0.020529  ],[0.892 0.386],[0.898 0.438]
3,3,[0.8958 0.4052],[0.0024     0.02080769],[0.893 0.39 ],[0.9   0.446]
4,3,[0.8958 0.3976],[0.00278568 0.02060679],[0.893 0.38 ],[0.9   0.438]
5,5,[0.8948 0.4024],[0.0009798 0.0220327],[0.893 0.372],[0.896 0.436]
6,4,[0.895  0.3824],[0.00089443 0.02125653],[0.894 0.354],[0.896 0.406]
7,4,[0.8972 0.396 ],[0.0009798  0.02465766],[0.896 0.354],[0.898 0.422]
8,4,[0.8964 0.3952],[0.00135647 0.01937421],[0.894 0.364],[0.898 0.422]
9,4,[0.8968 0.4036],[0.0009798  0.03458092],[0.896 0.356],[0.898 0.438]
10,1,[0.8976 0.3804],[0.0008     0.03005062],[0.896 0.356],[0.898 0.422]
11,5,[0.8958 0.404 ],[0.00193907 0.01930803],[0.893 0.384],[0.898 0.436]
12,5,[0.8948 0.3912],[0.00193907 0.02271915],[0.892 0.36 ],[0.897 0.414]
13,5,[0.8952 0.394 ],[0.0036     0.03006659],[0.889 0.35 ],[0.9   0.434]
14,3,[0.8966 0.3888],[0.00185472 0.01510497],[0.895 0.372],[0.9   0.416]
15,3,[0.8962 0.3812],[0.00146969 0.00574108],[0.894 0.374],[0.898 0.388]
16,4,[0.8968 0.3924],[0.0004     0.01973423],[0.896 0.374],[0.897 0.428]
17,4,[0.8964 0.4012],[0.00135647 0.01483779],[0.894 0.384],[0.898 0.428]
18,3,[0.8958 0.41  ],[0.0009798  0.02161481],[0.894 0.374],[0.897 0.436]
19,5,[0.898  0.3952],[0.00126491 0.01929145],[0.896 0.372],[0.9   0.418]
20,4,[0.8978 0.3912],[0.00172047 0.00676461],[0.896 0.382],[0.901 0.4  ]
21,3,[0.8986 0.404 ],[0.0004899  0.01344619],[0.898 0.388],[0.899 0.42 ]
22,4,[0.8976 0.3972],[0.00149666 0.02361694],[0.895 0.356],[0.899 0.42 ]
23,5,[0.8974 0.394 ],[0.00241661 0.0225211 ],[0.894 0.368],[0.9   0.422]
24,4,[0.8962 0.3848],[0.0016    0.0219308],[0.894 0.35 ],[0.898 0.404]
25,4,[0.8966 0.3888],[0.00233238 0.02741095],[0.894 0.368],[0.9   0.436]
