accuracy,recall,precision,f1,mcc,spd,aod,eod
0.667,0.659,0.664,0.659,0.323,0.082,0.045,0.033
0.655,0.649,0.651,0.649,0.299,0.131,0.087,0.114
0.668,0.661,0.665,0.662,0.326,0.144,0.11,0.087
0.668,0.659,0.665,0.66,0.324,0.177,0.145,0.117
0.676,0.664,0.677,0.664,0.34,0.134,0.105,0.062
0.662,0.636,0.697,0.621,0.327,0.086,0.056,0.043
0.663,0.654,0.66,0.654,0.313,0.132,0.089,0.106
0.675,0.662,0.675,0.662,0.337,0.121,0.083,0.074
0.672,0.666,0.668,0.667,0.335,0.16,0.127,0.098
0.664,0.655,0.661,0.656,0.316,0.05,0.01,0.013
0.654,0.645,0.651,0.646,0.296,0.103,0.068,0.064
0.689,0.68,0.688,0.681,0.368,0.158,0.116,0.108
0.682,0.674,0.68,0.675,0.354,0.109,0.076,0.035
0.672,0.664,0.668,0.665,0.332,0.128,0.091,0.076
0.667,0.648,0.676,0.644,0.322,0.034,0.001,0.018
0.681,0.661,0.699,0.655,0.358,0.044,0.007,0.008
0.681,0.661,0.695,0.657,0.355,0.12,0.083,0.073
0.665,0.657,0.662,0.657,0.318,0.069,0.034,0.014
0.688,0.672,0.695,0.67,0.366,0.134,0.096,0.076
0.675,0.663,0.674,0.663,0.337,0.099,0.063,0.046
0.675,0.654,0.693,0.648,0.345,0.102,0.066,0.056
0.668,0.658,0.666,0.658,0.324,0.087,0.052,0.035
0.663,0.658,0.66,0.659,0.318,0.085,0.059,0.006
0.663,0.654,0.66,0.654,0.314,0.156,0.118,0.121
0.671,0.647,0.698,0.637,0.341,0.122,0.089,0.075
0.673,0.649,0.698,0.64,0.344,0.121,0.091,0.061
0.668,0.659,0.665,0.66,0.324,0.134,0.097,0.087
0.657,0.65,0.654,0.651,0.304,0.109,0.085,0.034
0.689,0.678,0.689,0.679,0.367,0.173,0.122,0.149
0.663,0.655,0.66,0.656,0.315,0.037,0.003,0.018
0.662,0.656,0.658,0.657,0.314,0.154,0.114,0.12
0.675,0.664,0.675,0.664,0.338,0.08,0.04,0.036
0.637,0.633,0.633,0.633,0.266,0.171,0.132,0.158
0.686,0.678,0.684,0.679,0.361,0.142,0.102,0.087
0.675,0.665,0.673,0.666,0.337,0.17,0.13,0.126
0.666,0.651,0.667,0.65,0.318,0.155,0.125,0.097
0.675,0.666,0.673,0.667,0.339,0.157,0.121,0.103
0.686,0.67,0.692,0.669,0.361,0.092,0.055,0.031
0.677,0.666,0.676,0.667,0.343,0.152,0.113,0.104
0.688,0.672,0.694,0.672,0.365,0.148,0.11,0.092
0.679,0.662,0.687,0.66,0.348,0.142,0.105,0.094
0.669,0.659,0.667,0.66,0.326,0.073,0.042,0.009
0.653,0.641,0.65,0.641,0.291,0.167,0.142,0.104
0.654,0.648,0.65,0.648,0.298,0.01,0.029,0.026
0.655,0.649,0.651,0.65,0.3,0.097,0.06,0.058
0.655,0.629,0.687,0.613,0.31,0.144,0.124,0.08
0.666,0.654,0.665,0.655,0.319,0.038,0.006,0.013
0.686,0.672,0.69,0.671,0.362,0.125,0.087,0.068
0.675,0.666,0.672,0.667,0.338,0.096,0.059,0.04
0.666,0.656,0.663,0.657,0.319,0.093,0.05,0.065
0.668,0.644,0.696,0.633,0.336,0.118,0.088,0.065
0.686,0.675,0.686,0.676,0.361,0.13,0.092,0.073
0.664,0.653,0.662,0.653,0.315,0.086,0.053,0.032
0.68,0.672,0.677,0.673,0.349,0.189,0.154,0.126
0.653,0.647,0.649,0.647,0.296,0.113,0.081,0.064
0.656,0.65,0.652,0.65,0.302,0.125,0.083,0.1
0.668,0.661,0.665,0.661,0.325,0.064,0.03,0.002
0.667,0.649,0.674,0.646,0.323,0.035,0.0,0.013
0.672,0.665,0.668,0.665,0.333,0.151,0.117,0.092
0.669,0.662,0.665,0.663,0.327,0.104,0.069,0.049
0.669,0.661,0.665,0.662,0.327,0.112,0.061,0.1
0.678,0.666,0.678,0.666,0.344,0.164,0.129,0.108
0.663,0.656,0.659,0.657,0.315,0.14,0.103,0.094
0.672,0.661,0.669,0.662,0.331,0.171,0.132,0.127
0.662,0.653,0.658,0.653,0.311,0.025,0.006,0.035
0.66,0.652,0.656,0.653,0.309,0.135,0.094,0.105
0.658,0.638,0.668,0.632,0.304,0.029,0.064,0.066
0.653,0.646,0.649,0.647,0.295,0.1,0.062,0.069
0.688,0.676,0.688,0.676,0.364,0.155,0.112,0.109
0.653,0.625,0.691,0.606,0.309,0.086,0.059,0.042
0.663,0.657,0.659,0.657,0.316,0.107,0.071,0.06
0.663,0.654,0.659,0.655,0.314,0.068,0.035,0.013
0.657,0.651,0.654,0.651,0.304,0.096,0.056,0.064
0.667,0.659,0.663,0.66,0.322,0.179,0.137,0.145
0.652,0.643,0.648,0.644,0.291,0.021,0.014,0.021
0.661,0.636,0.686,0.624,0.318,0.112,0.084,0.064
0.661,0.654,0.658,0.654,0.311,0.096,0.062,0.045
0.683,0.671,0.683,0.671,0.354,0.105,0.065,0.052
0.656,0.63,0.688,0.614,0.313,0.176,0.166,0.085
0.673,0.652,0.689,0.645,0.339,0.086,0.047,0.049
0.658,0.653,0.654,0.653,0.307,0.19,0.147,0.168
0.66,0.653,0.656,0.654,0.309,0.111,0.076,0.063
0.688,0.678,0.687,0.679,0.364,0.139,0.095,0.091
0.659,0.654,0.655,0.654,0.309,0.107,0.058,0.1
0.679,0.659,0.694,0.655,0.351,0.143,0.107,0.095
0.661,0.654,0.657,0.655,0.311,0.09,0.055,0.043
0.656,0.649,0.652,0.65,0.301,0.1,0.055,0.084
0.66,0.654,0.656,0.655,0.31,0.104,0.076,0.034
0.659,0.652,0.655,0.653,0.307,0.091,0.059,0.035
0.685,0.666,0.698,0.663,0.363,0.149,0.112,0.095
0.678,0.659,0.692,0.654,0.349,0.151,0.117,0.095
0.675,0.657,0.686,0.653,0.341,0.152,0.12,0.092
0.68,0.67,0.679,0.671,0.348,0.154,0.114,0.103
0.663,0.655,0.659,0.655,0.314,0.075,0.036,0.036
0.655,0.649,0.651,0.65,0.3,0.164,0.138,0.097
0.674,0.652,0.694,0.645,0.344,0.103,0.069,0.054
0.654,0.647,0.65,0.648,0.297,0.131,0.098,0.083
0.649,0.643,0.645,0.643,0.288,0.071,0.032,0.043
0.659,0.651,0.655,0.652,0.306,0.133,0.092,0.104
0.67,0.649,0.685,0.643,0.332,0.099,0.061,0.064
0.652,0.644,0.647,0.645,0.292,0.097,0.06,0.064
0.653,0.644,0.649,0.644,0.292,0.103,0.072,0.052
0.675,0.657,0.684,0.653,0.34,0.181,0.151,0.119
0.674,0.665,0.672,0.665,0.336,0.134,0.09,0.101
0.669,0.659,0.667,0.66,0.326,0.144,0.113,0.083
0.684,0.674,0.683,0.675,0.356,0.14,0.102,0.082
0.681,0.663,0.692,0.66,0.354,0.122,0.082,0.079
0.664,0.654,0.661,0.655,0.315,0.102,0.062,0.065
0.669,0.661,0.665,0.662,0.327,0.116,0.087,0.046
0.679,0.669,0.678,0.669,0.346,0.149,0.112,0.092
0.659,0.651,0.655,0.651,0.305,0.127,0.094,0.078
0.681,0.662,0.693,0.659,0.353,0.118,0.081,0.067
0.66,0.652,0.656,0.653,0.308,0.134,0.095,0.1
0.67,0.662,0.667,0.662,0.328,0.133,0.095,0.088
0.677,0.669,0.674,0.67,0.343,0.096,0.06,0.037
0.677,0.659,0.689,0.655,0.347,0.116,0.081,0.063
0.673,0.652,0.689,0.645,0.339,0.093,0.059,0.044
0.668,0.659,0.666,0.659,0.324,0.081,0.045,0.029
0.662,0.652,0.659,0.652,0.311,0.061,0.026,0.011
0.67,0.648,0.689,0.64,0.335,0.073,0.039,0.029
0.673,0.653,0.688,0.647,0.339,0.095,0.058,0.051
0.667,0.66,0.664,0.661,0.324,0.122,0.086,0.068
0.675,0.664,0.675,0.664,0.338,0.113,0.083,0.043
0.656,0.647,0.653,0.648,0.3,0.093,0.064,0.034
0.664,0.639,0.692,0.627,0.327,0.07,0.033,0.042
0.688,0.669,0.702,0.666,0.369,0.106,0.065,0.057
0.672,0.662,0.669,0.662,0.331,0.087,0.052,0.03
0.656,0.626,0.712,0.602,0.327,0.036,0.005,0.001
0.682,0.669,0.685,0.669,0.353,0.07,0.037,0.001
0.683,0.662,0.701,0.657,0.361,0.046,0.013,0.02
0.684,0.674,0.684,0.674,0.357,0.143,0.095,0.114
0.637,0.605,0.684,0.576,0.279,0.036,0.008,0.012
0.679,0.661,0.689,0.659,0.349,0.101,0.066,0.046
0.659,0.653,0.655,0.654,0.308,0.148,0.103,0.128
0.681,0.669,0.68,0.67,0.349,0.091,0.053,0.035
0.679,0.663,0.683,0.662,0.346,0.18,0.145,0.123
0.663,0.639,0.69,0.627,0.325,0.107,0.079,0.053
0.67,0.659,0.669,0.66,0.328,0.092,0.049,0.061
0.656,0.639,0.66,0.635,0.298,0.047,0.013,0.008
0.682,0.671,0.681,0.672,0.352,0.106,0.068,0.051
0.673,0.664,0.67,0.665,0.335,0.179,0.136,0.145
0.67,0.661,0.667,0.662,0.328,0.092,0.051,0.055
0.657,0.631,0.688,0.617,0.314,0.135,0.116,0.066
0.681,0.666,0.686,0.665,0.352,0.098,0.066,0.031
0.681,0.669,0.68,0.67,0.349,0.123,0.084,0.07
0.673,0.667,0.671,0.668,0.338,0.161,0.118,0.099
0.65,0.645,0.647,0.645,0.292,0.103,0.072,0.03
0.67,0.654,0.683,0.649,0.336,0.163,0.13,0.089
0.679,0.666,0.683,0.665,0.349,0.125,0.08,0.066
0.643,0.639,0.64,0.639,0.279,0.073,0.035,0.027
0.686,0.678,0.684,0.679,0.362,0.169,0.121,0.109
0.661,0.654,0.658,0.655,0.312,0.098,0.055,0.047
0.661,0.646,0.667,0.643,0.312,0.11,0.077,0.042
0.671,0.664,0.669,0.664,0.333,0.151,0.105,0.102
0.684,0.673,0.688,0.672,0.361,0.138,0.096,0.066
0.669,0.659,0.669,0.659,0.328,0.102,0.057,0.05
0.674,0.666,0.673,0.666,0.339,0.129,0.087,0.067
0.66,0.653,0.658,0.653,0.31,0.038,0.004,0.016
0.664,0.659,0.661,0.659,0.32,0.106,0.064,0.051
0.657,0.655,0.655,0.655,0.31,0.136,0.093,0.089
0.681,0.671,0.682,0.671,0.352,0.117,0.072,0.056
0.656,0.643,0.658,0.641,0.301,0.001,0.037,0.056
0.662,0.656,0.66,0.657,0.316,0.173,0.134,0.114
0.685,0.678,0.684,0.678,0.361,0.136,0.085,0.083
0.669,0.662,0.668,0.662,0.329,0.11,0.074,0.032
0.678,0.664,0.685,0.662,0.349,0.1,0.063,0.022
0.669,0.65,0.687,0.643,0.335,0.03,0.008,0.033
0.66,0.655,0.657,0.656,0.312,0.217,0.178,0.16
0.671,0.656,0.68,0.652,0.335,0.149,0.116,0.072
0.678,0.671,0.676,0.672,0.347,0.134,0.092,0.064
0.667,0.661,0.664,0.662,0.325,0.1,0.056,0.044
0.684,0.679,0.682,0.68,0.361,0.15,0.106,0.079
0.659,0.636,0.698,0.618,0.327,0.079,0.052,0.005
0.657,0.652,0.654,0.653,0.307,0.196,0.165,0.122
0.662,0.655,0.659,0.656,0.314,0.12,0.072,0.082
0.667,0.663,0.664,0.663,0.327,0.172,0.128,0.119
0.692,0.683,0.692,0.684,0.374,0.106,0.053,0.05
0.662,0.656,0.659,0.657,0.315,0.17,0.129,0.114
0.649,0.645,0.646,0.645,0.291,0.061,0.019,0.014
0.683,0.675,0.682,0.676,0.357,0.073,0.024,0.012
0.677,0.672,0.674,0.672,0.346,0.158,0.125,0.068
0.682,0.671,0.684,0.671,0.355,0.117,0.073,0.053
0.682,0.671,0.684,0.671,0.355,0.088,0.046,0.013
0.674,0.667,0.672,0.668,0.339,0.161,0.107,0.13
0.685,0.673,0.69,0.672,0.363,0.119,0.079,0.043
