accuracy,recall,precision,f1,mcc,spd,aod,eod
0.767,0.696,0.742,0.709,0.435,0.208,0.162,0.074
0.753,0.675,0.726,0.687,0.398,0.158,0.109,0.074
0.757,0.664,0.743,0.677,0.4,0.203,0.161,0.109
0.75,0.638,0.761,0.645,0.379,0.03,0.087,0.013
0.737,0.682,0.697,0.687,0.378,0.102,0.052,0.005
0.757,0.683,0.728,0.695,0.409,0.123,0.065,0.068
0.757,0.694,0.724,0.704,0.417,0.135,0.08,0.045
0.743,0.678,0.706,0.687,0.384,0.157,0.092,0.151
0.757,0.691,0.725,0.701,0.415,0.121,0.062,0.051
0.743,0.673,0.708,0.683,0.379,0.151,0.115,0.006
0.743,0.657,0.715,0.668,0.367,0.067,0.012,0.041
0.77,0.671,0.779,0.686,0.437,0.027,0.038,0.02
0.76,0.669,0.747,0.683,0.409,0.065,0.0,0.07
0.743,0.633,0.741,0.64,0.358,0.073,0.035,0.015
0.743,0.625,0.758,0.628,0.359,0.009,0.044,0.032
0.707,0.635,0.658,0.641,0.292,0.006,0.039,0.034
0.753,0.645,0.759,0.655,0.388,0.025,0.023,0.019
0.763,0.658,0.777,0.671,0.418,0.043,0.014,0.026
0.75,0.654,0.735,0.665,0.38,0.077,0.035,0.008
0.74,0.633,0.728,0.64,0.348,0.039,0.013,0.042
0.74,0.654,0.709,0.665,0.359,0.063,0.009,0.035
0.74,0.66,0.706,0.67,0.363,0.135,0.09,0.063
0.76,0.683,0.736,0.696,0.415,0.135,0.07,0.119
0.74,0.63,0.732,0.637,0.348,0.025,0.015,0.03
0.767,0.666,0.775,0.68,0.427,0.009,0.051,0.019
0.75,0.646,0.746,0.656,0.378,0.079,0.03,0.048
0.743,0.641,0.729,0.65,0.359,0.094,0.037,0.115
0.747,0.657,0.723,0.668,0.374,0.012,0.049,0.013
0.767,0.663,0.78,0.677,0.428,0.039,0.014,0.013
0.74,0.679,0.702,0.686,0.38,0.056,0.006,0.022
0.777,0.706,0.757,0.72,0.46,0.212,0.161,0.086
0.75,0.667,0.723,0.679,0.386,0.075,0.149,0.037
0.723,0.642,0.681,0.65,0.321,0.065,0.014,0.045
0.733,0.663,0.694,0.672,0.355,0.081,0.013,0.112
0.747,0.619,0.798,0.618,0.377,0.015,0.031,0.016
0.747,0.689,0.71,0.696,0.398,0.204,0.147,0.139
0.747,0.673,0.714,0.684,0.384,0.208,0.167,0.096
0.767,0.669,0.77,0.683,0.427,0.067,0.005,0.054
0.753,0.686,0.721,0.696,0.405,0.125,0.062,0.09
0.737,0.641,0.709,0.65,0.344,0.114,0.065,0.092
0.747,0.659,0.721,0.671,0.375,0.071,0.008,0.086
0.737,0.641,0.709,0.65,0.344,0.114,0.065,0.092
0.747,0.678,0.712,0.688,0.389,0.17,0.105,0.163
0.747,0.654,0.725,0.665,0.372,0.043,0.019,0.058
0.75,0.646,0.746,0.656,0.378,0.054,0.117,0.03
0.763,0.682,0.743,0.696,0.422,0.103,0.044,0.052
0.743,0.681,0.706,0.689,0.386,0.149,0.09,0.106
0.763,0.666,0.762,0.68,0.417,0.041,0.024,0.048
0.72,0.61,0.689,0.613,0.288,0.106,0.08,0.025
0.71,0.643,0.663,0.649,0.305,0.016,0.037,0.001
0.743,0.673,0.708,0.683,0.379,0.085,0.034,0.006
0.73,0.647,0.692,0.656,0.336,0.251,0.191,0.292
0.763,0.685,0.741,0.699,0.423,0.184,0.127,0.125
0.74,0.638,0.721,0.647,0.35,0.045,0.013,0.07
0.737,0.649,0.704,0.659,0.349,0.134,0.082,0.113
0.75,0.681,0.717,0.691,0.396,0.129,0.076,0.051
0.75,0.683,0.716,0.693,0.398,0.143,0.086,0.084
0.763,0.677,0.748,0.691,0.419,0.097,0.037,0.064
0.747,0.684,0.711,0.692,0.393,0.153,0.1,0.073
0.733,0.663,0.694,0.672,0.355,0.125,0.074,0.073
0.76,0.677,0.739,0.691,0.412,0.085,0.031,0.013
0.75,0.689,0.715,0.697,0.403,0.216,0.159,0.151
0.757,0.686,0.727,0.697,0.411,0.204,0.156,0.102
0.747,0.681,0.711,0.69,0.391,0.117,0.064,0.039
0.75,0.686,0.715,0.695,0.4,0.202,0.15,0.118
0.75,0.686,0.715,0.695,0.4,0.202,0.15,0.118
0.753,0.678,0.724,0.69,0.399,0.194,0.153,0.068
0.75,0.683,0.716,0.693,0.398,0.076,0.013,0.045
0.743,0.641,0.729,0.65,0.359,0.094,0.052,0.036
0.743,0.681,0.706,0.689,0.386,0.171,0.124,0.067
0.763,0.685,0.741,0.699,0.423,0.184,0.135,0.086
0.75,0.646,0.746,0.656,0.378,0.079,0.023,0.087
0.75,0.686,0.715,0.695,0.4,0.157,0.103,0.079
0.743,0.67,0.708,0.681,0.377,0.16,0.11,0.09
0.733,0.663,0.694,0.672,0.355,0.192,0.148,0.112
0.747,0.686,0.71,0.694,0.396,0.101,0.051,0.011
0.737,0.636,0.714,0.644,0.341,0.041,0.008,0.025
0.75,0.689,0.715,0.697,0.403,0.238,0.179,0.19
0.757,0.686,0.727,0.697,0.411,0.204,0.163,0.063
0.74,0.671,0.703,0.68,0.372,0.214,0.171,0.118
0.737,0.66,0.7,0.67,0.358,0.168,0.116,0.129
0.743,0.67,0.708,0.681,0.377,0.182,0.137,0.09
0.757,0.696,0.723,0.706,0.419,0.038,0.023,0.039
0.743,0.67,0.708,0.681,0.377,0.182,0.122,0.168
0.767,0.693,0.743,0.706,0.434,0.127,0.064,0.08
0.763,0.693,0.736,0.705,0.427,0.093,0.039,0.01
0.75,0.691,0.714,0.699,0.405,0.252,0.203,0.145
0.757,0.696,0.723,0.706,0.419,0.149,0.097,0.039
0.76,0.688,0.732,0.7,0.418,0.253,0.212,0.108
0.757,0.683,0.728,0.695,0.409,0.101,0.053,0.01
0.743,0.662,0.712,0.673,0.371,0.206,0.151,0.186
0.757,0.694,0.724,0.704,0.417,0.091,0.033,0.006
0.757,0.68,0.73,0.693,0.407,0.042,0.018,0.004
0.743,0.681,0.706,0.689,0.386,0.105,0.044,0.067
0.737,0.66,0.7,0.67,0.358,0.034,0.023,0.012
