gen,nevals,avg,std,min,max
0,50,[0.73348 0.0637 ],[0.01499365 0.06073623],[0.687 0.   ],[0.763 0.436]
1,4,[0.732  0.0514],[0.01091788 0.0181615 ],[0.72  0.035],[0.747 0.086]
2,2,[0.7292 0.0688],[0.00815843 0.02177522],[0.72  0.039],[0.743 0.091]
3,5,[0.7342 0.0554],[0.02271035 0.02991053],[0.697 0.02 ],[0.767 0.101]
4,5,[0.7292 0.0702],[0.01244829 0.02882638],[0.72  0.044],[0.753 0.121]
5,3,[0.734  0.0622],[0.01093618 0.02352361],[0.72  0.026],[0.753 0.087]
6,5,[0.7374 0.0592],[0.01070701 0.02858251],[0.72  0.019],[0.75  0.085]
7,5,[0.7352 0.0634],[0.00693974 0.0303684 ],[0.723 0.014],[0.743 0.094]
8,4,[0.7352 0.0816],[0.00775629 0.01800667],[0.723 0.058],[0.743 0.111]
9,3,[0.7448 0.064 ],[0.00982649 0.0291479 ],[0.73  0.031],[0.757 0.111]
10,4,[0.74   0.0692],[0.0077201  0.02919863],[0.73  0.022],[0.75  0.111]
11,4,[0.7282 0.088 ],[0.01175415 0.01781011],[0.71  0.061],[0.747 0.111]
12,4,[0.7394 0.0646],[0.00755248 0.0352    ],[0.727 0.012],[0.75  0.101]
13,3,[0.7454 0.09  ],[0.00571314 0.01023719],[0.737 0.071],[0.75  0.101]
14,5,[0.7346 0.0588],[0.00722772 0.03411393],[0.723 0.006],[0.743 0.11 ]
15,4,[0.7374 0.067 ],[0.00553534 0.04349713],[0.727 0.012],[0.743 0.134]
16,4,[0.7468 0.0326],[0.01222129 0.01964281],[0.73  0.004],[0.767 0.063]
17,3,[0.7428 0.0696],[0.00719444 0.0392102 ],[0.73  0.025],[0.75  0.123]
18,3,[0.7328 0.0706],[0.00487442 0.03658743],[0.727 0.006],[0.74  0.103]
19,4,[0.746  0.0532],[0.01293058 0.03812296],[0.73  0.007],[0.767 0.103]
20,3,[0.7426 0.054 ],[0.01657227 0.04219005],[0.72  0.007],[0.767 0.106]
21,4,[0.7326 0.0482],[0.00765768 0.02256901],[0.723 0.016],[0.743 0.084]
22,4,[0.7412 0.062 ],[0.00676461 0.02083267],[0.733 0.031],[0.753 0.084]
23,4,[0.7386 0.0546],[0.00628013 0.02241071],[0.73  0.022],[0.747 0.082]
24,3,[0.7288 0.0468],[0.00676461 0.03010913],[0.717 0.   ],[0.737 0.082]
25,5,[0.7434 0.059 ],[0.00467333 0.01560769],[0.737 0.039],[0.75  0.077]
