gen,nevals,avg,std,min,max
0,50,[0.73264 0.04594],[0.0148469  0.02524156],[0.693 0.003],[0.76  0.095]
1,2,[0.7314 0.038 ],[0.00868562 0.02161481],[0.717 0.009],[0.74  0.072]
2,5,[0.716 0.037],[0.02189977 0.00609918],[0.69 0.03],[0.743 0.048]
3,3,[0.7348 0.05  ],[0.0084947 0.0121326],[0.727 0.037],[0.747 0.073]
4,4,[0.7258 0.0318],[0.01324236 0.01783704],[0.703 0.008],[0.743 0.053]
5,4,[0.7326 0.0272],[0.01752256 0.02045874],[0.7   0.003],[0.75  0.063]
6,3,[0.7306 0.041 ],[0.00574804 0.01913113],[0.723 0.018],[0.74  0.063]
7,4,[0.734  0.0502],[0.00438178 0.02919178],[0.727 0.018],[0.74  0.105]
8,4,[0.7374 0.0288],[0.00708802 0.01022546],[0.727 0.018],[0.747 0.048]
9,3,[0.7346 0.0398],[0.00601997 0.02507907],[0.727 0.008],[0.743 0.083]
10,4,[0.7348 0.0322],[0.00285657 0.02286832],[0.73  0.008],[0.737 0.073]
11,4,[0.7374 0.0412],[0.0032     0.01735972],[0.733 0.014],[0.743 0.062]
12,4,[0.7412 0.0476],[0.00988737 0.01070701],[0.727 0.029],[0.753 0.062]
13,4,[0.7406 0.0334],[0.00755248 0.01755677],[0.727 0.009],[0.75  0.056]
14,5,[0.7366 0.0344],[0.00467333 0.01459589],[0.73  0.018],[0.743 0.058]
15,3,[0.7368 0.0474],[0.00503587 0.00838093],[0.727 0.038],[0.74  0.058]
16,4,[0.7334 0.0306],[0.01175755 0.01826034],[0.72  0.004],[0.75  0.058]
17,2,[0.734  0.0354],[0.01611211 0.0221504 ],[0.72  0.004],[0.757 0.071]
18,5,[0.7312 0.052 ],[0.00676461 0.03044996],[0.723 0.023],[0.743 0.105]
19,3,[0.7246 0.0586],[0.00801499 0.02572625],[0.71  0.034],[0.733 0.105]
20,5,[0.7246 0.042 ],[0.0109654  0.02919589],[0.71  0.004],[0.737 0.09 ]
21,3,[0.722  0.0456],[0.02296084 0.02180459],[0.703 0.023],[0.767 0.086]
22,4,[0.7362 0.0492],[0.01862686 0.02063395],[0.717 0.023],[0.767 0.086]
23,5,[0.7294 0.0614],[0.01220819 0.03623037],[0.72  0.031],[0.753 0.129]
24,5,[0.73  0.039],[0.01658915 0.02179908],[0.707 0.01 ],[0.747 0.073]
25,4,[0.728  0.0414],[0.0116619  0.02298347],[0.71 0.01],[0.74  0.075]
