gen,nevals,avg,std,min,max
0,50,[0.65804 0.06822],[0.03561964 0.02914535],[0.535 0.006],[0.71  0.144]
1,5,[0.6664 0.0716],[0.02361017 0.0187574 ],[0.638 0.043],[0.698 0.098]
2,5,[0.6778 0.0646],[0.00994786 0.01857525],[0.659 0.038],[0.687 0.096]
3,3,[0.6842 0.0602],[0.00994786 0.00376298],[0.667 0.056],[0.694 0.067]
4,5,[0.6902 0.0708],[0.00636867 0.02426026],[0.682 0.05 ],[0.697 0.116]
5,5,[0.6888 0.069 ],[0.01351148 0.00827043],[0.669 0.053],[0.711 0.075]
6,4,[0.6894 0.067 ],[0.00361109 0.01931839],[0.685 0.04 ],[0.694 0.091]
7,3,[0.6878 0.0584],[0.00222711 0.01586947],[0.686 0.04 ],[0.692 0.08 ]
8,5,[0.6932 0.0618],[0.00910824 0.01671407],[0.686 0.031],[0.709 0.081]
9,4,[0.6744 0.0436],[0.02650736 0.02105802],[0.622 0.005],[0.693 0.064]
10,5,[0.6842 0.0588],[0.01390539 0.01417604],[0.659 0.043],[0.697 0.085]
11,4,[0.6776 0.0732],[0.01963263 0.01126765],[0.649 0.054],[0.697 0.085]
12,4,[0.6662 0.0652],[0.01752027 0.01310572],[0.649 0.043],[0.689 0.084]
13,4,[0.6706 0.069 ],[0.02509661 0.0132665 ],[0.634 0.055],[0.699 0.094]
14,5,[0.6774 0.0594],[0.0183041  0.01202664],[0.658 0.039],[0.708 0.072]
15,4,[0.6896 0.0738],[0.00949947 0.01374627],[0.677 0.053],[0.706 0.088]
16,3,[0.69   0.0786],[0.00931665 0.01828223],[0.677 0.056],[0.706 0.106]
17,4,[0.6912 0.0736],[0.00444522 0.01670449],[0.686 0.061],[0.699 0.106]
18,4,[0.6754 0.0744],[0.01625546 0.01795104],[0.645 0.057],[0.688 0.106]
19,5,[0.654  0.0504],[0.01449138 0.0304539 ],[0.632 0.022],[0.674 0.105]
20,4,[0.6466 0.0436],[0.02763766 0.01684755],[0.6   0.022],[0.678 0.068]
21,4,[0.6642 0.044 ],[0.0104     0.03001333],[0.652 0.004],[0.678 0.09 ]
22,3,[0.6706 0.0502],[0.00949947 0.02924654],[0.652 0.004],[0.678 0.09 ]
23,5,[0.6732 0.054 ],[0.01775838 0.03102902],[0.645 0.009],[0.701 0.082]
24,5,[0.6756 0.0616],[0.01857525 0.01689497],[0.66  0.035],[0.711 0.081]
25,3,[0.6652 0.0674],[0.00773046 0.01697763],[0.652 0.042],[0.672 0.087]
