gen,nevals,avg,std,min,max
0,50,[0.8159  0.07684],[0.04058633 0.02262685],[0.691 0.   ],[0.848 0.1  ]
1,4,[0.815  0.0676],[0.03215587 0.03393287],[0.752 0.   ],[0.843 0.088]
2,1,[0.8208 0.0678],[0.0347816  0.03407873],[0.752 0.   ],[0.843 0.09 ]
3,5,[0.801 0.05 ],[0.04033361 0.04088521],[0.752 0.   ],[0.843 0.087]
4,5,[0.8286 0.0798],[0.0008     0.00074833],[0.827 0.079],[0.829 0.081]
5,5,[0.8372 0.082 ],[0.00877268 0.00368782],[0.826 0.079],[0.847 0.087]
6,5,[0.8386 0.0834],[0.00705975 0.00300666],[0.827 0.08 ],[0.846 0.087]
7,3,[0.8406 0.083 ],[0.00484149 0.00374166],[0.836 0.079],[0.847 0.088]
8,5,[0.8236 0.0798],[0.03713004 0.00324962],[0.75  0.077],[0.848 0.086]
9,4,[0.8428 0.0878],[0.0056 0.0044],[0.835 0.082],[0.848 0.095]
10,5,[0.8384 0.0864],[0.00821219 0.00728286],[0.826 0.079],[0.848 0.1  ]
11,5,[0.8374 0.1086],[0.00224499 0.0491227 ],[0.835 0.074],[0.841 0.206]
12,5,[0.8346 0.115 ],[0.0032     0.04559825],[0.829 0.087],[0.839 0.206]
13,3,[0.8372 0.1366],[0.00318748 0.05840411],[0.834 0.083],[0.842 0.21 ]
14,5,[0.818  0.1412],[0.03964341 0.06357169],[0.739 0.085],[0.842 0.22 ]
15,5,[0.8236 0.071 ],[0.03581396 0.03573794],[0.752 0.   ],[0.843 0.093]
16,4,[0.842  0.0902],[0.00154919 0.00574108],[0.839 0.081],[0.843 0.097]
17,4,[0.8414 0.0884],[0.00162481 0.00793977],[0.839 0.077],[0.843 0.101]
18,5,[0.837  0.0872],[0.00657267 0.00448999],[0.825 0.083],[0.843 0.095]
19,5,[0.836 0.082],[0.00497996 0.0056921 ],[0.829 0.074],[0.843 0.091]
20,5,[0.8058 0.0764],[0.05494506 0.01671646],[0.696 0.043],[0.835 0.086]
21,4,[0.8312 0.082 ],[0.00271293 0.00328634],[0.829 0.077],[0.835 0.086]
22,3,[0.8328 0.0856],[0.00324962 0.0052    ],[0.829 0.077],[0.837 0.091]
23,4,[0.8146 0.0666],[0.03135985 0.03344608],[0.752 0.   ],[0.834 0.088]
24,3,[0.8318 0.0852],[0.00348712 0.00607947],[0.829 0.078],[0.837 0.093]
25,5,[0.8282 0.0864],[0.01034215 0.00300666],[0.808 0.084],[0.835 0.091]
