gen,nevals,avg,std,min,max
0,50,[0.82172 0.154  ],[0.03026684 0.03942436],[0.743 0.   ],[0.843 0.19 ]
1,3,[0.8146 0.1632],[0.03846869 0.0159424 ],[0.74  0.144],[0.844 0.184]
2,5,[0.8004 0.1196],[0.04144201 0.06247752],[0.75 0.  ],[0.842 0.166]
3,3,[0.8196 0.1298],[0.03513175 0.06572184],[0.752 0.   ],[0.844 0.174]
4,5,[0.8196 0.133 ],[0.03512606 0.06797352],[0.752 0.   ],[0.843 0.176]
5,5,[0.843  0.1762],[0.00089443 0.00487442],[0.842 0.17 ],[0.844 0.185]
6,4,[0.8432 0.173 ],[0.0004     0.00303315],[0.843 0.168],[0.844 0.176]
7,5,[0.8402 0.1728],[0.00711056 0.00305941],[0.826 0.167],[0.844 0.176]
8,5,[0.8326 0.1682],[0.00852291 0.00738647],[0.825 0.16 ],[0.844 0.178]
9,5,[0.8324 0.1658],[0.00786384 0.00430813],[0.825 0.162],[0.842 0.172]
10,4,[0.8364 0.1712],[0.00895768 0.00713863],[0.825 0.162],[0.845 0.182]
11,5,[0.8376 0.1732],[0.00668132 0.0066453 ],[0.825 0.16 ],[0.843 0.177]
12,5,[0.8432 0.1774],[0.0004    0.0032619],[0.843 0.173],[0.844 0.183]
13,4,[0.843  0.1756],[0.00063246 0.00205913],[0.842 0.173],[0.844 0.179]
14,3,[0.8072 0.1224],[0.04426014 0.07057648],[0.752 0.   ],[0.844 0.178]
15,2,[0.818 0.14 ],[0.03572674 0.07002571],[0.752 0.   ],[0.844 0.178]
16,5,[0.8156 0.1262],[0.03347596 0.06501508],[0.752 0.   ],[0.843 0.177]
17,4,[0.8248 0.1402],[0.03640549 0.07016381],[0.752 0.   ],[0.844 0.179]
18,4,[0.8424 0.1742],[0.0004899  0.00248193],[0.842 0.17 ],[0.843 0.177]
19,5,[0.843 0.175],[0.00089443 0.00228035],[0.842 0.171],[0.844 0.178]
20,1,[0.8436 0.1738],[0.0008 0.0024],[0.842 0.171],[0.844 0.177]
21,5,[0.8424 0.175 ],[0.0008     0.00167332],[0.841 0.172],[0.843 0.177]
22,3,[0.8394 0.1762],[0.00571314 0.00074833],[0.828 0.175],[0.843 0.177]
23,4,[0.8428 0.1772],[0.0004     0.00203961],[0.842 0.174],[0.843 0.18 ]
24,4,[0.843  0.1766],[0.00063246 0.0010198 ],[0.842 0.175],[0.844 0.178]
25,4,[0.8426 0.1764],[0.0008 0.0008],[0.842 0.175],[0.844 0.177]
