gen,nevals,avg,std,min,max
0,50,[0.87282 0.25112],[0.02666585 0.14521111],[0.805 0.   ],[0.895 0.52 ]
1,5,[0.8586 0.2188],[0.03272064 0.14497779],[0.811 0.   ],[0.894 0.382]
2,5,[0.8632 0.2624],[0.03085061 0.12814617],[0.825 0.104],[0.892 0.386]
3,5,[0.878  0.2228],[0.0201097  0.14361393],[0.838 0.104],[0.892 0.418]
4,3,[0.8742 0.2576],[0.02920548 0.12606919],[0.816 0.104],[0.892 0.378]
5,4,[0.8704 0.1876],[0.02838732 0.14996746],[0.815 0.   ],[0.892 0.378]
6,4,[0.8738 0.1412],[0.01859462 0.13266258],[0.838 0.   ],[0.886 0.394]
7,4,[0.886 0.104],[1.11022302e-16 1.38777878e-17],[0.886 0.104],[0.886 0.104]
8,2,[0.886 0.104],[1.11022302e-16 1.38777878e-17],[0.886 0.104],[0.886 0.104]
9,3,[0.8656 0.2256],[0.02611207 0.14997813],[0.823 0.104],[0.886 0.436]
10,5,[0.8594 0.328 ],[0.02484834 0.18856935],[0.82  0.104],[0.886 0.544]
11,4,[0.8616 0.2856],[0.02338033 0.14840701],[0.823 0.104],[0.886 0.418]
12,5,[0.8638 0.3268],[0.01865905 0.19110458],[0.844 0.104],[0.886 0.582]
13,5,[0.8682 0.3084],[0.01453823 0.16718086],[0.856 0.104],[0.886 0.462]
14,3,[0.8686 0.322 ],[0.01420704 0.17824029],[0.857 0.104],[0.886 0.484]
15,2,[0.8642 0.3224],[0.01824719 0.17884697],[0.846 0.104],[0.886 0.492]
16,2,[0.862  0.3116],[0.01959592 0.17018296],[0.846 0.104],[0.886 0.474]
17,4,[0.8696 0.3052],[0.01590723 0.18940581],[0.846 0.104],[0.886 0.568]
18,3,[0.8754 0.2052],[0.01553834 0.13411398],[0.846 0.104],[0.886 0.438]
19,5,[0.875  0.2412],[0.01594992 0.1753059 ],[0.845 0.104],[0.886 0.526]
20,3,[0.8662 0.3756],[0.01163443 0.14708039],[0.854 0.104],[0.886 0.542]
21,5,[0.8624 0.434 ],[0.0124996  0.04235091],[0.846 0.372],[0.878 0.502]
22,2,[0.8614 0.4612],[0.01323027 0.0530298 ],[0.846 0.372],[0.878 0.524]
23,3,[0.8542 0.4396],[0.00416653 0.0388721 ],[0.846 0.374],[0.857 0.496]
24,5,[0.8704 0.3384],[0.01621851 0.14059531],[0.856 0.104],[0.894 0.516]
25,4,[0.871  0.3552],[0.01880425 0.07254902],[0.854 0.274],[0.894 0.45 ]
