gen,nevals,avg,std,min,max
0,50,[0.6244 0.1347],[0.05097725 0.09527187],[0.529 0.   ],[0.683 0.502]
1,2,[0.6234 0.1494],[0.02952694 0.03164554],[0.57  0.102],[0.657 0.186]
2,4,[0.645  0.1644],[0.01391402 0.0378608 ],[0.622 0.094],[0.66  0.203]
3,4,[0.648  0.1628],[0.00807465 0.0264    ],[0.641 0.113],[0.661 0.183]
4,5,[0.6472 0.1684],[0.00861162 0.01566652],[0.639 0.153],[0.66  0.195]
5,3,[0.6528 0.1648],[0.00643117 0.01154816],[0.64  0.153],[0.657 0.186]
6,4,[0.6568 0.1618],[0.00172047 0.00735935],[0.654 0.15 ],[0.659 0.169]
7,5,[0.6258 0.113 ],[0.04240472 0.07153461],[0.553 0.023],[0.661 0.198]
8,5,[0.6572 0.1622],[0.00172047 0.01882976],[0.655 0.132],[0.66 0.19]
9,4,[0.657 0.17 ],[0.00126491 0.01152389],[0.655 0.156],[0.658 0.19 ]
10,5,[0.658  0.1822],[0.00219089 0.01803774],[0.655 0.157],[0.661 0.203]
11,4,[0.6514 0.1746],[0.0118254  0.02216845],[0.628 0.148],[0.66  0.205]
12,5,[0.6312 0.1266],[0.04072542 0.06127512],[0.553 0.016],[0.661 0.203]
13,5,[0.6298 0.0992],[0.03931107 0.04938583],[0.553 0.016],[0.657 0.161]
14,5,[0.6336 0.153 ],[0.0375052  0.06215465],[0.562 0.03 ],[0.661 0.2  ]
15,5,[0.646 0.172],[0.0143527  0.01256981],[0.627 0.156],[0.659 0.188]
16,5,[0.634  0.1416],[0.05254712 0.07364401],[0.529 0.   ],[0.664 0.199]
17,5,[0.642  0.1446],[0.05773041 0.07248062],[0.529 0.   ],[0.684 0.188]
18,3,[0.6196 0.098 ],[0.07403134 0.08144446],[0.529 0.   ],[0.684 0.184]
19,5,[0.619  0.0906],[0.07350374 0.07429024],[0.529 0.   ],[0.681 0.163]
20,5,[0.6694 0.1432],[0.0147594  0.03095416],[0.64  0.095],[0.679 0.192]
21,4,[0.6634 0.162 ],[0.01748828 0.01529706],[0.642 0.144],[0.679 0.186]
22,5,[0.6492 0.1464],[0.02695478 0.07354346],[0.607 0.006],[0.679 0.206]
23,4,[0.663  0.1562],[0.01758408 0.02022276],[0.641 0.122],[0.679 0.183]
24,4,[0.6192 0.1522],[0.04510166 0.07696857],[0.529 0.   ],[0.642 0.199]
25,4,[0.6414 0.1994],[0.0004899 0.0026533],[0.641 0.196],[0.642 0.204]
