gen,nevals,avg,std,min,max
0,50,[0.59812 0.0796 ],[0.04872356 0.07743178],[0.538 0.   ],[0.661 0.271]
1,4,[0.5944 0.096 ],[0.03819215 0.11191604],[0.538 0.   ],[0.635 0.28 ]
2,4,[0.6114 0.1276],[0.04224027 0.09215335],[0.538 0.   ],[0.653 0.28 ]
3,4,[0.6132 0.0472],[0.04490612 0.04614932],[0.538 0.   ],[0.658 0.121]
4,5,[0.604 0.087],[0.05462966 0.10165432],[0.538 0.   ],[0.659 0.242]
5,4,[0.6258 0.1276],[0.04468736 0.07751284],[0.538 0.   ],[0.656 0.242]
6,4,[0.6502 0.182 ],[0.00921737 0.03694861],[0.632 0.147],[0.656 0.242]
7,5,[0.6486 0.1592],[0.01190966 0.0402363 ],[0.625 0.11 ],[0.657 0.21 ]
8,5,[0.6196 0.1204],[0.04210748 0.07298931],[0.538 0.   ],[0.652 0.217]
9,5,[0.6244 0.0776],[0.04467035 0.05625158],[0.538 0.   ],[0.654 0.162]
10,5,[0.6256 0.094 ],[0.04519558 0.05646592],[0.538 0.   ],[0.656 0.157]
11,5,[0.6386 0.0834],[0.01882126 0.04462555],[0.611 0.008],[0.657 0.13 ]
12,5,[0.6082 0.093 ],[0.03635052 0.08690224],[0.543 0.02 ],[0.655 0.262]
13,5,[0.6188 0.155 ],[0.03856112 0.06988276],[0.549 0.039],[0.654 0.259]
14,5,[0.6332 0.1476],[0.04214926 0.06732191],[0.549 0.044],[0.658 0.253]
15,5,[0.6226 0.1022],[0.01625546 0.04675639],[0.61  0.062],[0.653 0.181]
16,4,[0.5852 0.259 ],[0.05663709 0.21147104],[0.536 0.   ],[0.656 0.644]
17,5,[0.6034 0.1044],[0.04769319 0.08191361],[0.538 0.   ],[0.656 0.237]
18,4,[0.6012 0.1724],[0.03899436 0.08850672],[0.556 0.011],[0.659 0.25 ]
19,5,[0.5948 0.0974],[0.03620718 0.09012125],[0.552 0.008],[0.652 0.236]
20,5,[0.5876 0.0736],[0.03103933 0.06004865],[0.538 0.   ],[0.614 0.175]
21,5,[0.572  0.0482],[0.02883748 0.05378996],[0.538 0.   ],[0.605 0.145]
22,4,[0.5604 0.0204],[0.02830265 0.02745615],[0.538 0.   ],[0.605 0.069]
23,3,[0.5502 0.02  ],[0.02749836 0.0267507 ],[0.532 0.   ],[0.605 0.067]
24,4,[0.543  0.0402],[0.01   0.0804],[0.538 0.   ],[0.563 0.201]
25,5,[0.5444 0.0388],[0.0128 0.0776],[0.538 0.   ],[0.57  0.194]
