gen,nevals,avg,std,min,max
0,50,[0.70468 0.04544],[0.02990748 0.04768193],[0.67 0.  ],[0.76  0.156]
1,3,[0.698  0.0352],[0.02440492 0.04719915],[0.67 0.  ],[0.73  0.127]
2,4,[0.7068 0.0422],[0.03189608 0.04079412],[0.67 0.  ],[0.75 0.11]
3,5,[0.7066 0.0562],[0.02990385 0.05626509],[0.67 0.  ],[0.733 0.135]
4,4,[0.6946 0.0358],[0.03014366 0.05244578],[0.67 0.  ],[0.733 0.135]
5,5,[0.6806 0.0254],[0.0212 0.0508],[0.67 0.  ],[0.723 0.127]
6,3,[0.6806 0.0254],[0.0212 0.0508],[0.67 0.  ],[0.723 0.127]
7,5,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
8,5,[0.6846 0.0232],[0.0292 0.0464],[0.67 0.  ],[0.743 0.116]
9,4,[0.676  0.0104],[0.012  0.0208],[0.67 0.  ],[0.7   0.052]
10,5,[0.676  0.0032],[0.012  0.0064],[0.67 0.  ],[0.7   0.016]
11,1,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
12,3,[0.6806 0.032 ],[0.0212 0.064 ],[0.67 0.  ],[0.723 0.16 ]
13,3,[0.6926 0.0376],[0.02776761 0.06215336],[0.67 0.  ],[0.73 0.16]
14,4,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
15,5,[0.6814 0.0054],[0.0228 0.0108],[0.67 0.  ],[0.727 0.027]
16,5,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
17,3,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
18,5,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
19,4,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
20,4,[0.67 0.  ],[0. 0.],[0.67 0.  ],[0.67 0.  ]
21,4,[0.682  0.0068],[0.024  0.0136],[0.67 0.  ],[0.73  0.034]
22,5,[0.68   0.0028],[0.03509416 0.00348712],[0.643 0.   ],[0.747 0.008]
23,5,[0.7014 0.1286],[0.02143455 0.15549868],[0.67 0.  ],[0.733 0.432]
24,4,[0.7118 0.1364],[0.00676461 0.15368097],[0.703 0.008],[0.723 0.432]
25,4,[0.7164 0.0784],[0.00838093 0.03822878],[0.71  0.014],[0.733 0.129]
