gen,nevals,avg,std,min,max
0,50,[0.7089  0.04174],[0.03094398 0.05976916],[0.64 0.  ],[0.757 0.298]
1,5,[0.7128 0.0104],[0.02972137 0.01253156],[0.677 0.   ],[0.743 0.034]
2,5,[0.698  0.0224],[0.01977878 0.02895928],[0.677 0.   ],[0.73  0.073]
3,5,[0.6982 0.0224],[0.01860538 0.02281754],[0.677 0.   ],[0.72  0.062]
4,5,[0.6996 0.0348],[0.02095328 0.03920918],[0.677 0.   ],[0.727 0.098]
5,5,[0.6874 0.0202],[0.01160345 0.02264862],[0.677 0.   ],[0.703 0.059]
6,5,[0.6876 0.0156],[0.0212 0.0312],[0.677 0.   ],[0.73  0.078]
7,3,[0.6876 0.0156],[0.0212 0.0312],[0.677 0.   ],[0.73  0.078]
8,5,[0.6816 0.0326],[0.00778717 0.04490702],[0.677 0.   ],[0.697 0.114]
9,3,[0.69   0.0148],[0.01507315 0.01896734],[0.677 0.   ],[0.713 0.049]
10,4,[0.7066 0.0956],[0.02034306 0.11527636],[0.687 0.012],[0.743 0.318]
11,3,[0.714  0.1016],[0.01308434 0.11048728],[0.7   0.022],[0.737 0.318]
12,3,[0.7254 0.038 ],[0.01281562 0.02588436],[0.703 0.018],[0.737 0.088]
13,4,[0.724  0.0338],[0.01093618 0.02278069],[0.71  0.002],[0.74  0.067]
14,5,[0.7218 0.0512],[0.01434434 0.01671407],[0.703 0.022],[0.743 0.073]
15,4,[0.7088 0.0508],[0.03049852 0.02767237],[0.657 0.007],[0.75  0.092]
16,2,[0.7242 0.1194],[0.02690279 0.15196131],[0.677 0.002],[0.75 0.42]
17,3,[0.7182 0.0228],[0.00785875 0.01790419],[0.707 0.002],[0.727 0.047]
18,3,[0.7174 0.026 ],[0.01070701 0.01471054],[0.7   0.002],[0.73  0.047]
19,4,[0.7142 0.0464],[0.01809309 0.01624315],[0.693 0.024],[0.747 0.073]
20,4,[0.7054 0.0514],[0.0153701 0.0320537],[0.68  0.011],[0.723 0.103]
21,4,[0.7222 0.063 ],[0.00982649 0.01877232],[0.71  0.037],[0.737 0.094]
22,4,[0.7208 0.0546],[0.0136587  0.01783928],[0.697 0.034],[0.737 0.078]
23,5,[0.7166 0.04  ],[0.02101999 0.0377783 ],[0.677 0.   ],[0.74  0.108]
24,5,[0.7046 0.0266],[0.01697763 0.01610714],[0.677 0.   ],[0.73  0.047]
25,4,[0.7008 0.0234],[0.0208461  0.02641666],[0.677 0.   ],[0.73  0.063]
