gen,nevals,avg,std,min,max
0,50,[0.84864 0.06248],[0.0153815  0.02174327],[0.782 0.   ],[0.858 0.116]
1,4,[0.8462 0.0768],[0.0176454  0.02544327],[0.811 0.052],[0.857 0.116]
2,4,[0.8506 0.1192],[0.0093723  0.06098656],[0.832 0.076],[0.857 0.24 ]
3,5,[0.853  0.0848],[0.00275681 0.01672603],[0.849 0.065],[0.857 0.107]
4,4,[0.8526 0.0758],[0.00257682 0.01636337],[0.849 0.064],[0.857 0.108]
5,5,[0.8486 0.0856],[0.01132431 0.01436106],[0.826 0.059],[0.855 0.099]
6,4,[0.8546 0.0742],[0.00149666 0.01207311],[0.853 0.059],[0.857 0.092]
7,4,[0.8554 0.0728],[0.0010198  0.01304454],[0.854 0.057],[0.857 0.092]
8,2,[0.854  0.0686],[0.00154919 0.00861626],[0.851 0.058],[0.855 0.081]
9,4,[0.8546 0.0682],[0.0010198  0.00906422],[0.853 0.057],[0.856 0.081]
10,4,[0.8534 0.0588],[0.00377359 0.00908625],[0.846 0.045],[0.856 0.069]
11,5,[0.854 0.057],[0.004      0.01140175],[0.846 0.046],[0.856 0.079]
12,5,[0.852 0.051],[0.00340588 0.00975705],[0.848 0.039],[0.856 0.062]
13,5,[0.8466 0.041 ],[0.00962497 0.02358813],[0.828 0.   ],[0.854 0.071]
14,3,[0.8468 0.0402],[0.0096623  0.02326714],[0.828 0.   ],[0.854 0.071]
15,5,[0.8458 0.0366],[0.00910824 0.021077  ],[0.828 0.   ],[0.854 0.066]
16,5,[0.8424 0.0284],[0.01187603 0.02363557],[0.828 0.   ],[0.854 0.052]
17,3,[0.8416 0.026 ],[0.01125344 0.02175316],[0.828 0.   ],[0.854 0.052]
18,5,[0.8478 0.0376],[0.010245   0.01937627],[0.828 0.   ],[0.856 0.053]
19,4,[0.8428 0.0406],[0.01225398 0.0368163 ],[0.828 0.   ],[0.855 0.087]
20,3,[0.8458 0.0388],[0.00986712 0.0250072 ],[0.828 0.   ],[0.855 0.077]
21,5,[0.8472 0.0396],[0.00982649 0.02079038],[0.828 0.   ],[0.854 0.06 ]
22,4,[0.8528 0.0502],[0.00213542 0.00773046],[0.849 0.039],[0.855 0.063]
23,3,[0.854  0.0554],[0.00289828 0.01366163],[0.849 0.039],[0.858 0.078]
24,5,[0.8536 0.0506],[0.00241661 0.00949947],[0.849 0.039],[0.856 0.068]
25,4,[0.852 0.046],[0.00309839 0.00589915],[0.849 0.039],[0.857 0.052]
