gen,nevals,avg,std,min,max
0,50,[0.8523  0.21358],[0.00631269 0.01965919],[0.834 0.159],[0.864 0.244]
1,3,[0.8516 0.2154],[0.00722772 0.00845222],[0.841 0.207],[0.863 0.23 ]
2,3,[0.8504 0.223 ],[0.00993177 0.00977753],[0.841 0.213],[0.863 0.238]
3,5,[0.8512 0.2236],[0.0096623  0.01505457],[0.842 0.206],[0.863 0.243]
4,3,[0.8442 0.2318],[0.00719444 0.00805978],[0.835 0.218],[0.857 0.242]
5,4,[0.8484 0.225 ],[0.00915642 0.01532319],[0.839 0.205],[0.86  0.247]
6,1,[0.851 0.223],[0.00981835 0.01978889],[0.839 0.204],[0.86  0.247]
7,3,[0.8502 0.2198],[0.01090688 0.01650939],[0.835 0.205],[0.86  0.247]
8,5,[0.8484 0.2118],[0.01224091 0.01628987],[0.833 0.194],[0.86  0.231]
9,3,[0.8496 0.2098],[0.0103846  0.01032279],[0.836 0.196],[0.86  0.228]
10,4,[0.8484 0.211 ],[0.01189285 0.01570987],[0.832 0.196],[0.86  0.237]
11,2,[0.8544 0.206 ],[0.0088227 0.0086487],[0.837 0.196],[0.86  0.222]
12,5,[0.8464 0.2214],[0.00932952 0.01399428],[0.834 0.203],[0.857 0.239]
13,2,[0.8554 0.2118],[0.00531413 0.01107068],[0.845 0.201],[0.86  0.231]
14,4,[0.8522 0.2182],[0.00775629 0.00986712],[0.842 0.207],[0.86 0.23]
15,4,[0.86   0.2162],[0.00167332 0.00203961],[0.858 0.213],[0.863 0.219]
16,4,[0.8586 0.2068],[0.002498   0.00877268],[0.854 0.194],[0.861 0.217]
17,4,[0.859  0.2106],[0.00178885 0.00581722],[0.857 0.201],[0.862 0.217]
18,4,[0.8568 0.21  ],[0.00299333 0.01115347],[0.851 0.2  ],[0.859 0.226]
19,3,[0.8562 0.2102],[0.00299333 0.00962081],[0.851 0.2  ],[0.859 0.226]
20,2,[0.854 0.222],[0.00296648 0.00853229],[0.851 0.209],[0.859 0.231]
21,5,[0.851  0.2236],[0.00296648 0.0060531 ],[0.848 0.218],[0.856 0.231]
22,5,[0.8474 0.2248],[0.00467333 0.00932523],[0.839 0.207],[0.852 0.232]
23,4,[0.8516 0.2178],[0.00397995 0.00992774],[0.846 0.208],[0.857 0.232]
24,4,[0.851  0.2234],[0.00316228 0.01261111],[0.848 0.208],[0.857 0.235]
25,4,[0.8492 0.2186],[0.0044     0.01389388],[0.845 0.199],[0.857 0.239]
