gen,nevals,avg,std,min,max
0,50,[0.66242 0.22566],[0.01474597 0.04077088],[0.616 0.07 ],[0.684 0.313]
1,4,[0.6568 0.257 ],[0.01912485 0.06569018],[0.623 0.196],[0.674 0.371]
2,5,[0.661  0.2456],[0.01065833 0.03959596],[0.649 0.195],[0.677 0.311]
3,4,[0.6574 0.2628],[0.01175755 0.03156834],[0.641 0.218],[0.677 0.311]
4,4,[0.661  0.2084],[0.01421267 0.01935562],[0.642 0.172],[0.679 0.229]
5,4,[0.6636 0.207 ],[0.01467787 0.01964688],[0.639 0.173],[0.681 0.231]
6,5,[0.6582 0.2464],[0.00865794 0.02815386],[0.649 0.208],[0.674 0.28 ]
7,4,[0.6582 0.1994],[0.010245   0.05323758],[0.644 0.123],[0.67 0.28]
8,3,[0.6524 0.1834],[0.02158333 0.03561797],[0.629 0.146],[0.685 0.241]
9,4,[0.6636 0.2014],[0.01869331 0.03643405],[0.633 0.155],[0.685 0.241]
10,5,[0.665  0.2242],[0.01221475 0.04722033],[0.641 0.167],[0.674 0.289]
11,2,[0.6636 0.2142],[0.01148216 0.03643295],[0.641 0.167],[0.673 0.259]
12,5,[0.6734 0.2092],[0.00293939 0.01705755],[0.668 0.176],[0.677 0.224]
13,2,[0.6696 0.209 ],[0.0068     0.01758408],[0.659 0.176],[0.677 0.229]
14,4,[0.6706 0.2634],[0.00628013 0.08428191],[0.66 0.19],[0.677 0.425]
15,3,[0.6716 0.2366],[0.00588558 0.01878936],[0.663 0.216],[0.681 0.266]
16,4,[0.6688 0.2562],[0.00386782 0.03059673],[0.663 0.222],[0.674 0.306]
17,4,[0.6716 0.2734],[0.00567803 0.03172129],[0.663 0.244],[0.678 0.331]
18,4,[0.6704 0.231 ],[0.00392938 0.0251873 ],[0.663 0.194],[0.674 0.268]
19,5,[0.6618 0.21  ],[0.01404849 0.02742262],[0.64  0.183],[0.677 0.259]
20,4,[0.6616 0.2114],[0.00932952 0.02848579],[0.651 0.182],[0.674 0.257]
21,3,[0.6618 0.2158],[0.00691086 0.02991588],[0.65  0.179],[0.669 0.259]
22,4,[0.6674 0.2334],[0.00467333 0.02243747],[0.659 0.207],[0.672 0.271]
23,3,[0.667 0.219],[0.00959166 0.02451938],[0.648 0.19 ],[0.674 0.253]
24,4,[0.6656 0.209 ],[0.01222457 0.03562022],[0.642 0.146],[0.676 0.248]
25,4,[0.667  0.2248],[0.00774597 0.02786683],[0.654 0.173],[0.676 0.256]
