gen,nevals,avg,std,min,max
0,50,[0.76954 0.18474],[0.01691533 0.06815653],[0.717 0.061],[0.797 0.309]
1,3,[0.7682 0.175 ],[0.01715109 0.04980763],[0.737 0.118],[0.787 0.266]
2,3,[0.7726 0.2028],[0.02055821 0.04807245],[0.737 0.147],[0.793 0.266]
3,5,[0.782  0.2074],[0.01853645 0.06338959],[0.75  0.155],[0.8   0.329]
4,4,[0.7646 0.1684],[0.01779438 0.06110516],[0.743 0.058],[0.79  0.243]
5,4,[0.768  0.1608],[0.01453272 0.05558921],[0.75  0.068],[0.787 0.243]
6,3,[0.7692 0.1748],[0.01464787 0.04824687],[0.75  0.098],[0.783 0.243]
7,5,[0.7648 0.1754],[0.016005   0.03032227],[0.737 0.138],[0.78  0.215]
8,3,[0.772  0.1836],[0.01808867 0.02844363],[0.737 0.138],[0.787 0.215]
9,4,[0.7586 0.1666],[0.01927278 0.05047217],[0.73  0.078],[0.783 0.227]
10,4,[0.7606 0.1114],[0.00781281 0.06523067],[0.75 0.05],[0.77  0.204]
11,3,[0.7646 0.1114],[0.01811739 0.04669304],[0.737 0.05 ],[0.79  0.175]
12,3,[0.7686 0.1888],[0.01535708 0.07786758],[0.75  0.087],[0.79  0.309]
13,5,[0.752  0.1338],[0.01091788 0.02930802],[0.733 0.093],[0.763 0.184]
14,2,[0.76   0.1902],[0.01229634 0.0564815 ],[0.747 0.127],[0.783 0.281]
15,3,[0.76   0.1582],[0.01073313 0.04862263],[0.743 0.1  ],[0.773 0.221]
16,5,[0.7554 0.1874],[0.01217539 0.06241987],[0.74  0.095],[0.777 0.261]
17,5,[0.7646 0.1536],[0.02068429 0.06004532],[0.737 0.098],[0.787 0.267]
18,3,[0.7576 0.1282],[0.0218504  0.02502319],[0.737 0.102],[0.79  0.175]
19,5,[0.77   0.1534],[0.00889944 0.04014773],[0.763 0.089],[0.787 0.197]
20,5,[0.7698 0.161 ],[0.01474313 0.04809158],[0.753 0.118],[0.79  0.252]
21,5,[0.772  0.1518],[0.00869483 0.02720588],[0.76  0.132],[0.787 0.204]
22,5,[0.7734 0.1706],[0.00467333 0.05641135],[0.767 0.096],[0.78  0.264]
23,4,[0.772  0.1352],[0.01308434 0.02988913],[0.753 0.09 ],[0.793 0.176]
24,5,[0.7774 0.165 ],[0.00791454 0.05688233],[0.77  0.096],[0.787 0.269]
25,3,[0.7758 0.176 ],[0.00844748 0.0570859 ],[0.763 0.096],[0.787 0.269]
